# centerline-based reference (no raceline optimization)
# generated by scripts/build_track_package.py
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.4044295; -0.1386709; -1.5572851; 0.0599017; 2.7288115; 0.0000000
0.1039874; -3.3004515; -0.1372660; -1.5510863; 0.0585735; 2.7744742; 0.0000000
0.2073390; -3.1971200; -0.1352291; -1.5453251; 0.0559036; 2.8180830; 0.0000000
0.3101002; -3.0943922; -0.1326119; -1.5400164; 0.0517986; 2.8587855; 0.0000000
0.4123153; -2.9922255; -0.1294662; -1.5351741; 0.0474895; 2.8957909; 0.0000000
0.5140281; -2.8905772; -0.1258437; -1.5308115; 0.0429889; 2.9283588; 0.0000000
0.6152816; -2.7894046; -0.1217962; -1.5269404; 0.0383104; 2.9557822; 0.0000000
0.7161180; -2.6886652; -0.1173754; -1.5235718; 0.0334686; 2.9773613; 0.0000000
0.8165791; -2.5883161; -0.1126329; -1.5207156; 0.0284791; 2.9923688; 0.0000000
0.9167059; -2.4883149; -0.1076206; -1.5183802; 0.0233582; 3.0000000; 0.0000000
1.0165392; -2.3886187; -0.1023901; -1.5165732; 0.0181230; 3.0000000; 0.0000000
1.1161193; -2.2891849; -0.0969932; -1.5153008; 0.0127912; 3.0000000; 0.0000000
1.2154863; -2.1899709; -0.0914816; -1.5145680; 0.0073812; 3.0000000; 0.0000000
1.3146800; -2.0909340; -0.0859070; -1.5143785; 0.0019118; 3.0000000; 0.0000000
1.4137400; -1.9920315; -0.0803213; -1.5147347; 0.0035976; 3.0000000; 0.0000000
1.5127062; -1.8932208; -0.0747760; -1.5156378; 0.0091274; 3.0000000; 0.0000000
1.6116182; -1.7944593; -0.0693229; -1.5170875; 0.0146576; 3.0000000; 0.0000000
1.7105160; -1.6957041; -0.0640137; -1.5190823; 0.0201682; 3.0000000; 0.0000000
1.8094396; -1.5969128; -0.0589003; -1.5216194; 0.0256388; 3.0000000; 0.0000000
1.9084295; -1.4980425; -0.0540342; -1.5246946; 0.0310491; 3.0000000; 0.0000000
2.0075266; -1.3990507; -0.0494673; -1.5283024; 0.0363791; 3.0000000; 0.0000000
2.1067722; -1.2998947; -0.0452512; -1.5324358; 0.0409588; 3.0000000; 0.0000000
2.2062082; -1.2005318; -0.0414378; -1.5368301; 0.0417719; 3.0000000; 0.0000000
2.3058657; -1.1009318; -0.0380534; -1.5405413; 0.0366603; 3.0000000; 0.0000000
2.4057334; -1.0011098; -0.0350324; -1.5433606; 0.0282039; 3.0000000; 0.0000000
2.5057893; -0.9010916; -0.0322876; -1.5452949; 0.0193164; 3.0000000; 0.0000000
2.6060107; -0.8009027; -0.0297321; -1.5463500; 0.0105195; 3.0000000; 0.0000000
2.7063745; -0.7005689; -0.0272788; -1.5465302; 0.0017945; 3.0000000; 0.0000000
2.8068572; -0.6001158; -0.0248407; -1.5458388; 0.0068772; 3.0000000; 0.0000000
2.9074353; -0.4995690; -0.0223308; -1.5442779; 0.0155143; 3.0000000; 0.0000000
3.0080855; -0.3989543; -0.0196620; -1.5418481; 0.0241348; 3.0000000; 0.0000000
3.1087848; -0.2982971; -0.0167474; -1.5385492; 0.0327560; 3.0000000; 0.0000000
3.2095110; -0.1976233; -0.0134998; -1.5343796; 0.0413944; 3.0000000; 0.0000000
3.3102426; -0.0969585; -0.0098323; -1.5293368; 0.0500654; 3.0000000; 0.0000000
3.4109594; 0.0036717; -0.0056578; -1.5234174; 0.0587831; 3.0000000; 0.0000000
3.5116423; 0.1042417; -0.0008894; -1.5166170; 0.0675600; 3.0000000; 0.0000000
3.6122740; 0.2047257; 0.0045601; -1.5089308; 0.0764066; 3.0000000; 0.0000000
3.7128388; 0.3050981; 0.0107776; -1.5003530; 0.0853313; 3.0000000; 0.0000000
3.8133232; 0.4053333; 0.0178503; -1.4908778; 0.0943401; 3.0000000; 0.0000000
3.9137160; 0.5054057; 0.0258650; -1.4804990; 0.1034358; 3.0000000; 0.0000000
4.0140083; 0.6052894; 0.0349088; -1.4692105; 0.1126181; 3.0000000; 0.0000000
4.1141944; 0.7049590; 0.0450688; -1.4570066; 0.1218828; 3.0000000; 0.0000000
4.2142713; 0.8043887; 0.0564319; -1.4438820; 0.1308205; 3.0000000; 0.0000000
4.3142395; 0.9035529; 0.0690853; -1.4299934; 0.1365664; 3.0000000; 0.0000000
4.4141053; 1.0024303; 0.0831003; -1.4163184; 0.1360780; 3.0000000; 0.0000000
4.5138899; 1.1010267; 0.0984536; -1.4032308; 0.1311989; 3.0000000; 0.0000000
4.6136177; 1.1993577; 0.1150864; -1.3907392; 0.1252832; 3.0000000; 0.0000000
4.7133107; 1.2974390; 0.1329400; -1.3788500; 0.1192698; 3.0000000; 0.0000000
4.8129887; 1.3952865; 0.1519556; -1.3675687; 0.1131793; 3.0000000; 0.0000000
4.9126694; 1.4929157; 0.1720743; -1.3568993; 0.1070286; 3.0000000; 0.0000000
5.0123681; 1.5903424; 0.1932373; -1.3468450; 0.1008331; 3.0000000; 0.0000000
5.1120986; 1.6875824; 0.2153858; -1.3374080; 0.0946062; 3.0000000; 0.0000000
5.2118726; 1.7846513; 0.2384611; -1.3285897; 0.0883600; 3.0000000; 0.0000000
5.3117001; 1.8815649; 0.2624043; -1.3203910; 0.0821047; 3.0000000; 0.0000000
5.4115895; 1.9783390; 0.2871565; -1.3128120; 0.0758490; 3.0000000; 0.0000000
5.5115476; 2.0749892; 0.3126591; -1.3058523; 0.0696002; 3.0000000; 0.0000000
5.6115801; 2.1715312; 0.3388531; -1.2995114; 0.0633643; 3.0000000; 0.0000000
5.7116911; 2.2679809; 0.3656798; -1.2937882; 0.0571460; 3.0000000; 0.0000000
5.8118836; 2.3643538; 0.3930803; -1.2886814; 0.0509490; 3.0000000; 0.0000000
5.9121596; 2.4606658; 0.4209959; -1.2841896; 0.0447759; 3.0000000; 0.0000000
6.0125202; 2.5569326; 0.4493678; -1.2803112; 0.0386283; 3.0000000; 0.0000000
6.1129656; 2.6531698; 0.4781371; -1.2770446; 0.0325074; 3.0000000; 0.0000000
6.2134953; 2.7493933; 0.5072450; -1.2743882; 0.0264133; 3.0000000; 0.0000000
6.3141082; 2.8456186; 0.5366327; -1.2723403; 0.0203459; 3.0000000; 0.0000000
6.4148028; 2.9418617; 0.5662414; -1.2708993; 0.0143045; 3.0000000; 0.0000000
6.5155771; 3.0381381; 0.5960123; -1.2700638; 0.0082882; 3.0000000; 0.0000000
6.6164289; 3.1344637; 0.6258866; -1.2698321; 0.0022957; 3.0000000; 0.0000000
6.7173558; 3.2308540; 0.6558055; -1.2702031; 0.0036744; 3.0000000; 0.0000000
6.8183555; 3.3273249; 0.6857102; -1.2711754; 0.0096233; 3.0000000; 0.0000000
6.9194255; 3.4238921; 0.7155418; -1.2727478; 0.0155524; 3.0000000; 0.0000000
7.0205638; 3.5205714; 0.7452416; -1.2749192; 0.0214627; 2.9780991; 0.0000000
7.1217684; 3.6173783; 0.7747508; -1.2776886; 0.0273552; 2.9406660; 0.0000000
7.2230378; 3.7143287; 0.8040104; -1.2810549; 0.0332304; 2.8930163; 0.0000000
7.3243712; 3.8114382; 0.8329618; -1.2850170; 0.0390882; 2.8384187; 0.0000000
7.4257681; 3.9087227; 0.8615461; -1.2895740; 0.0449282; 2.7796448; 0.0000000
7.5272289; 4.0061978; 0.8897046; -1.2947247; 0.0507494; 2.7200538; 0.0000000
7.6287547; 4.1038793; 0.9173783; -1.3004679; 0.0565499; 2.6641068; 0.0000000
7.7303478; 4.2017828; 0.9445085; -1.3068020; 0.0623271; 2.6158817; 0.0000000
7.8320112; 4.2999241; 0.9710364; -1.3137255; 0.0680775; 2.5772801; 0.0000000
7.9337493; 4.3983189; 0.9969032; -1.3212363; 0.0737968; 2.5481851; 0.0000000
8.0355676; 4.4969830; 1.0220500; -1.3293321; 0.0794795; 2.5270239; 0.0000000
8.1374730; 4.5959321; 1.0464181; -1.3380101; 0.0820919; 2.5113790; 0.0000000
8.2394740; 4.6951818; 1.0699487; -1.3460424; 0.0459562; 2.5013213; 0.0000000
8.3415136; 4.7946550; 1.0926899; -1.3400540; 0.0791732; 2.5013213; 0.0000000
8.4428049; 4.8932618; 1.1158552; -1.3110548; 0.2893785; 2.5013213; 0.0000000
8.5421662; 4.9892901; 1.1413743; -1.2565564; 0.5568575; 2.5013213; 0.0000000
8.6386181; 5.0810190; 1.1711870; -1.1726841; 0.8865151; 2.5013213; 0.0000000
8.7315979; 5.1667272; 1.2072333; -1.0548706; 1.2936076; 2.5013213; 0.0000000
8.8212315; 5.2446938; 1.2514531; -0.9002497; 1.7549086; 2.5013213; 0.0000000
8.9086665; 5.3131976; 1.3057865; -0.7122352; 2.1618469; 2.5013213; 0.0000000
8.9963751; 5.3705175; 1.3721734; -0.5051044; 2.2578945; 2.5013213; 0.0000000
