# ff0ba09d-9914-40da-b0e4-ec8b68bd3bc4
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0142312; 0.2119046; 1.6676469; 0.0000657; 11.9999988; 0.0000069
0.1999740; -0.2132425; 0.1925685; 1.6676590; 0.0000559; 11.9999989; 0.0000069
0.3999479; -0.4122617; 0.1732294; 1.6676692; 0.0000462; 11.9999990; 0.0000069
0.5999219; -0.6112887; 0.1538877; 1.6676775; 0.0000364; 11.9999991; 0.0000069
0.7998958; -0.8103233; 0.1345437; 1.6676838; 0.0000266; 11.9999992; 0.0000069
0.9998698; -1.0093653; 0.1151980; 1.6676881; 0.0000168; 11.9999993; 0.0000069
1.1998438; -1.2084147; 0.0958509; 1.6676905; 0.0000070; 11.9999994; 0.0000069
1.3998177; -1.4074711; 0.0765028; 1.6676910; -0.0000027; 11.9999996; 0.0000037
1.5997917; -1.6065101; 0.0571566; 1.6676896; -0.0000089; 11.9999996; -0.0000000
1.7997656; -1.8055279; 0.0378127; 1.6676876; -0.0000109; 11.9999996; -0.0000000
1.9997396; -2.0045525; 0.0184686; 1.6676852; -0.0000130; 11.9999996; -0.0000000
2.1997136; -2.2035836; -0.0008756; 1.6676824; -0.0000150; 11.9999996; -0.0000000
2.3996875; -2.4026212; -0.0202198; 1.6676792; -0.0000171; 11.9999996; -0.0000000
2.5996615; -2.6016653; -0.0395640; 1.6676756; -0.0000191; 11.9999996; -0.0000000
2.7996355; -2.8007157; -0.0589080; 1.6676716; -0.0000211; 11.9999996; -0.0000000
2.9996094; -2.9997724; -0.0782518; 1.6676672; -0.0000232; 11.9999996; -0.0000000
3.1995834; -3.1987931; -0.0975912; 1.6676625; -0.0000234; 11.9999996; -0.0000000
3.3995573; -3.3978165; -0.1169298; 1.6676578; -0.0000235; 11.9999996; -0.0000000
3.5995313; -3.5968459; -0.1362682; 1.6676531; -0.0000237; 11.9999996; -0.0000000
3.7995053; -3.7958810; -0.1556061; 1.6676483; -0.0000238; 11.9999996; -0.0000000
3.9994792; -3.9949218; -0.1749436; 1.6676436; -0.0000239; 11.9999996; -0.0000000
4.1994532; -4.1939681; -0.1942807; 1.6676388; -0.0000240; 11.9999996; -0.0000000
4.3994271; -4.3930197; -0.2136174; 1.6676339; -0.0000242; 11.9999996; -0.0000000
4.5994011; -4.5920617; -0.2329521; 1.6676291; -0.0000241; 11.9999996; -0.0000000
4.7993751; -4.7910854; -0.2522841; 1.6676243; -0.0000238; 11.9999996; -0.0000000
4.9993490; -4.9901141; -0.2716156; 1.6676196; -0.0000235; 11.9999996; -0.0000000
5.1993230; -5.1891476; -0.2909467; 1.6676149; -0.0000232; 11.9999996; -0.0000000
5.3992969; -5.3881859; -0.3102773; 1.6676103; -0.0000229; 11.9999996; -0.0000000
5.5992709; -5.5872289; -0.3296074; 1.6676058; -0.0000225; 11.9999996; -0.0000000
5.7992449; -5.7862763; -0.3489370; 1.6676013; -0.0000222; 11.9999996; -0.0000000
5.9992188; -5.9853282; -0.3682662; 1.6675969; -0.0000219; 11.9999996; -0.0000000
6.1991928; -6.1843576; -0.3875923; 1.6675925; -0.0000215; 11.9999996; -0.0000000
6.3991668; -6.3833865; -0.4069175; 1.6675883; -0.0000210; 11.9999996; -0.0000000
6.5991407; -6.5824194; -0.4262423; 1.6675841; -0.0000205; 11.9999996; -0.0000000
6.7991147; -6.7814562; -0.4455666; 1.6675801; -0.0000200; 11.9999996; -0.0000000
6.9990886; -6.9804968; -0.4648905; 1.6675761; -0.0000196; 11.9999996; -0.0000000
7.1990626; -7.1795409; -0.4842139; 1.6675723; -0.0000191; 11.9999996; -0.0000000
7.3990366; -7.3785886; -0.5035369; 1.6675685; -0.0000186; 11.9999996; -0.0000000
7.5990105; -7.5776322; -0.5228588; 1.6675648; -0.0000181; 11.9999996; -0.0000000
7.7989845; -7.7766622; -0.5421786; 1.6675612; -0.0000177; 11.9999996; -0.0000000
7.9989584; -7.9756954; -0.5614980; 1.6675577; -0.0000172; 11.9999996; -0.0000000
8.1989324; -8.1747315; -0.5808170; 1.6675543; -0.0000168; 11.9999996; -0.0000000
8.3989064; -8.3737705; -0.6001356; 1.6675510; -0.0000163; 11.9999996; -0.0000000
8.5988803; -8.5728123; -0.6194539; 1.6675478; -0.0000159; 11.9999996; -0.0000000
8.7988543; -8.7718567; -0.6387717; 1.6675447; -0.0000154; 11.9999996; -0.0000000
8.9988282; -8.9709036; -0.6580892; 1.6675417; -0.0000150; 11.9999996; -0.0000000
9.1988022; -9.1699397; -0.6774050; 1.6675387; -0.0000146; 11.9999996; -0.0000000
9.3987762; -9.3689739; -0.6967200; 1.6675358; -0.0000142; 11.9999996; -0.0000000
9.5987501; -9.5680103; -0.7160347; 1.6675330; -0.0000139; 11.9999996; -0.0000000
9.7987241; -9.7670487; -0.7353490; 1.6675303; -0.0000136; 11.9999996; -0.0000000
9.9986981; -9.9660890; -0.7546630; 1.6675276; -0.0000132; 11.9999996; -0.0000000
10.1986720; -10.1651310; -0.7739766; 1.6675250; -0.0000129; 11.9999996; -0.0000000
10.3986460; -10.3641747; -0.7932898; 1.6675224; -0.0000125; 11.9999996; -0.0000000
10.5986199; -10.5632175; -0.8126025; 1.6675200; -0.0000122; 11.9999996; -0.0000000
10.7985939; -10.7622538; -0.8319140; 1.6675175; -0.0000120; 11.9999996; -0.0000000
10.9985679; -10.9612914; -0.8512252; 1.6675152; -0.0000118; 11.9999996; -0.0000000
11.1985418; -11.1603300; -0.8705360; 1.6675128; -0.0000116; 11.9999996; -0.0000000
11.3985158; -11.3593697; -0.8898464; 1.6675105; -0.0000114; 11.9999996; -0.0000000
11.5984897; -11.5584103; -0.9091565; 1.6675083; -0.0000112; 11.9999996; -0.0000000
