# 84cd05c7-5485-44b4-b039-32ac445e607c
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0049846; -0.0152175; 1.6536640; 0.0000658; 11.9999988; 0.0000070
0.1999206; -0.1942231; -0.0317646; 1.6536774; 0.0000684; 11.9999989; 0.0000070
0.3998413; -0.3934390; -0.0483152; 1.6536913; 0.0000709; 11.9999990; 0.0000070
0.5997619; -0.5926630; -0.0648692; 1.6537058; 0.0000735; 11.9999991; 0.0000070
0.7996826; -0.7918949; -0.0814269; 1.6537207; 0.0000761; 11.9999992; 0.0000070
0.9996032; -0.9911346; -0.0979882; 1.6537362; 0.0000786; 11.9999993; 0.0000070
1.1995239; -1.1903820; -0.1145534; 1.6537522; 0.0000812; 11.9999994; 0.0000070
1.3994445; -1.3896369; -0.1311224; 1.6537687; 0.0000838; 11.9999996; 0.0000037
1.5993652; -1.5888727; -0.1476932; 1.6537857; 0.0000866; 11.9999996; 0.0000000
1.7992858; -1.7880850; -0.1642655; 1.6538033; 0.0000896; 11.9999996; 0.0000000
1.9992065; -1.9873044; -0.1808420; 1.6538215; 0.0000927; 11.9999996; 0.0000000
2.1991271; -2.1865308; -0.1974228; 1.6538403; 0.0000957; 11.9999996; 0.0000000
2.3990478; -2.3857640; -0.2140080; 1.6538598; 0.0000988; 11.9999996; 0.0000000
2.5989684; -2.5850039; -0.2305977; 1.6538799; 0.0001019; 11.9999996; 0.0000000
2.7988891; -2.7842504; -0.2471921; 1.6539005; 0.0001049; 11.9999996; 0.0000000
2.9988097; -2.9835032; -0.2637912; 1.6539218; 0.0001080; 11.9999996; 0.0000000
3.1987304; -3.1827163; -0.2803913; 1.6539435; 0.0001086; 11.9999996; 0.0000000
3.3986510; -3.3819318; -0.2969960; 1.6539652; 0.0001089; 11.9999996; 0.0000000
3.5985717; -3.5811533; -0.3136055; 1.6539870; 0.0001093; 11.9999996; 0.0000000
3.7984923; -3.7803806; -0.3302199; 1.6540089; 0.0001096; 11.9999996; 0.0000000
3.9984130; -3.9796136; -0.3468391; 1.6540309; 0.0001100; 11.9999996; 0.0000000
