# bc694e74-c6c8-4448-b350-7af3c46cd336
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0150102; 0.2211117; 1.6613165; 0.0001185; 11.9999988; 0.0000070
0.1999609; -0.2141262; 0.2030359; 1.6613393; 0.0001092; 11.9999989; 0.0000070
0.3999218; -0.4132502; 0.1849551; 1.6613602; 0.0000999; 11.9999990; 0.0000070
0.5998828; -0.6123820; 0.1668695; 1.6613792; 0.0000906; 11.9999991; 0.0000070
0.7998437; -0.8115214; 0.1487797; 1.6613964; 0.0000813; 11.9999992; 0.0000070
0.9998046; -1.0106682; 0.1306858; 1.6614118; 0.0000720; 11.9999993; 0.0000070
1.1997655; -1.2098222; 0.1125885; 1.6614252; 0.0000627; 11.9999994; 0.0000070
1.3997264; -1.4089833; 0.0944880; 1.6614368; 0.0000534; 11.9999996; 0.0000037
1.5996874; -1.6081264; 0.0763869; 1.6614467; 0.0000472; 11.9999996; -0.0000000
1.7996483; -1.8072477; 0.0582860; 1.6614559; 0.0000444; 11.9999996; -0.0000000
1.9996092; -2.0063757; 0.0401826; 1.6614645; 0.0000417; 11.9999996; -0.0000000
2.1995701; -2.2055101; 0.0220770; 1.6614726; 0.0000390; 11.9999996; -0.0000000
2.3995311; -2.4046510; 0.0039692; 1.6614801; 0.0000362; 11.9999996; -0.0000000
2.5994920; -2.6037982; -0.0141406; 1.6614870; 0.0000335; 11.9999996; -0.0000000
2.7994529; -2.8029517; -0.0322523; 1.6614935; 0.0000308; 11.9999996; -0.0000000
2.9994138; -3.0021113; -0.0503658; 1.6614994; 0.0000281; 11.9999996; -0.0000000
3.1993747; -3.2012342; -0.0684771; 1.6615048; 0.0000266; 11.9999996; -0.0000000
3.3993357; -3.4003598; -0.0865897; 1.6615100; 0.0000253; 11.9999996; -0.0000000
3.5992966; -3.5994911; -0.1047038; 1.6615150; 0.0000240; 11.9999996; -0.0000000
3.7992575; -3.7986281; -0.1228195; 1.6615196; 0.0000227; 11.9999996; -0.0000000
3.9992184; -3.9977706; -0.1409365; 1.6615240; 0.0000214; 11.9999996; -0.0000000
4.1991793; -4.1969186; -0.1590549; 1.6615282; 0.0000201; 11.9999996; -0.0000000
4.3991403; -4.3960718; -0.1771746; 1.6615321; 0.0000188; 11.9999996; -0.0000000
4.5991012; -4.5952151; -0.1952941; 1.6615357; 0.0000176; 11.9999996; -0.0000000
4.7990621; -4.7943397; -0.2134127; 1.6615391; 0.0000167; 11.9999996; -0.0000000
4.9990230; -4.9934692; -0.2315323; 1.6615424; 0.0000158; 11.9999996; -0.0000000
5.1989839; -5.1926035; -0.2496531; 1.6615455; 0.0000149; 11.9999996; -0.0000000
5.3989449; -5.3917425; -0.2677748; 1.6615483; 0.0000140; 11.9999996; -0.0000000
5.5989058; -5.5908859; -0.2858975; 1.6615511; 0.0000131; 11.9999996; -0.0000000
5.7988667; -5.7900337; -0.3040212; 1.6615536; 0.0000122; 11.9999996; -0.0000000
5.9988276; -5.9891858; -0.3221457; 1.6615559; 0.0000112; 11.9999996; -0.0000000
6.1987886; -6.1883154; -0.3402686; 1.6615581; 0.0000106; 11.9999996; -0.0000000
6.3987495; -6.3874443; -0.3583919; 1.6615602; 0.0000101; 11.9999996; -0.0000000
6.5987104; -6.5865771; -0.3765160; 1.6615621; 0.0000095; 11.9999996; -0.0000000
6.7986713; -6.7857136; -0.3946408; 1.6615640; 0.0000090; 11.9999996; -0.0000000
6.9986322; -6.9848538; -0.4127662; 1.6615657; 0.0000084; 11.9999996; -0.0000000
7.1985932; -7.1839975; -0.4308924; 1.6615674; 0.0000079; 11.9999996; -0.0000000
7.3985541; -7.3831445; -0.4490191; 1.6615689; 0.0000073; 11.9999996; -0.0000000
7.5985150; -7.5822874; -0.4671458; 1.6615703; 0.0000069; 11.9999996; -0.0000000
7.7984759; -7.7814168; -0.4852715; 1.6615717; 0.0000066; 11.9999996; -0.0000000
7.9984368; -7.9805492; -0.5033977; 1.6615729; 0.0000063; 11.9999996; -0.0000000
8.1983978; -8.1796844; -0.5215245; 1.6615742; 0.0000060; 11.9999996; -0.0000000
8.3983587; -8.3788224; -0.5396518; 1.6615754; 0.0000057; 11.9999996; -0.0000000
8.5983196; -8.5779630; -0.5577795; 1.6615765; 0.0000055; 11.9999996; -0.0000000
8.7982805; -8.7771060; -0.5759077; 1.6615775; 0.0000052; 11.9999996; -0.0000000
8.9982415; -8.9762514; -0.5940363; 1.6615785; 0.0000049; 11.9999996; -0.0000000
9.1982024; -9.1753863; -0.6121641; 1.6615795; 0.0000047; 11.9999996; -0.0000000
9.3981633; -9.3745194; -0.6302919; 1.6615804; 0.0000046; 11.9999996; -0.0000000
9.5981242; -9.5736545; -0.6484202; 1.6615813; 0.0000044; 11.9999996; -0.0000000
9.7980851; -9.7727913; -0.6665487; 1.6615822; 0.0000043; 11.9999996; -0.0000000
9.9980461; -9.9719299; -0.6846776; 1.6615830; 0.0000041; 11.9999996; -0.0000000
10.1980070; -10.1710700; -0.7028068; 1.6615838; 0.0000040; 11.9999996; -0.0000000
10.3979679; -10.3702116; -0.7209363; 1.6615846; 0.0000038; 11.9999996; -0.0000000
10.5979288; -10.5693524; -0.7390658; 1.6615854; 0.0000036; 11.9999996; -0.0000000
10.7978897; -10.7684873; -0.7571950; 1.6615861; 0.0000035; 11.9999996; -0.0000000
10.9978507; -10.9676232; -0.7753244; 1.6615867; 0.0000033; 11.9999996; -0.0000000
11.1978116; -11.1667600; -0.7934540; 1.6615874; 0.0000031; 11.9999996; -0.0000000
11.3977725; -11.3658976; -0.8115839; 1.6615880; 0.0000029; 11.9999996; -0.0000000
11.5977334; -11.5650359; -0.8297139; 1.6615885; 0.0000027; 11.9999996; -0.0000000
11.7976943; -11.7641746; -0.8478440; 1.6615891; 0.0000026; 11.9999996; -0.0000000
11.9976553; -11.9633138; -0.8659743; 1.6615896; 0.0000024; 11.9999996; -0.0000000
12.1976162; -12.1624521; -0.8841046; 1.6615900; 0.0000020; 11.9999996; -0.0000000
12.3975771; -12.3615899; -0.9022349; 1.6615904; 0.0000016; 11.9999996; -0.0000000
12.5975380; -12.5607277; -0.9203653; 1.6615907; 0.0000012; 11.9999996; -0.0000000
12.7974990; -12.7598654; -0.9384958; 1.6615909; 0.0000008; 11.9999996; -0.0000000
12.9974599; -12.9590029; -0.9566262; 1.6615910; 0.0000004; 11.9999996; -0.0000000
13.1974208; -13.1581400; -0.9747567; 1.6615910; 0.0000000; 11.9999996; -0.0000000
