# d5f8c11f-b830-4fda-8ff6-f59f8bbf7046
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0061607; -0.0291188; 1.6531930; 0.0002605; 11.9999988; 0.0000070
0.1999457; -0.1930794; -0.0455779; 1.6532433; 0.0002431; 11.9999989; 0.0000070
0.3998914; -0.3923271; -0.0620474; 1.6532902; 0.0002256; 11.9999990; 0.0000070
0.5998371; -0.5915824; -0.0785265; 1.6533336; 0.0002082; 11.9999991; 0.0000070
0.7997828; -0.7908452; -0.0950146; 1.6533734; 0.0001907; 11.9999992; 0.0000070
0.9997285; -0.9901155; -0.1115110; 1.6534098; 0.0001732; 11.9999993; 0.0000070
1.1996742; -1.1893931; -0.1280149; 1.6534427; 0.0001558; 11.9999994; 0.0000070
1.3996199; -1.3886781; -0.1445257; 1.6534721; 0.0001384; 11.9999996; 0.0000037
1.5995656; -1.5879435; -0.1610405; 1.6534982; 0.0001250; 11.9999996; 0.0000000
1.7995113; -1.7871854; -0.1775583; 1.6535224; 0.0001164; 11.9999996; 0.0000000
1.9994570; -1.9864344; -0.1940813; 1.6535448; 0.0001078; 11.9999996; 0.0000000
2.1994027; -2.1856903; -0.2106093; 1.6535655; 0.0000992; 11.9999996; 0.0000000
2.3993484; -2.3849530; -0.2271418; 1.6535845; 0.0000906; 11.9999996; 0.0000000
2.5992941; -2.5842226; -0.2436785; 1.6536018; 0.0000821; 11.9999996; 0.0000000
2.7992398; -2.7834987; -0.2602191; 1.6536173; 0.0000735; 11.9999996; 0.0000000
2.9991855; -2.9827814; -0.2767631; 1.6536311; 0.0000649; 11.9999996; 0.0000000
3.1991312; -3.1820242; -0.2933065; 1.6536435; 0.0000595; 11.9999996; 0.0000000
3.3990769; -3.3812696; -0.3098524; 1.6536549; 0.0000544; 11.9999996; 0.0000000
3.5990226; -3.5805213; -0.3264011; 1.6536653; 0.0000492; 11.9999996; 0.0000000
3.7989683; -3.7797790; -0.3429522; 1.6536746; 0.0000441; 11.9999996; 0.0000000
3.9989140; -3.9790426; -0.3595056; 1.6536829; 0.0000390; 11.9999996; 0.0000000
4.1988597; -4.1783121; -0.3760610; 1.6536902; 0.0000339; 11.9999996; 0.0000000
4.3988054; -4.3775872; -0.3926183; 1.6536965; 0.0000288; 11.9999996; 0.0000000
4.5987511; -4.5768515; -0.4091759; 1.6537017; 0.0000244; 11.9999996; 0.0000000
4.7986969; -4.7760956; -0.4257327; 1.6537063; 0.0000214; 11.9999996; 0.0000000
4.9986426; -4.9753449; -0.4422908; 1.6537103; 0.0000183; 11.9999996; 0.0000000
5.1985883; -5.1745995; -0.4588501; 1.6537136; 0.0000152; 11.9999996; 0.0000000
5.3985340; -5.3738592; -0.4754104; 1.6537164; 0.0000121; 11.9999996; 0.0000000
5.5984797; -5.5731238; -0.4919717; 1.6537185; 0.0000090; 11.9999996; 0.0000000
5.7984254; -5.7723932; -0.5085336; 1.6537200; 0.0000060; 11.9999996; 0.0000000
5.9983711; -5.9716673; -0.5250963; 1.6537209; 0.0000029; 11.9999996; 0.0000000
6.1983168; -6.1709169; -0.5416570; 1.6537212; 0.0000011; 11.9999996; 0.0000000
6.3982625; -6.3701656; -0.5582176; 1.6537213; -0.0000004; 11.9999996; 0.0000000
6.5982082; -6.5694187; -0.5747786; 1.6537211; -0.0000019; 11.9999996; 0.0000000
6.7981539; -6.7686759; -0.5913399; 1.6537205; -0.0000035; 11.9999996; 0.0000000
