# d0b74959-84a3-4d11-9cab-c39186b501a7
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0002779; 0.0404132; 1.6551262; 0.0003246; 11.9999988; 0.0000070
0.1999203; -0.1989048; 0.0235698; 1.6551895; 0.0003085; 11.9999989; 0.0000070
0.3998406; -0.3980948; 0.0067135; 1.6552496; 0.0002925; 11.9999990; 0.0000070
0.5997609; -0.5972922; -0.0101553; 1.6553064; 0.0002765; 11.9999991; 0.0000070
0.7996812; -0.7964967; -0.0270357; 1.6553601; 0.0002604; 11.9999992; 0.0000070
0.9996015; -0.9957083; -0.0439272; 1.6554106; 0.0002444; 11.9999993; 0.0000070
1.1995218; -1.1949270; -0.0608291; 1.6554578; 0.0002284; 11.9999994; 0.0000070
1.3994421; -1.3941526; -0.0777407; 1.6555019; 0.0002124; 11.9999996; 0.0000037
1.5993623; -1.5933588; -0.0946592; 1.6555429; 0.0001995; 11.9999996; -0.0000000
1.7992826; -1.7925415; -0.1115837; 1.6555819; 0.0001904; 11.9999996; -0.0000000
1.9992029; -1.9917308; -0.1285164; 1.6556190; 0.0001812; 11.9999996; -0.0000000
2.1991232; -2.1909267; -0.1454570; 1.6556543; 0.0001721; 11.9999996; -0.0000000
2.3990435; -2.3901290; -0.1624050; 1.6556878; 0.0001629; 11.9999996; -0.0000000
2.5989638; -2.5893376; -0.1793600; 1.6557195; 0.0001537; 11.9999996; -0.0000000
2.7988841; -2.7885525; -0.1963218; 1.6557493; 0.0001446; 11.9999996; -0.0000000
2.9988044; -2.9877735; -0.2132899; 1.6557773; 0.0001354; 11.9999996; 0.0000000
3.1987247; -3.1869553; -0.2302601; 1.6558037; 0.0001285; 11.9999996; 0.0000000
3.3986450; -3.3861394; -0.2472356; 1.6558287; 0.0001217; 11.9999996; 0.0000000
3.5985653; -3.5853294; -0.2642165; 1.6558523; 0.0001149; 11.9999996; 0.0000000
3.7984856; -3.7845250; -0.2812026; 1.6558746; 0.0001082; 11.9999996; 0.0000000
3.9984059; -3.9837262; -0.2981934; 1.6558956; 0.0001014; 11.9999996; 0.0000000
4.1983262; -4.1829329; -0.3151888; 1.6559152; 0.0000947; 11.9999996; 0.0000000
