# 2091c742-3ca0-4c2c-b22b-a01b02f0c8f1
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0065205; -0.0333716; 1.6557813; -0.0004450; 12.0000000; 0.0000000
0.1999501; -0.1926820; -0.0503328; 1.6556932; -0.0004369; 12.0000000; 0.0000000
0.3999002; -0.3918944; -0.0672774; 1.6556066; -0.0004287; 12.0000000; 0.0000000
0.5998502; -0.5911164; -0.0842055; 1.6555217; -0.0004206; 12.0000000; 0.0000000
0.7998003; -0.7903481; -0.1011176; 1.6554384; -0.0004125; 12.0000000; 0.0000000
0.9997504; -0.9895892; -0.1180140; 1.6553568; -0.0004044; 12.0000000; 0.0000000
1.1997005; -1.1888395; -0.1348949; 1.6552767; -0.0003963; 12.0000000; 0.0000000
1.3996505; -1.3880991; -0.1517607; 1.6551983; -0.0003882; 12.0000000; 0.0000000
1.5996006; -1.5873409; -0.1686094; 1.6551213; -0.0003826; 12.0000000; 0.0000000
1.7995507; -1.7865609; -0.1854409; 1.6550451; -0.0003798; 12.0000000; 0.0000000
1.9995008; -1.9857896; -0.2022579; 1.6549694; -0.0003771; 12.0000000; 0.0000000
2.1994508; -2.1850269; -0.2190605; 1.6548943; -0.0003743; 12.0000000; 0.0000000
2.3994009; -2.3842727; -0.2358488; 1.6548198; -0.0003715; 12.0000000; 0.0000000
2.5993510; -2.5835268; -0.2526229; 1.6547458; -0.0003687; 12.0000000; 0.0000000
2.7993011; -2.7827890; -0.2693828; 1.6546723; -0.0003660; 12.0000000; 0.0000000
2.9992511; -2.9820592; -0.2861288; 1.6545994; -0.0003632; 12.0000000; 0.0000000
3.1992012; -3.1812909; -0.3028570; 1.6545270; -0.0003612; 12.0000000; 0.0000000
3.3991513; -3.3805266; -0.3195710; 1.6544550; -0.0003593; 12.0000000; 0.0000000
3.5991014; -3.5797699; -0.3362712; 1.6543833; -0.0003574; 12.0000000; 0.0000000
3.7990514; -3.7790207; -0.3529577; 1.6543120; -0.0003555; 12.0000000; 0.0000000
3.9990015; -3.9782788; -0.3696306; 1.6542411; -0.0003536; 12.0000000; 0.0000000
4.1989516; -4.1775441; -0.3862898; 1.6541706; -0.0003517; 12.0000000; 0.0000000
4.3989017; -4.3768163; -0.4029356; 1.6541005; -0.0003498; 12.0000000; 0.0000000
4.5988517; -4.5760789; -0.4195665; 1.6540307; -0.0003479; 12.0000000; 0.0000000
4.7988018; -4.7753223; -0.4361818; 1.6539613; -0.0003460; 12.0000000; 0.0000000
4.9987519; -4.9745723; -0.4527838; 1.6538923; -0.0003442; 12.0000000; 0.0000000
5.1987020; -5.1738288; -0.4693726; 1.6538237; -0.0003423; 12.0000000; 0.0000000
5.3986520; -5.3730916; -0.4859481; 1.6537555; -0.0003404; 12.0000000; 0.0000000
5.5986021; -5.5723605; -0.5025105; 1.6536876; -0.0003385; 12.0000000; 0.0000000
5.7985522; -5.7716355; -0.5190598; 1.6536201; -0.0003366; 12.0000000; 0.0000000
5.9985023; -5.9709164; -0.5355961; 1.6535530; -0.0003347; 12.0000000; 0.0000000
6.1984524; -6.1701735; -0.5521170; 1.6534862; -0.0003329; 12.0000000; 0.0000000
6.3984024; -6.3694309; -0.5686246; 1.6534199; -0.0003310; 12.0000000; 0.0000000
