# 3dd3a123-ff20-4134-b080-56917ffff32e
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0071524; -0.0408405; 1.6536628; 0.0002342; 11.9999988; 0.0000070
0.1999512; -0.1920855; -0.0573932; 1.6537080; 0.0002183; 11.9999989; 0.0000070
0.3999024; -0.3913311; -0.0739552; 1.6537500; 0.0002023; 11.9999990; 0.0000070
0.5998537; -0.5905843; -0.0905259; 1.6537889; 0.0001864; 11.9999991; 0.0000070
0.7998049; -0.7898451; -0.1071048; 1.6538246; 0.0001704; 11.9999992; 0.0000070
0.9997561; -0.9891134; -0.1236911; 1.6538571; 0.0001545; 11.9999993; 0.0000070
1.1997073; -1.1883892; -0.1402843; 1.6538863; 0.0001385; 11.9999994; 0.0000070
1.3996586; -1.3876723; -0.1568836; 1.6539125; 0.0001226; 11.9999996; 0.0000037
1.5996098; -1.5869360; -0.1734862; 1.6539356; 0.0001106; 11.9999996; 0.0000000
1.7995610; -1.7861761; -0.1900914; 1.6539569; 0.0001031; 11.9999996; 0.0000000
1.9995122; -1.9854233; -0.2067012; 1.6539768; 0.0000955; 11.9999996; 0.0000000
2.1994634; -2.1846776; -0.2233154; 1.6539951; 0.0000880; 11.9999996; 0.0000000
2.3994147; -2.3839388; -0.2399338; 1.6540120; 0.0000805; 11.9999996; 0.0000000
2.5993659; -2.5832068; -0.2565560; 1.6540273; 0.0000730; 11.9999996; 0.0000000
2.7993171; -2.7824814; -0.2731816; 1.6540412; 0.0000655; 11.9999996; 0.0000000
2.9992683; -2.9817626; -0.2898104; 1.6540535; 0.0000580; 11.9999996; 0.0000000
3.1992195; -3.1810038; -0.3064383; 1.6540646; 0.0000533; 11.9999996; 0.0000000
3.3991708; -3.3802478; -0.3230685; 1.6540748; 0.0000489; 11.9999996; 0.0000000
3.5991220; -3.5794980; -0.3397011; 1.6540841; 0.0000444; 11.9999996; 0.0000000
3.7990732; -3.7787542; -0.3563361; 1.6540926; 0.0000400; 11.9999996; 0.0000000
3.9990244; -3.9780165; -0.3729731; 1.6541001; 0.0000355; 11.9999996; 0.0000000
4.1989757; -4.1772845; -0.3896121; 1.6541068; 0.0000311; 11.9999996; 0.0000000
4.3989269; -4.3765583; -0.4062528; 1.6541126; 0.0000267; 11.9999996; 0.0000000
4.5988781; -4.5758212; -0.4228937; 1.6541175; 0.0000229; 11.9999996; 0.0000000
