# cab7490c-7f47-42d0-be1a-13b195fdf560
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0501863; 0.2412311; 1.7908276; -0.0001967; 11.9999988; 0.0000070
0.1999420; -0.2452473; 0.1976094; 1.7907867; -0.0002131; 11.9999989; 0.0000070
0.3998841; -0.4403305; 0.1539914; 1.7907424; -0.0002295; 11.9999990; 0.0000070
0.5998261; -0.6354351; 0.1103781; 1.7906949; -0.0002459; 11.9999991; 0.0000070
0.7997682; -0.8305606; 0.0667702; 1.7906441; -0.0002623; 11.9999992; 0.0000070
0.9997102; -1.0257063; 0.0231685; 1.7905900; -0.0002787; 11.9999993; 0.0000070
1.1996523; -1.2208716; -0.0204262; 1.7905326; -0.0002951; 11.9999995; 0.0000070
1.3995943; -1.4160559; -0.0640129; 1.7904720; -0.0003115; 11.9999996; 0.0000036
1.5995364; -1.6112003; -0.1075781; 1.7904088; -0.0003117; 11.9999996; -0.0000000
1.7994784; -1.8062992; -0.1511204; 1.7903483; -0.0002942; 11.9999996; -0.0000000
1.9994204; -2.0014157; -0.1946545; 1.7902912; -0.0002768; 11.9999996; -0.0000000
2.1993625; -2.1965499; -0.2381813; 1.7902376; -0.0002593; 11.9999996; -0.0000000
2.3993045; -2.3917015; -0.2817013; 1.7901875; -0.0002419; 11.9999996; -0.0000000
2.5992466; -2.5868705; -0.3252153; 1.7901409; -0.0002245; 11.9999996; -0.0000000
2.7991886; -2.7820566; -0.3687239; 1.7900977; -0.0002070; 11.9999996; -0.0000000
2.9991307; -2.9772597; -0.4122278; 1.7900580; -0.0001896; 11.9999996; -0.0000000
3.1990727; -3.1723729; -0.4557039; 1.7900218; -0.0001728; 11.9999996; -0.0000000
3.3990147; -3.3674971; -0.4991754; 1.7899890; -0.0001561; 11.9999996; -0.0000000
3.5989568; -3.5626373; -0.5426441; 1.7899594; -0.0001394; 11.9999996; -0.0000000
3.7988988; -3.7577933; -0.5861105; 1.7899332; -0.0001226; 11.9999996; -0.0000000
3.9988409; -3.9529647; -0.6295754; 1.7899104; -0.0001059; 11.9999996; -0.0000000
4.1987829; -4.1481509; -0.6730392; 1.7898909; -0.0000892; 11.9999996; -0.0000000
4.3987250; -4.3433518; -0.7165027; 1.7898747; -0.0000725; 11.9999996; -0.0000000
4.5986670; -4.5385243; -0.7599568; 1.7898617; -0.0000587; 11.9999996; 0.0000000
4.7986091; -4.7336518; -0.8033985; 1.7898510; -0.0000487; 11.9999996; 0.0000000
4.9985511; -4.9287928; -0.8468413; 1.7898423; -0.0000388; 11.9999996; 0.0000000
5.1984931; -5.1239471; -0.8902854; 1.7898355; -0.0000288; 11.9999996; 0.0000000
5.3984352; -5.3191144; -0.9337312; 1.7898307; -0.0000189; 11.9999996; 0.0000000
5.5983772; -5.5142943; -0.9771791; 1.7898279; -0.0000090; 11.9999996; 0.0000000
5.7983193; -5.7094867; -1.0206293; 1.7898271; 0.0000010; 11.9999996; 0.0000000
5.9982613; -5.9046911; -1.0640823; 1.7898283; 0.0000109; 11.9999996; 0.0000000
6.1982034; -6.0998284; -1.1075208; 1.7898310; 0.0000157; 11.9999996; 0.0000000
6.3981454; -6.2949670; -1.1509601; 1.7898346; 0.0000199; 11.9999996; 0.0000000
6.5980874; -6.4901168; -1.1944028; 1.7898390; 0.0000241; 11.9999996; 0.0000000
6.7980295; -6.6852776; -1.2378490; 1.7898443; 0.0000283; 11.9999996; 0.0000000
6.9979715; -6.8804491; -1.2812987; 1.7898503; 0.0000325; 11.9999996; 0.0000000
7.1979136; -7.0756310; -1.3247520; 1.7898573; 0.0000367; 11.9999996; 0.0000000
7.3978556; -7.2708232; -1.3682091; 1.7898650; 0.0000409; 11.9999996; -0.0000000
7.5977977; -7.4659989; -1.4116642; 1.7898736; 0.0000435; 11.9999996; -0.0000000
7.7977397; -7.6611345; -1.4551122; 1.7898822; 0.0000430; 11.9999996; -0.0000000
7.9976818; -7.8562794; -1.4985640; 1.7898907; 0.0000425; 11.9999996; -0.0000000
8.1976238; -8.0514335; -1.5420196; 1.7898992; 0.0000420; 11.9999996; -0.0000000
8.3975658; -8.2465966; -1.5854789; 1.7899076; 0.0000416; 11.9999996; -0.0000000
8.5975079; -8.4417684; -1.6289418; 1.7899158; 0.0000411; 11.9999996; -0.0000000
8.7974499; -8.6369486; -1.6724084; 1.7899240; 0.0000406; 11.9999996; -0.0000000
8.9973920; -8.8321370; -1.7158784; 1.7899321; 0.0000402; 11.9999996; -0.0000000
9.1973340; -9.0272833; -1.7593406; 1.7899398; 0.0000370; 11.9999996; -0.0000000
9.3972761; -9.2224250; -1.8028034; 1.7899469; 0.0000332; 11.9999996; -0.0000000
9.5972181; -9.4175743; -1.8462692; 1.7899531; 0.0000293; 11.9999996; -0.0000000
9.7971601; -9.6127310; -1.8897378; 1.7899586; 0.0000255; 11.9999996; -0.0000000
9.9971022; -9.8078947; -1.9332091; 1.7899633; 0.0000217; 11.9999996; -0.0000000
10.1970442; -10.0030654; -1.9766827; 1.7899673; 0.0000179; 11.9999996; -0.0000000
10.3969863; -10.1982428; -2.0201587; 1.7899704; 0.0000140; 11.9999996; -0.0000000
10.5969283; -10.3934141; -2.0636338; 1.7899728; 0.0000096; 11.9999996; -0.0000000
10.7968704; -10.5885558; -2.1071027; 1.7899741; 0.0000032; 11.9999996; -0.0000000
10.9968124; -10.7837037; -2.1505732; 1.7899741; -0.0000032; 11.9999996; -0.0000000
11.1967545; -10.9788574; -2.1940448; 1.7899729; -0.0000095; 11.9999996; -0.0000000
11.3966965; -11.1740167; -2.2375172; 1.7899703; -0.0000159; 11.9999996; -0.0000000
11.5966385; -11.3691816; -2.2809903; 1.7899665; -0.0000223; 11.9999996; -0.0000000
11.7965806; -11.5643517; -2.3244636; 1.7899614; -0.0000286; 11.9999996; -0.0000000
11.9965226; -11.7595268; -2.3679368; 1.7899551; -0.0000350; 11.9999996; -0.0000000
12.1964647; -11.9546827; -2.4114043; 1.7899473; -0.0000424; 11.9999996; -0.0000000
12.3964067; -12.1498335; -2.4548690; 1.7899381; -0.0000503; 11.9999996; -0.0000000
12.5963488; -12.3449888; -2.4983326; 1.7899272; -0.0000582; 11.9999996; -0.0000000
12.7962908; -12.5401484; -2.5417948; 1.7899148; -0.0000661; 11.9999996; -0.0000000
12.9962328; -12.7353122; -2.5852552; 1.7899008; -0.0000740; 11.9999996; -0.0000000
13.1961749; -12.9304798; -2.6287134; 1.7898852; -0.0000820; 11.9999996; -0.0000000
13.3961169; -13.1256513; -2.6721691; 1.7898680; -0.0000899; 11.9999996; -0.0000000
13.5960590; -13.3208231; -2.7156212; 1.7898492; -0.0000979; 11.9999996; -0.0000000
13.7960010; -13.5159820; -2.7590664; 1.7898288; -0.0001065; 11.9999996; -0.0000000
13.9959431; -13.7111442; -2.8025080; 1.7898067; -0.0001150; 11.9999996; -0.0000000
14.1958851; -13.9063094; -2.8459456; 1.7897828; -0.0001236; 11.9999996; -0.0000000
14.3958272; -14.1014774; -2.8893787; 1.7897572; -0.0001322; 11.9999996; -0.0000000
14.5957692; -14.2966481; -2.9328070; 1.7897299; -0.0001408; 11.9999996; -0.0000000
14.7957112; -14.4918212; -2.9762301; 1.7897009; -0.0001494; 11.9999996; -0.0000000
14.9956533; -14.6869967; -3.0196475; 1.7896702; -0.0001580; 11.9999996; 0.0000000
15.1955953; -14.8821712; -3.0630583; 1.7896378; -0.0001660; 11.9999996; 0.0000000
15.3955374; -15.0773458; -3.1064623; 1.7896038; -0.0001736; 11.9999996; 0.0000000
15.5954794; -15.2725221; -3.1498596; 1.7895684; -0.0001812; 11.9999996; 0.0000000
15.7954215; -15.4677000; -3.1932499; 1.7895314; -0.0001888; 11.9999996; 0.0000000
15.9953635; -15.6628793; -3.2366326; 1.7894928; -0.0001965; 11.9999996; 0.0000000
