# b8f199fe-68a1-43bb-83aa-f15268c4600a
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0176112; -0.0807723; 1.7728952; 0.0000673; 11.9999988; 0.0000070
0.1999652; -0.1782182; -0.1208989; 1.7729163; 0.0001438; 11.9999989; 0.0000070
0.3999304; -0.3740665; -0.1610352; 1.7729527; 0.0002202; 11.9999990; 0.0000070
0.5998956; -0.5699332; -0.2011843; 1.7730044; 0.0002966; 11.9999991; 0.0000070
0.7998608; -0.7658177; -0.2413491; 1.7730713; 0.0003730; 11.9999992; 0.0000070
0.9998260; -0.9617193; -0.2815327; 1.7731536; 0.0004493; 11.9999993; 0.0000070
1.1997912; -1.1576375; -0.3217380; 1.7732510; 0.0005255; 11.9999995; 0.0000070
1.3997564; -1.3535716; -0.3619680; 1.7733638; 0.0006018; 11.9999996; 0.0000036
1.5997216; -1.5494494; -0.4022111; 1.7734912; 0.0006663; 11.9999996; 0.0000000
1.7996868; -1.7452650; -0.4424685; 1.7736296; 0.0007184; 11.9999996; 0.0000000
1.9996520; -1.9410945; -0.4827581; 1.7737784; 0.0007704; 11.9999996; 0.0000000
2.1996172; -2.1369371; -0.5230818; 1.7739377; 0.0008225; 11.9999996; 0.0000000
2.3995823; -2.3327922; -0.5634417; 1.7741074; 0.0008745; 11.9999996; 0.0000000
2.5995475; -2.5286588; -0.6038396; 1.7742874; 0.0009265; 11.9999996; 0.0000000
2.7995127; -2.7245363; -0.6442777; 1.7744779; 0.0009785; 11.9999996; 0.0000000
2.9994779; -2.9204238; -0.6847578; 1.7746789; 0.0010304; 11.9999996; -0.0000000
3.1994431; -3.1161926; -0.7252551; 1.7748863; 0.0010429; 11.9999996; -0.0000000
3.3994083; -3.3119650; -0.7657958; 1.7750958; 0.0010538; 11.9999996; -0.0000000
3.5993735; -3.5077459; -0.8063813; 1.7753076; 0.0010646; 11.9999996; -0.0000000
3.7993387; -3.7035350; -0.8470119; 1.7755216; 0.0010754; 11.9999996; -0.0000000
3.9993039; -3.8993321; -0.8876881; 1.7757377; 0.0010863; 11.9999996; -0.0000000
4.1992691; -4.0951366; -0.9284102; 1.7759561; 0.0010971; 11.9999996; -0.0000000
4.3992343; -4.2909483; -0.9691787; 1.7761766; 0.0011080; 11.9999996; -0.0000000
4.5991995; -4.4867159; -1.0099832; 1.7763988; 0.0011089; 11.9999996; 0.0000000
4.7991647; -4.6824229; -1.0508203; 1.7766193; 0.0010967; 11.9999996; 0.0000000
4.9991299; -4.8781363; -1.0917036; 1.7768373; 0.0010845; 11.9999996; 0.0000000
5.1990951; -5.0738558; -1.1326324; 1.7770530; 0.0010724; 11.9999996; 0.0000000
5.3990603; -5.2695813; -1.1736063; 1.7772662; 0.0010603; 11.9999996; 0.0000000
5.5990255; -5.4653126; -1.2146247; 1.7774770; 0.0010481; 11.9999996; 0.0000000
5.7989907; -5.6610495; -1.2556871; 1.7776854; 0.0010360; 11.9999996; 0.0000000
5.9989559; -5.8567918; -1.2967931; 1.7778914; 0.0010239; 11.9999996; 0.0000000
6.1989211; -6.0524470; -1.3379225; 1.7780940; 0.0010008; 11.9999996; 0.0000000
6.3988863; -6.2480970; -1.3790916; 1.7782916; 0.0009764; 11.9999996; 0.0000000
6.5988515; -6.4437521; -1.4203017; 1.7784844; 0.0009520; 11.9999996; 0.0000000
6.7988167; -6.6394121; -1.4615518; 1.7786723; 0.0009277; 11.9999996; 0.0000000
6.9987818; -6.8350771; -1.5028408; 1.7788554; 0.0009034; 11.9999996; 0.0000000
7.1987470; -7.0307469; -1.5441678; 1.7790337; 0.0008791; 11.9999996; 0.0000000
7.3987122; -7.2264214; -1.5855317; 1.7792070; 0.0008548; 11.9999996; 0.0000000
7.5986774; -7.4220691; -1.6269249; 1.7793755; 0.0008293; 11.9999996; 0.0000000
7.7986426; -7.6176656; -1.6683411; 1.7795385; 0.0008016; 11.9999996; 0.0000000
7.9986078; -7.8132667; -1.7097911; 1.7796961; 0.0007740; 11.9999996; 0.0000000
8.1985730; -8.0088723; -1.7512736; 1.7798481; 0.0007463; 11.9999996; 0.0000000
8.3985382; -8.2044825; -1.7927876; 1.7799945; 0.0007187; 11.9999996; 0.0000000
8.5985034; -8.4000970; -1.8343320; 1.7801355; 0.0006911; 11.9999996; 0.0000000
8.7984686; -8.5957160; -1.8759055; 1.7802710; 0.0006635; 11.9999996; 0.0000000
8.9984338; -8.7913393; -1.9175071; 1.7804009; 0.0006359; 11.9999996; 0.0000000
9.1983990; -8.9869077; -1.9591230; 1.7805254; 0.0006093; 11.9999996; 0.0000000
9.3983642; -9.1824676; -2.0007620; 1.7806445; 0.0005828; 11.9999996; 0.0000000
9.5983294; -9.3780317; -2.0424257; 1.7807584; 0.0005563; 11.9999996; 0.0000000
9.7982946; -9.5735999; -2.0841130; 1.7808670; 0.0005298; 11.9999996; 0.0000000
9.9982598; -9.7691722; -2.1258229; 1.7809703; 0.0005034; 11.9999996; 0.0000000
10.1982250; -9.9647486; -2.1675542; 1.7810683; 0.0004769; 11.9999996; 0.0000000
10.3981902; -10.1603289; -2.2093058; 1.7811611; 0.0004505; 11.9999996; 0.0000000
10.5981554; -10.3558974; -2.2510734; 1.7812485; 0.0004248; 11.9999996; 0.0000000
10.7981206; -10.5514290; -2.2928504; 1.7813311; 0.0004011; 11.9999996; 0.0000000
10.9980858; -10.7469644; -2.3346447; 1.7814089; 0.0003774; 11.9999996; 0.0000000
11.1980510; -10.9425035; -2.3764552; 1.7814820; 0.0003537; 11.9999996; 0.0000000
11.3980162; -11.1380462; -2.4182809; 1.7815503; 0.0003300; 11.9999996; 0.0000000
11.5979813; -11.3335925; -2.4601209; 1.7816140; 0.0003063; 11.9999996; 0.0000000
11.7979465; -11.5291423; -2.5019741; 1.7816729; 0.0002826; 11.9999996; 0.0000000
11.9979117; -11.7246955; -2.5438396; 1.7817270; 0.0002589; 11.9999996; -0.0000000
12.1978769; -11.9202220; -2.5857100; 1.7817765; 0.0002369; 11.9999996; -0.0000000
12.3978421; -12.1157408; -2.6275885; 1.7818218; 0.0002155; 11.9999996; -0.0000000
12.5978073; -12.3112628; -2.6694764; 1.7818627; 0.0001941; 11.9999996; -0.0000000
12.7977725; -12.5067878; -2.7113730; 1.7818994; 0.0001727; 11.9999996; -0.0000000
12.9977377; -12.7023158; -2.7532772; 1.7819318; 0.0001513; 11.9999996; -0.0000000
13.1977029; -12.8978467; -2.7951882; 1.7819599; 0.0001299; 11.9999996; -0.0000000
13.3976681; -13.0933803; -2.8371052; 1.7819837; 0.0001085; 11.9999996; -0.0000000
13.5976333; -13.2889118; -2.8790261; 1.7820033; 0.0000872; 11.9999996; -0.0000000
13.7975985; -13.4844253; -2.9209467; 1.7820187; 0.0000664; 11.9999996; -0.0000000
13.9975637; -13.6799413; -2.9628706; 1.7820299; 0.0000456; 11.9999996; -0.0000000
14.1975289; -13.8754596; -3.0047968; 1.7820369; 0.0000249; 11.9999996; -0.0000000
14.3974941; -14.0709803; -3.0467246; 1.7820398; 0.0000041; 11.9999996; -0.0000000
14.5974593; -14.2665031; -3.0886530; 1.7820385; -0.0000167; 11.9999996; -0.0000000
14.7974245; -14.4620280; -3.1305812; 1.7820331; -0.0000375; 11.9999996; -0.0000000
14.9973897; -14.6575549; -3.1725082; 1.7820235; -0.0000583; 11.9999996; -0.0000000
15.1973549; -14.8530774; -3.2144319; 1.7820097; -0.0000801; 11.9999996; -0.0000000
15.3973201; -15.0485981; -3.2563520; 1.7819915; -0.0001024; 11.9999996; -0.0000000
15.5972853; -15.2441205; -3.2982683; 1.7819688; -0.0001247; 11.9999996; -0.0000000
15.7972505; -15.4396446; -3.3401798; 1.7819416; -0.0001470; 11.9999996; -0.0000000
15.9972157; -15.6351703; -3.3820856; 1.7819100; -0.0001693; 11.9999996; -0.0000000
16.1971808; -15.8306974; -3.4239848; 1.7818739; -0.0001916; 11.9999996; -0.0000000
16.3971460; -16.0262259; -3.4658765; 1.7818334; -0.0002139; 11.9999996; -0.0000000
16.5971112; -16.2217562; -3.5077598; 1.7817884; -0.0002365; 11.9999996; -0.0000000
16.7970764; -16.4172927; -3.5496347; 1.7817385; -0.0002622; 11.9999996; -0.0000000
16.9970416; -16.6128304; -3.5914992; 1.7816835; -0.0002878; 11.9999996; -0.0000000
17.1970068; -16.8083692; -3.6333522; 1.7816234; -0.0003134; 11.9999996; -0.0000000
17.3969720; -17.0039091; -3.6751926; 1.7815582; -0.0003390; 11.9999996; -0.0000000
17.5969372; -17.1994499; -3.7170193; 1.7814878; -0.0003647; 11.9999996; -0.0000000
17.7969024; -17.3949918; -3.7588313; 1.7814123; -0.0003903; 11.9999996; -0.0000000
17.9968676; -17.5905346; -3.8006276; 1.7813317; -0.0004160; 11.9999996; -0.0000000
18.1968328; -17.7860894; -3.8424094; 1.7812459; -0.0004438; 11.9999996; -0.0000000
18.3967980; -17.9816545; -3.8841752; 1.7811542; -0.0004734; 11.9999996; -0.0000000
18.5967632; -18.1772204; -3.9259219; 1.7810565; -0.0005030; 11.9999996; -0.0000000
18.7967284; -18.3727871; -3.9676482; 1.7809530; -0.0005327; 11.9999996; -0.0000000
18.9966936; -18.5683545; -4.0093529; 1.7808435; -0.0005623; 11.9999996; -0.0000000
19.1966588; -18.7639228; -4.0510347; 1.7807281; -0.0005919; 11.9999996; -0.0000000
19.3966240; -18.9594917; -4.0926925; 1.7806068; -0.0006216; 11.9999996; -0.0000000
19.5965892; -19.1550614; -4.1343251; 1.7804795; -0.0006513; 11.9999996; -0.0000000
19.7965544; -19.3506673; -4.1759386; 1.7803461; -0.0006835; 11.9999996; -0.0000000
19.9965196; -19.5462739; -4.2175245; 1.7802061; -0.0007158; 11.9999996; -0.0000000
20.1964848; -19.7418813; -4.2590812; 1.7800598; -0.0007481; 11.9999996; -0.0000000
20.3964500; -19.9374893; -4.3006074; 1.7799070; -0.0007804; 11.9999996; -0.0000000
20.5964151; -20.1330982; -4.3421020; 1.7797477; -0.0008127; 11.9999996; -0.0000000
20.7963803; -20.3287078; -4.3835635; 1.7795819; -0.0008450; 11.9999996; -0.0000000
20.9963455; -20.5243181; -4.4249906; 1.7794098; -0.0008773; 11.9999996; -0.0000000
21.1963107; -20.7199518; -4.4663868; 1.7792311; -0.0009088; 11.9999996; -0.0000000
21.3962759; -20.9156138; -4.5077518; 1.7790463; -0.0009393; 11.9999996; -0.0000000
21.5962411; -21.1112765; -4.5490786; 1.7788554; -0.0009698; 11.9999996; -0.0000000
