# a1fae651-188e-41a4-9cdb-fc177ef231c2
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0629111; 0.3016675; 1.7872365; 0.0004296; 11.9999988; 0.0000070
0.1999320; -0.2581124; 0.2587372; 1.7873183; 0.0003891; 11.9999989; 0.0000070
0.3998639; -0.4533318; 0.2157871; 1.7873920; 0.0003486; 11.9999990; 0.0000070
0.5997959; -0.6485687; 0.1728188; 1.7874577; 0.0003081; 11.9999991; 0.0000070
0.7997279; -0.8438224; 0.1298342; 1.7875152; 0.0002677; 11.9999992; 0.0000070
0.9996599; -1.0390924; 0.0868351; 1.7875647; 0.0002273; 11.9999993; 0.0000070
1.1995918; -1.2343780; 0.0438233; 1.7876061; 0.0001869; 11.9999995; 0.0000070
1.3995238; -1.4296785; 0.0008005; 1.7876395; 0.0001465; 11.9999996; 0.0000036
1.5994558; -1.6249348; -0.0422186; 1.7876655; 0.0001235; 11.9999996; -0.0000000
1.7993877; -1.8201408; -0.0852317; 1.7876898; 0.0001196; 11.9999996; -0.0000000
1.9993197; -2.0153610; -0.1282528; 1.7877134; 0.0001157; 11.9999996; -0.0000000
2.1992517; -2.2105952; -0.1712818; 1.7877361; 0.0001118; 11.9999996; -0.0000000
2.3991836; -2.4058436; -0.2143184; 1.7877581; 0.0001079; 11.9999996; -0.0000000
2.5991156; -2.6011062; -0.2573626; 1.7877792; 0.0001040; 11.9999996; -0.0000000
2.7990476; -2.7963831; -0.3004142; 1.7877997; 0.0001001; 11.9999996; -0.0000000
2.9989796; -2.9916743; -0.3434731; 1.7878193; 0.0000962; 11.9999996; -0.0000000
3.1989115; -3.1868738; -0.3865156; 1.7878385; 0.0000961; 11.9999996; -0.0000000
3.3988435; -3.3820816; -0.4295640; 1.7878577; 0.0000963; 11.9999996; -0.0000000
3.5987755; -3.5773034; -0.4726194; 1.7878770; 0.0000964; 11.9999996; -0.0000000
3.7987074; -3.7725387; -0.5156817; 1.7878963; 0.0000966; 11.9999996; -0.0000000
3.9986394; -3.9677873; -0.5587509; 1.7879156; 0.0000968; 11.9999996; -0.0000000
4.1985714; -4.1630490; -0.6018269; 1.7879350; 0.0000969; 11.9999996; -0.0000000
4.3985033; -4.3583236; -0.6449098; 1.7879544; 0.0000971; 11.9999996; -0.0000000
4.5984353; -4.5535690; -0.6879902; 1.7879738; 0.0000965; 11.9999996; -0.0000000
4.7983673; -4.7487682; -0.7310643; 1.7879929; 0.0000949; 11.9999996; -0.0000000
4.9982993; -4.9439796; -0.7741450; 1.7880117; 0.0000933; 11.9999996; -0.0000000
5.1982312; -5.1392029; -0.8172322; 1.7880302; 0.0000917; 11.9999996; -0.0000000
5.3981632; -5.3344379; -0.8603257; 1.7880483; 0.0000901; 11.9999996; -0.0000000
5.5980952; -5.5296843; -0.9034254; 1.7880662; 0.0000884; 11.9999996; -0.0000000
5.7980271; -5.7249421; -0.9465312; 1.7880837; 0.0000868; 11.9999996; -0.0000000
5.9979591; -5.9202110; -0.9896431; 1.7881009; 0.0000852; 11.9999996; -0.0000000
6.1978911; -6.1154140; -1.0327439; 1.7881177; 0.0000826; 11.9999996; -0.0000000
6.3978230; -6.3106172; -1.0758481; 1.7881339; 0.0000799; 11.9999996; -0.0000000
6.5977550; -6.5058309; -1.1189578; 1.7881496; 0.0000771; 11.9999996; -0.0000000
6.7976870; -6.7010548; -1.1620730; 1.7881648; 0.0000744; 11.9999996; -0.0000000
6.9976190; -6.8962888; -1.2051935; 1.7881794; 0.0000717; 11.9999996; -0.0000000
7.1975509; -7.0915326; -1.2483191; 1.7881935; 0.0000689; 11.9999996; -0.0000000
7.3974829; -7.2867860; -1.2914496; 1.7882070; 0.0000662; 11.9999996; -0.0000000
7.5974149; -7.4820236; -1.3345794; 1.7882199; 0.0000631; 11.9999996; -0.0000000
7.7973468; -7.6772217; -1.3777030; 1.7882322; 0.0000595; 11.9999996; -0.0000000
7.9972788; -7.8724288; -1.4208310; 1.7882437; 0.0000558; 11.9999996; -0.0000000
8.1972108; -8.0676446; -1.4639632; 1.7882545; 0.0000522; 11.9999996; -0.0000000
8.3971427; -8.2628690; -1.5070995; 1.7882646; 0.0000485; 11.9999996; -0.0000000
8.5970747; -8.4581016; -1.5502395; 1.7882739; 0.0000448; 11.9999996; -0.0000000
8.7970067; -8.6533424; -1.5933832; 1.7882825; 0.0000412; 11.9999996; -0.0000000
8.9969387; -8.8485910; -1.6365304; 1.7882904; 0.0000375; 11.9999996; -0.0000000
9.1968706; -9.0437996; -1.6796702; 1.7882974; 0.0000330; 11.9999996; -0.0000000
9.3968026; -9.2390035; -1.7228103; 1.7883036; 0.0000284; 11.9999996; -0.0000000
9.5967346; -9.4342146; -1.7659532; 1.7883088; 0.0000237; 11.9999996; -0.0000000
9.7966665; -9.6294328; -1.8090986; 1.7883130; 0.0000190; 11.9999996; -0.0000000
9.9965985; -9.8246578; -1.8522463; 1.7883164; 0.0000143; 11.9999996; -0.0000000
10.1965305; -10.0198894; -1.8953960; 1.7883188; 0.0000097; 11.9999996; -0.0000000
10.3964624; -10.2151274; -1.9385476; 1.7883202; 0.0000050; 11.9999996; -0.0000000
10.5963944; -10.4103601; -1.9816982; 1.7883208; 0.0000000; 11.9999996; -0.0000000
10.7963264; -10.6055647; -2.0248425; 1.7883202; -0.0000059; 11.9999996; -0.0000000
10.9962584; -10.8007752; -2.0679880; 1.7883184; -0.0000119; 11.9999996; -0.0000000
11.1961903; -10.9959912; -2.1111341; 1.7883154; -0.0000178; 11.9999996; -0.0000000
11.3961223; -11.1912125; -2.1542807; 1.7883113; -0.0000237; 11.9999996; -0.0000000
11.5960543; -11.3864389; -2.1974275; 1.7883059; -0.0000297; 11.9999996; -0.0000000
11.7959862; -11.5816704; -2.2405742; 1.7882994; -0.0000356; 11.9999996; -0.0000000
11.9959182; -11.7769065; -2.2837204; 1.7882917; -0.0000415; 11.9999996; -0.0000000
12.1958502; -11.9721253; -2.3268611; 1.7882827; -0.0000485; 11.9999996; -0.0000000
12.3957822; -12.1673395; -2.3699988; 1.7882723; -0.0000559; 11.9999996; -0.0000000
12.5957141; -12.3625578; -2.4131351; 1.7882604; -0.0000634; 11.9999996; -0.0000000
12.7956461; -12.5577800; -2.4562697; 1.7882470; -0.0000708; 11.9999996; -0.0000000
12.9955781; -12.7530059; -2.4994022; 1.7882321; -0.0000782; 11.9999996; -0.0000000
13.1955100; -12.9482354; -2.5425323; 1.7882157; -0.0000856; 11.9999996; -0.0000000
13.3954420; -13.1434682; -2.5856597; 1.7881978; -0.0000930; 11.9999996; -0.0000000
13.5953740; -13.3387016; -2.6287833; 1.7881785; -0.0001007; 11.9999996; -0.0000000
13.7953059; -13.5339245; -2.6719005; 1.7881574; -0.0001096; 11.9999996; -0.0000000
13.9952379; -13.7291502; -2.7150138; 1.7881346; -0.0001185; 11.9999996; -0.0000000
14.1951699; -13.9243784; -2.7581229; 1.7881101; -0.0001274; 11.9999996; -0.0000000
14.3951019; -14.1196090; -2.8012272; 1.7880837; -0.0001363; 11.9999996; -0.0000000
14.5950338; -14.3148419; -2.8443265; 1.7880556; -0.0001452; 11.9999996; -0.0000000
14.7949658; -14.5100768; -2.8874203; 1.7880256; -0.0001541; 11.9999996; -0.0000000
14.9948978; -14.7053135; -2.9305082; 1.7879939; -0.0001630; 11.9999996; -0.0000000
15.1948297; -14.9005511; -2.9735896; 1.7879604; -0.0001725; 11.9999996; -0.0000000
15.3947617; -15.0957898; -3.0166641; 1.7879250; -0.0001823; 11.9999996; -0.0000000
15.5946937; -15.2910297; -3.0597315; 1.7878875; -0.0001922; 11.9999996; -0.0000000
15.7946256; -15.4862709; -3.1027913; 1.7878481; -0.0002020; 11.9999996; -0.0000000
15.9945576; -15.6815129; -3.1458430; 1.7878068; -0.0002118; 11.9999996; -0.0000000
16.1944896; -15.8767558; -3.1888862; 1.7877634; -0.0002217; 11.9999996; -0.0000000
16.3944216; -16.0719993; -3.2319205; 1.7877181; -0.0002315; 11.9999996; -0.0000000
16.5943535; -16.2672441; -3.2749456; 1.7876708; -0.0002413; 11.9999996; -0.0000000
16.7942855; -16.4625018; -3.3179636; 1.7876216; -0.0002507; 11.9999996; -0.0000000
16.9942175; -16.6577595; -3.3609715; 1.7875706; -0.0002601; 11.9999996; -0.0000000
17.1941494; -16.8530172; -3.4039686; 1.7875176; -0.0002695; 11.9999996; -0.0000000
17.3940814; -17.0482746; -3.4469547; 1.7874628; -0.0002789; 11.9999996; -0.0000000
17.5940134; -17.2435317; -3.4899292; 1.7874061; -0.0002883; 11.9999996; -0.0000000
17.7939453; -17.4387881; -3.5328918; 1.7873475; -0.0002977; 11.9999996; -0.0000000
17.9938773; -17.6340438; -3.5758421; 1.7872870; -0.0003071; 11.9999996; -0.0000000
18.1938093; -17.8293129; -3.6187828; 1.7872248; -0.0003150; 11.9999996; -0.0000000
18.3937413; -18.0245943; -3.6617132; 1.7871611; -0.0003213; 11.9999996; -0.0000000
18.5936732; -18.2198744; -3.7046303; 1.7870963; -0.0003277; 11.9999996; -0.0000000
18.7936052; -18.4151531; -3.7475336; 1.7870301; -0.0003340; 11.9999996; -0.0000000
18.9935372; -18.6104300; -3.7904228; 1.7869627; -0.0003404; 11.9999996; -0.0000000
19.1934691; -18.8057050; -3.8332977; 1.7868940; -0.0003467; 11.9999996; -0.0000000
19.3934011; -19.0009780; -3.8761580; 1.7868241; -0.0003531; 11.9999996; -0.0000000
19.5933331; -19.1962487; -3.9190033; 1.7867528; -0.0003594; 11.9999996; -0.0000000
19.7932650; -19.3915574; -3.9618423; 1.7866810; -0.0003588; 11.9999996; -0.0000000
19.9931970; -19.5868648; -4.0046663; 1.7866094; -0.0003579; 11.9999996; -0.0000000
20.1931290; -19.7821692; -4.0474750; 1.7865379; -0.0003571; 11.9999996; -0.0000000
20.3930610; -19.9774703; -4.0902684; 1.7864666; -0.0003562; 11.9999996; -0.0000000
20.5929929; -20.1727680; -4.1330465; 1.7863954; -0.0003554; 11.9999996; -0.0000000
20.7929249; -20.3680620; -4.1758092; 1.7863245; -0.0003545; 11.9999996; -0.0000000
20.9928569; -20.5633521; -4.2185565; 1.7862537; -0.0003537; 11.9999996; -0.0000000
21.1927888; -20.7586613; -4.2612936; 1.7861833; -0.0003472; 11.9999996; -0.0000000
21.3927208; -20.9539981; -4.3040225; 1.7861153; -0.0003332; 11.9999996; -0.0000000
21.5926528; -21.1493300; -4.3467367; 1.7860500; -0.0003192; 11.9999996; -0.0000000
21.7925848; -21.3446568; -4.3894367; 1.7859876; -0.0003051; 11.9999996; -0.0000000
21.9925167; -21.5399780; -4.4321230; 1.7859280; -0.0002911; 11.9999996; -0.0000000
22.1924487; -21.7352933; -4.4747961; 1.7858712; -0.0002771; 11.9999996; -0.0000000
22.3923807; -21.9306024; -4.5174566; 1.7858172; -0.0002630; 11.9999996; -0.0000000
22.5923126; -22.1259050; -4.5601048; 1.7857661; -0.0002490; 11.9999996; -0.0000000
22.7922446; -22.3212605; -4.6027545; 1.7857193; -0.0002168; 11.9999996; -0.0000000
22.9921766; -22.5166169; -4.6453955; 1.7856794; -0.0001820; 11.9999996; -0.0000000
23.1921085; -22.7119653; -4.6880273; 1.7856465; -0.0001473; 11.9999996; -0.0000000
23.3920405; -22.9073054; -4.7306513; 1.7856205; -0.0001126; 11.9999996; -0.0000000
23.5919725; -23.1026365; -4.7732688; 1.7856015; -0.0000778; 11.9999996; -0.0000000
23.7919045; -23.2979583; -4.8158810; 1.7855894; -0.0000431; 11.9999996; -0.0000000
23.9918364; -23.4932703; -4.8584893; 1.7855842; -0.0000083; 11.9999996; -0.0000000
24.1917684; -23.6885988; -4.9011009; 1.7855864; 0.0000365; 11.9999996; -0.0000000
24.3917004; -23.8839687; -4.9437230; 1.7856001; 0.0001009; 11.9999996; -0.0000000
24.5916323; -24.0793270; -4.9863468; 1.7856268; 0.0001654; 11.9999996; -0.0000000
24.7915643; -24.2746730; -5.0289746; 1.7856663; 0.0002298; 11.9999996; -0.0000000
24.9914963; -24.4700059; -5.0716090; 1.7857187; 0.0002943; 11.9999996; -0.0000000
25.1914282; -24.6653249; -5.1142524; 1.7857840; 0.0003588; 11.9999996; -0.0000000
25.3913602; -24.8606295; -5.1569074; 1.7858622; 0.0004233; 11.9999996; -0.0000000
25.5912922; -25.0559189; -5.1995763; 1.7859532; 0.0004879; 11.9999996; -0.0000000
25.7912242; -25.2512630; -5.2422773; 1.7860596; 0.0005817; 11.9999996; 0.0000000
25.9911561; -25.4466076; -5.2850022; 1.7861860; 0.0006828; 11.9999996; 0.0000000
26.1910881; -25.6419345; -5.3277511; 1.7863326; 0.0007839; 11.9999996; 0.0000000
26.3910201; -25.8372427; -5.3705281; 1.7864995; 0.0008850; 11.9999996; 0.0000000
26.5909520; -26.0325312; -5.4133369; 1.7866865; 0.0009862; 11.9999996; 0.0000000
26.7908840; -26.2277992; -5.4561816; 1.7868938; 0.0010874; 11.9999996; 0.0000000
26.9908160; -26.4230456; -5.4990661; 1.7871213; 0.0011886; 11.9999996; 0.0000000
27.1907479; -26.6182941; -5.5419997; 1.7873694; 0.0013024; 11.9999996; 0.0000000
27.3906799; -26.8135860; -5.5849962; 1.7876446; 0.0014504; 11.9999996; 0.0000000
27.5906119; -27.0088532; -5.6280467; 1.7879494; 0.0015984; 11.9999996; 0.0000000
27.7905439; -27.2040944; -5.6711569; 1.7882838; 0.0017465; 11.9999996; 0.0000000
27.9904758; -27.3993086; -5.7143326; 1.7886478; 0.0018946; 11.9999996; 0.0000000
28.1904078; -27.5944943; -5.7575796; 1.7890414; 0.0020427; 11.9999996; 0.0000000
28.3903398; -27.7896505; -5.8009037; 1.7894646; 0.0021909; 11.9999996; 0.0000000
28.5902717; -27.9847759; -5.8443106; 1.7899173; 0.0023392; 11.9999996; 0.0000000
28.7902037; -28.1799347; -5.8878207; 1.7904000; 0.0024893; 11.9999996; 0.0000000
28.9901357; -28.3750833; -5.9314306; 1.7909128; 0.0026400; 11.9999996; 0.0000000
29.1900676; -28.5701972; -5.9751408; 1.7914558; 0.0027909; 11.9999996; 0.0000000
29.3899996; -28.7652750; -6.0189573; 1.7920289; 0.0029418; 11.9999996; 0.0000000
29.5899316; -28.9603155; -6.0628859; 1.7926321; 0.0030927; 11.9999996; 0.0000000
29.7898636; -29.1553172; -6.1069325; 1.7932655; 0.0032436; 11.9999996; 0.0000000
29.9897955; -29.3502788; -6.1511029; 1.7939290; 0.0033946; 11.9999996; 0.0000000
30.1897275; -29.5452137; -6.1954064; 1.7946225; 0.0035382; 11.9999996; 0.0000000
30.3896595; -29.7401610; -6.2398576; 1.7953415; 0.0036536; 11.9999996; 0.0000000
30.5895914; -29.9350666; -6.2844491; 1.7960836; 0.0037690; 11.9999996; 0.0000000
30.7895234; -30.1299311; -6.3291858; 1.7968486; 0.0038842; 11.9999996; 0.0000000
30.9894554; -30.3247551; -6.3740724; 1.7976367; 0.0039993; 11.9999996; 0.0000000
31.1893873; -30.5195392; -6.4191139; 1.7984478; 0.0041143; 11.9999996; 0.0000000
31.3893193; -30.7142841; -6.4643152; 1.7992818; 0.0042291; 11.9999996; 0.0000000
31.5892513; -30.9089903; -6.5096810; 1.8001388; 0.0043438; 11.9999996; 0.0000000
31.7891833; -31.1036442; -6.5552133; 1.8010299; 0.0046228; 11.9999996; 0.0000000
31.9891152; -31.2982530; -6.6009249; 1.8019893; 0.0049765; 11.9999996; 0.0000000
