# 0ee2c644-95f3-4f28-9068-a03c4bafebb5
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0057335; 0.0301033; 1.7813945; 0.0005309; 11.9999988; 0.0000070
0.1999276; -0.2011783; -0.0116872; 1.7814976; 0.0005010; 11.9999989; 0.0000070
0.3998552; -0.3966387; -0.0535015; 1.7815948; 0.0004712; 11.9999990; 0.0000070
0.5997829; -0.5921150; -0.0953384; 1.7816860; 0.0004414; 11.9999991; 0.0000070
0.7997105; -0.7876070; -0.1371967; 1.7817713; 0.0004116; 11.9999992; 0.0000070
0.9996381; -0.9831147; -0.1790752; 1.7818506; 0.0003818; 11.9999993; 0.0000070
1.1995657; -1.1786382; -0.2209727; 1.7819240; 0.0003521; 11.9999995; 0.0000070
1.3994934; -1.3741775; -0.2628880; 1.7819914; 0.0003223; 11.9999996; 0.0000036
1.5994210; -1.5696661; -0.3048057; 1.7820536; 0.0003063; 11.9999996; -0.0000000
1.7993486; -1.7650985; -0.3467238; 1.7821146; 0.0003049; 11.9999996; -0.0000000
1.9992762; -1.9605463; -0.3886577; 1.7821755; 0.0003036; 11.9999996; -0.0000000
2.1992038; -2.1560095; -0.4306073; 1.7822360; 0.0003023; 11.9999996; -0.0000000
2.3991315; -2.3514877; -0.4725724; 1.7822963; 0.0003010; 11.9999996; -0.0000000
2.5990591; -2.5469807; -0.5145531; 1.7823564; 0.0002997; 11.9999996; -0.0000000
2.7989867; -2.7424885; -0.5565492; 1.7824162; 0.0002984; 11.9999996; -0.0000000
2.9989143; -2.9380108; -0.5985606; 1.7824757; 0.0002970; 11.9999996; 0.0000000
3.1988420; -3.1334270; -0.6405614; 1.7825349; 0.0002953; 11.9999996; 0.0000000
3.3987696; -3.3288516; -0.6825760; 1.7825938; 0.0002936; 11.9999996; 0.0000000
3.5986972; -3.5242900; -0.7246056; 1.7826523; 0.0002918; 11.9999996; 0.0000000
3.7986248; -3.7197421; -0.7666501; 1.7827104; 0.0002901; 11.9999996; 0.0000000
3.9985524; -3.9152076; -0.8087093; 1.7827683; 0.0002883; 11.9999996; 0.0000000
4.1984801; -4.1106863; -0.8507831; 1.7828257; 0.0002866; 11.9999996; 0.0000000
4.3984077; -4.3061780; -0.8928715; 1.7828829; 0.0002848; 11.9999996; 0.0000000
4.5983353; -4.5016344; -0.9349639; 1.7829396; 0.0002816; 11.9999996; 0.0000000
4.7982629; -4.6970384; -0.9770565; 1.7829954; 0.0002765; 11.9999996; 0.0000000
4.9981906; -4.8924547; -1.0191631; 1.7830501; 0.0002714; 11.9999996; 0.0000000
5.1981182; -5.0878831; -1.0612834; 1.7831039; 0.0002663; 11.9999996; 0.0000000
5.3980458; -5.2833235; -1.1034172; 1.7831566; 0.0002612; 11.9999996; 0.0000000
5.5979734; -5.4787756; -1.1455641; 1.7832083; 0.0002560; 11.9999996; 0.0000000
5.7979010; -5.6742392; -1.1877241; 1.7832590; 0.0002509; 11.9999996; 0.0000000
5.9978287; -5.8697142; -1.2298967; 1.7833087; 0.0002458; 11.9999996; 0.0000000
6.1977563; -6.0651120; -1.2720627; 1.7833572; 0.0002399; 11.9999996; 0.0000000
6.3976839; -6.2605098; -1.3142386; 1.7834045; 0.0002338; 11.9999996; 0.0000000
6.5976115; -6.4559184; -1.3564263; 1.7834507; 0.0002277; 11.9999996; 0.0000000
6.7975392; -6.6513375; -1.3986256; 1.7834956; 0.0002217; 11.9999996; 0.0000000
6.9974668; -6.8467668; -1.4408362; 1.7835393; 0.0002156; 11.9999996; 0.0000000
7.1973944; -7.0422064; -1.4830578; 1.7835818; 0.0002095; 11.9999996; 0.0000000
7.3973220; -7.2376558; -1.5252901; 1.7836231; 0.0002035; 11.9999996; 0.0000000
7.5972496; -7.4330850; -1.5675263; 1.7836632; 0.0001975; 11.9999996; 0.0000000
7.7971773; -7.6284688; -1.6097609; 1.7837021; 0.0001917; 11.9999996; 0.0000000
7.9971049; -7.8238619; -1.6520052; 1.7837398; 0.0001859; 11.9999996; 0.0000000
8.1970325; -8.0192641; -1.6942592; 1.7837764; 0.0001801; 11.9999996; 0.0000000
8.3969601; -8.2146751; -1.7365224; 1.7838118; 0.0001743; 11.9999996; 0.0000000
8.5968878; -8.4100948; -1.7787946; 1.7838461; 0.0001685; 11.9999996; 0.0000000
8.7968154; -8.6055229; -1.8210755; 1.7838792; 0.0001627; 11.9999996; 0.0000000
8.9967430; -8.8009592; -1.8633649; 1.7839112; 0.0001568; 11.9999996; -0.0000000
9.1966706; -8.9963468; -1.9056501; 1.7839420; 0.0001514; 11.9999996; -0.0000000
9.3965983; -9.1917289; -1.9479403; 1.7839717; 0.0001460; 11.9999996; -0.0000000
9.5965259; -9.3871186; -1.9902382; 1.7840003; 0.0001406; 11.9999996; -0.0000000
9.7964535; -9.5825157; -2.0325434; 1.7840279; 0.0001352; 11.9999996; -0.0000000
9.9963811; -9.7779198; -2.0748556; 1.7840544; 0.0001299; 11.9999996; -0.0000000
10.1963087; -9.9733309; -2.1171747; 1.7840798; 0.0001245; 11.9999996; -0.0000000
10.3962364; -10.1687487; -2.1595003; 1.7841042; 0.0001191; 11.9999996; -0.0000000
10.5961640; -10.3641583; -2.2018290; 1.7841275; 0.0001137; 11.9999996; -0.0000000
10.7960916; -10.5595339; -2.2441550; 1.7841496; 0.0001081; 11.9999996; -0.0000000
10.9960192; -10.7549156; -2.2864867; 1.7841707; 0.0001026; 11.9999996; -0.0000000
11.1959469; -10.9503030; -2.3288239; 1.7841906; 0.0000970; 11.9999996; -0.0000000
11.3958745; -11.1456960; -2.3711663; 1.7842095; 0.0000915; 11.9999996; -0.0000000
11.5958021; -11.3410943; -2.4135135; 1.7842272; 0.0000859; 11.9999996; -0.0000000
11.7957297; -11.5364977; -2.4558654; 1.7842438; 0.0000804; 11.9999996; -0.0000000
11.9956573; -11.7319061; -2.4982216; 1.7842594; 0.0000748; 11.9999996; -0.0000000
12.1955850; -11.9272907; -2.5405757; 1.7842737; 0.0000683; 11.9999996; -0.0000000
12.3955126; -12.1226687; -2.5829312; 1.7842867; 0.0000614; 11.9999996; -0.0000000
12.5954402; -12.3180510; -2.6252901; 1.7842982; 0.0000545; 11.9999996; -0.0000000
12.7953678; -12.5134373; -2.6676522; 1.7843084; 0.0000476; 11.9999996; -0.0000000
12.9952955; -12.7088274; -2.7100170; 1.7843173; 0.0000407; 11.9999996; -0.0000000
13.1952231; -12.9042211; -2.7523842; 1.7843247; 0.0000338; 11.9999996; -0.0000000
13.3951507; -13.0996182; -2.7947536; 1.7843308; 0.0000269; 11.9999996; -0.0000000
13.5950783; -13.2950143; -2.8371238; 1.7843355; 0.0000195; 11.9999996; -0.0000000
13.7950059; -13.4903935; -2.8794912; 1.7843384; 0.0000097; 11.9999996; -0.0000000
13.9949336; -13.6857755; -2.9218596; 1.7843394; -0.0000001; 11.9999996; -0.0000000
14.1948612; -13.8811601; -2.9642285; 1.7843384; -0.0000098; 11.9999996; -0.0000000
14.3947888; -14.0765472; -3.0065976; 1.7843354; -0.0000196; 11.9999996; -0.0000000
14.5947164; -14.2719364; -3.0489663; 1.7843305; -0.0000294; 11.9999996; -0.0000000
14.7946441; -14.4673276; -3.0913343; 1.7843237; -0.0000392; 11.9999996; -0.0000000
14.9945717; -14.6627207; -3.1337011; 1.7843148; -0.0000490; 11.9999996; -0.0000000
15.1944993; -14.8581101; -3.1760650; 1.7843039; -0.0000616; 11.9999996; -0.0000000
15.3944269; -15.0534977; -3.2184261; 1.7842902; -0.0000759; 11.9999996; -0.0000000
15.5943545; -15.2488867; -3.2607843; 1.7842735; -0.0000902; 11.9999996; -0.0000000
15.7942822; -15.4442768; -3.3031391; 1.7842541; -0.0001045; 11.9999996; -0.0000000
15.9942098; -15.6396681; -3.3454899; 1.7842318; -0.0001188; 11.9999996; -0.0000000
16.1941374; -15.8350602; -3.3878360; 1.7842066; -0.0001331; 11.9999996; -0.0000000
16.3940650; -16.0304532; -3.4301768; 1.7841785; -0.0001474; 11.9999996; -0.0000000
16.5939927; -16.2258472; -3.4725118; 1.7841476; -0.0001622; 11.9999996; -0.0000000
16.7939203; -16.4212477; -3.5148416; 1.7841132; -0.0001824; 11.9999996; -0.0000000
16.9938479; -16.6166487; -3.5571640; 1.7840747; -0.0002025; 11.9999996; -0.0000000
17.1937755; -16.8120499; -3.5994782; 1.7840322; -0.0002227; 11.9999996; -0.0000000
17.3937031; -17.0074513; -3.6417833; 1.7839857; -0.0002429; 11.9999996; -0.0000000
17.5936308; -17.2028529; -3.6840785; 1.7839351; -0.0002630; 11.9999996; -0.0000000
17.7935584; -17.3982545; -3.7263630; 1.7838805; -0.0002832; 11.9999996; -0.0000000
17.9934860; -17.5936561; -3.7686359; 1.7838218; -0.0003034; 11.9999996; -0.0000000
18.1934136; -17.7890687; -3.8108987; 1.7837590; -0.0003269; 11.9999996; -0.0000000
18.3933413; -17.9844913; -3.8531504; 1.7836910; -0.0003534; 11.9999996; -0.0000000
18.5932689; -18.1799136; -3.8953875; 1.7836177; -0.0003800; 11.9999996; -0.0000000
18.7931965; -18.3753356; -3.9376090; 1.7835390; -0.0004065; 11.9999996; -0.0000000
18.9931241; -18.5707574; -3.9798139; 1.7834551; -0.0004330; 11.9999996; -0.0000000
19.1930517; -18.7661788; -4.0220009; 1.7833659; -0.0004596; 11.9999996; -0.0000000
19.3929794; -18.9615998; -4.0641691; 1.7832714; -0.0004861; 11.9999996; -0.0000000
19.5929070; -19.1570204; -4.1063174; 1.7831715; -0.0005127; 11.9999996; -0.0000000
19.7928346; -19.3524757; -4.1484521; 1.7830659; -0.0005443; 11.9999996; -0.0000000
19.9927622; -19.5479313; -4.1905646; 1.7829539; -0.0005761; 11.9999996; -0.0000000
20.1926899; -19.7433866; -4.2326535; 1.7828355; -0.0006079; 11.9999996; -0.0000000
20.3926175; -19.9388415; -4.2747174; 1.7827108; -0.0006396; 11.9999996; -0.0000000
20.5925451; -20.1342959; -4.3167551; 1.7825798; -0.0006714; 11.9999996; -0.0000000
20.7924727; -20.3297501; -4.3587653; 1.7824423; -0.0007032; 11.9999996; -0.0000000
20.9924003; -20.5252039; -4.4007467; 1.7822986; -0.0007350; 11.9999996; -0.0000000
21.1923280; -20.7206789; -4.4427025; 1.7821484; -0.0007675; 11.9999996; -0.0000000
21.3922556; -20.9161821; -4.4846331; 1.7819916; -0.0008007; 11.9999996; -0.0000000
21.5921832; -21.1116850; -4.5265308; 1.7818282; -0.0008339; 11.9999996; -0.0000000
21.7921108; -21.3071877; -4.5683944; 1.7816582; -0.0008672; 11.9999996; -0.0000000
21.9920385; -21.5026901; -4.6102225; 1.7814815; -0.0009004; 11.9999996; -0.0000000
22.1919661; -21.6981924; -4.6520138; 1.7812981; -0.0009337; 11.9999996; -0.0000000
22.3918937; -21.8936944; -4.6937668; 1.7811082; -0.0009670; 11.9999996; -0.0000000
22.5918213; -22.0891964; -4.7354803; 1.7809115; -0.0010003; 11.9999996; -0.0000000
22.7917489; -22.2847548; -4.7771650; 1.7807087; -0.0010282; 11.9999996; -0.0000000
22.9916766; -22.4803205; -4.8188093; 1.7805004; -0.0010554; 11.9999996; -0.0000000
23.1916042; -22.6758860; -4.8604103; 1.7802866; -0.0010826; 11.9999996; -0.0000000
23.3915318; -22.8714513; -4.9019671; 1.7800675; -0.0011098; 11.9999996; -0.0000000
23.5914594; -23.0670164; -4.9434785; 1.7798429; -0.0011370; 11.9999996; -0.0000000
23.7913871; -23.2625813; -4.9849433; 1.7796128; -0.0011643; 11.9999996; -0.0000000
23.9913147; -23.4581459; -5.0263606; 1.7793774; -0.0011915; 11.9999996; -0.0000000
24.1912423; -23.6537369; -5.0677347; 1.7791367; -0.0012122; 11.9999996; -0.0000000
24.3911699; -23.8493784; -5.1090701; 1.7788935; -0.0012203; 11.9999996; -0.0000000
24.5910975; -24.0450195; -5.1503555; 1.7786487; -0.0012284; 11.9999996; -0.0000000
24.7910252; -24.2406598; -5.1915906; 1.7784022; -0.0012365; 11.9999996; -0.0000000
24.9909528; -24.4362993; -5.2327749; 1.7781542; -0.0012446; 11.9999996; -0.0000000
25.1908804; -24.6319376; -5.2739082; 1.7779046; -0.0012527; 11.9999996; -0.0000000
25.3908080; -24.8275747; -5.3149901; 1.7776534; -0.0012608; 11.9999996; -0.0000000
25.5907357; -25.0232104; -5.3560202; 1.7774005; -0.0012689; 11.9999996; -0.0000000
25.7906633; -25.2189175; -5.3970135; 1.7771484; -0.0012474; 11.9999996; -0.0000000
25.9905909; -25.4146403; -5.4379593; 1.7769018; -0.0012187; 11.9999996; -0.0000000
26.1905185; -25.6103607; -5.4788547; 1.7766610; -0.0011900; 11.9999996; -0.0000000
26.3904462; -25.8060780; -5.5197009; 1.7764259; -0.0011613; 11.9999996; -0.0000000
26.5903738; -26.0017920; -5.5604989; 1.7761966; -0.0011326; 11.9999996; -0.0000000
26.7903014; -26.1975020; -5.6012499; 1.7759731; -0.0011039; 11.9999996; -0.0000000
26.9902290; -26.3932076; -5.6419550; 1.7757553; -0.0010751; 11.9999996; -0.0000000
27.1901566; -26.5889361; -5.6826209; 1.7755437; -0.0010284; 11.9999996; -0.0000000
27.3900843; -26.7847345; -5.7232595; 1.7753477; -0.0009324; 11.9999996; -0.0000000
27.5900119; -26.9805265; -5.7638587; 1.7751709; -0.0008364; 11.9999996; -0.0000000
27.7899395; -27.1763111; -5.8044223; 1.7750132; -0.0007404; 11.9999996; -0.0000000
27.9898671; -27.3720875; -5.8449539; 1.7748748; -0.0006443; 11.9999996; -0.0000000
28.1897948; -27.5678546; -5.8854573; 1.7747556; -0.0005482; 11.9999996; -0.0000000
28.3897224; -27.7636115; -5.9259362; 1.7746556; -0.0004521; 11.9999996; -0.0000000
28.5896500; -27.9593573; -5.9663944; 1.7745749; -0.0003559; 11.9999996; 0.0000000
28.7895776; -28.1551750; -6.0068530; 1.7745157; -0.0002273; 11.9999996; 0.0000000
28.9895052; -28.3510094; -6.0473058; 1.7744842; -0.0000871; 11.9999996; 0.0000000
29.1894329; -28.5468289; -6.0877519; 1.7744808; 0.0000532; 11.9999996; 0.0000000
29.3893605; -28.7426323; -6.1281969; 1.7745055; 0.0001935; 11.9999996; 0.0000000
29.5892881; -28.9384181; -6.1686462; 1.7745582; 0.0003339; 11.9999996; 0.0000000
29.7892157; -29.1341848; -6.2091051; 1.7746390; 0.0004744; 11.9999996; 0.0000000
29.9891434; -29.3299311; -6.2495792; 1.7747479; 0.0006149; 11.9999996; 0.0000000
30.1890710; -29.5256801; -6.2900790; 1.7748848; 0.0007531; 11.9999996; 0.0000000
30.3889986; -29.7214990; -6.3306239; 1.7750483; 0.0008822; 11.9999996; 0.0000000
30.5889262; -29.9172947; -6.3712000; 1.7752376; 0.0010114; 11.9999996; 0.0000000
30.7888538; -30.1130672; -6.4118126; 1.7754528; 0.0011406; 11.9999996; 0.0000000
30.9887815; -30.3088163; -6.4524669; 1.7756937; 0.0012698; 11.9999996; 0.0000000
31.1887091; -30.5045418; -6.4931682; 1.7759605; 0.0013991; 11.9999996; 0.0000000
31.3886367; -30.7002436; -6.5339216; 1.7762531; 0.0015284; 11.9999996; 0.0000000
31.5885643; -30.8959217; -6.5747325; 1.7765715; 0.0016576; 11.9999996; 0.0000000
31.7884920; -31.0916166; -6.6156151; 1.7769287; 0.0019746; 11.9999996; 0.0000000
31.9884196; -31.2873057; -6.6565773; 1.7773638; 0.0023774; 11.9999996; 0.0000000
32.1883472; -31.4829698; -6.6976312; 1.7778793; 0.0027802; 11.9999996; 0.0000000
32.3882748; -31.6786081; -6.7387933; 1.7784754; 0.0031828; 11.9999996; 0.0000000
32.5882024; -31.8742199; -6.7800799; 1.7791519; 0.0035853; 11.9999996; 0.0000000
32.7881301; -32.0698046; -6.8215071; 1.7799089; 0.0039875; 11.9999996; 0.0000000
32.9880577; -32.2653615; -6.8630915; 1.7807463; 0.0043894; 11.9999996; 0.0000000
33.1879853; -32.4608792; -6.9048468; 1.7816636; 0.0047665; 11.9999996; 0.0000000
33.3879129; -32.6563128; -6.9467783; 1.7826417; 0.0050196; 11.9999996; 0.0000000
33.5878406; -32.8517163; -6.9889085; 1.7836703; 0.0052725; 11.9999996; 0.0000000
33.7877682; -33.0470888; -7.0312476; 1.7847496; 0.0055251; 11.9999996; 0.0000000
33.9876958; -33.2424292; -7.0738056; 1.7858794; 0.0057775; 11.9999996; 0.0000000
34.1876234; -33.4377366; -7.1165928; 1.7870598; 0.0060296; 11.9999996; 0.0000000
34.3875510; -33.6330101; -7.1596194; 1.7882906; 0.0062814; 11.9999996; 0.0000000
34.5874787; -33.8282485; -7.2028955; 1.7895719; 0.0065330; 11.9999996; 0.0000000
34.7874063; -34.0233455; -7.2464074; 1.7908988; 0.0067204; 11.9999996; 0.0000000
34.9873339; -34.2183476; -7.2901732; 1.7922571; 0.0068720; 11.9999996; 0.0000000
35.1872615; -34.4133138; -7.3342123; 1.7936458; 0.0070233; 11.9999996; 0.0000000
35.3871892; -34.6082443; -7.3785311; 1.7950649; 0.0071742; 11.9999996; 0.0000000
35.5871168; -34.8031393; -7.4231359; 1.7965143; 0.0073247; 11.9999996; 0.0000000
35.7870444; -34.9979990; -7.4680330; 1.7979940; 0.0074748; 11.9999996; 0.0000000
35.9869720; -35.1928236; -7.5132288; 1.7995039; 0.0076245; 11.9999996; -0.0000000
36.1868996; -35.3875837; -7.5587228; 1.8010435; 0.0077480; 11.9999996; -0.0000000
36.3868273; -35.5820762; -7.6044709; 1.8025835; 0.0076680; 11.9999996; -0.0000000
36.5867549; -35.7765356; -7.6505258; 1.8041079; 0.0075879; 11.9999996; -0.0000000
36.7866825; -35.9709633; -7.6968847; 1.8056166; 0.0075078; 11.9999996; -0.0000000
36.9866101; -36.1653605; -7.7435448; 1.8071095; 0.0074276; 11.9999996; -0.0000000
37.1865378; -36.3597286; -7.7905032; 1.8085867; 0.0073474; 11.9999996; -0.0000000
