# 485eeac5-571b-4880-ac39-e5adf6bcc856
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0045403; -0.0186920; 1.7792473; 0.0007069; 11.9999988; 0.0000070
0.1999436; -0.1910084; -0.0600693; 1.7793857; 0.0006778; 11.9999989; 0.0000070
0.3998871; -0.3865712; -0.1014774; 1.7795182; 0.0006487; 11.9999990; 0.0000070
0.5998307; -0.5821483; -0.1429150; 1.7796450; 0.0006196; 11.9999991; 0.0000070
0.7997742; -0.7777399; -0.1843810; 1.7797660; 0.0005905; 11.9999992; 0.0000070
0.9997178; -0.9733459; -0.2258741; 1.7798812; 0.0005614; 11.9999993; 0.0000070
1.1996613; -1.1689667; -0.2673934; 1.7799905; 0.0005324; 11.9999995; 0.0000070
1.3996049; -1.3646021; -0.3089375; 1.7800941; 0.0005034; 11.9999996; 0.0000036
1.5995485; -1.5601843; -0.3504909; 1.7801924; 0.0004859; 11.9999996; 0.0000000
1.7994920; -1.7557079; -0.3920517; 1.7802890; 0.0004810; 11.9999996; 0.0000000
1.9994356; -1.9512460; -0.4336353; 1.7803847; 0.0004760; 11.9999996; 0.0000000
2.1993791; -2.1467985; -0.4752414; 1.7804794; 0.0004711; 11.9999996; 0.0000000
2.3993227; -2.3423653; -0.5168698; 1.7805731; 0.0004662; 11.9999996; 0.0000000
2.5992662; -2.5379460; -0.5585202; 1.7806658; 0.0004612; 11.9999996; 0.0000000
2.7992098; -2.7335405; -0.6001924; 1.7807576; 0.0004563; 11.9999996; 0.0000000
2.9991533; -2.9291486; -0.6418861; 1.7808483; 0.0004514; 11.9999996; 0.0000000
3.1990969; -3.1246467; -0.6835749; 1.7809378; 0.0004441; 11.9999996; 0.0000000
3.3990405; -3.3201524; -0.7252834; 1.7810259; 0.0004367; 11.9999996; 0.0000000
3.5989840; -3.5156711; -0.7670125; 1.7811124; 0.0004293; 11.9999996; 0.0000000
3.7989276; -3.7112026; -0.8087619; 1.7811975; 0.0004219; 11.9999996; 0.0000000
3.9988711; -3.9067469; -0.8505313; 1.7812812; 0.0004145; 11.9999996; 0.0000000
4.1988147; -4.1023036; -0.8923203; 1.7813633; 0.0004071; 11.9999996; 0.0000000
4.3987582; -4.2978726; -0.9341286; 1.7814440; 0.0003997; 11.9999996; 0.0000000
4.5987018; -4.4934044; -0.9759452; 1.7815231; 0.0003906; 11.9999996; 0.0000000
4.7986454; -4.6888821; -1.0177663; 1.7816000; 0.0003792; 11.9999996; 0.0000000
4.9985889; -4.8843716; -1.0596053; 1.7816747; 0.0003678; 11.9999996; 0.0000000
5.1985325; -5.0798727; -1.1014619; 1.7817471; 0.0003564; 11.9999996; 0.0000000
5.3984760; -5.2753854; -1.1433356; 1.7818172; 0.0003450; 11.9999996; 0.0000000
5.5984196; -5.4709095; -1.1852257; 1.7818851; 0.0003337; 11.9999996; 0.0000000
5.7983631; -5.6664447; -1.2271319; 1.7819507; 0.0003223; 11.9999996; 0.0000000
5.9983067; -5.8619910; -1.2690537; 1.7820140; 0.0003109; 11.9999996; 0.0000000
6.1982502; -6.0574575; -1.3109711; 1.7820750; 0.0002988; 11.9999996; 0.0000000
6.3981938; -6.2529240; -1.3529007; 1.7821335; 0.0002867; 11.9999996; 0.0000000
6.5981374; -6.4484010; -1.3948443; 1.7821896; 0.0002745; 11.9999996; 0.0000000
6.7980809; -6.6438885; -1.4368013; 1.7822432; 0.0002623; 11.9999996; 0.0000000
6.9980245; -6.8393863; -1.4787712; 1.7822945; 0.0002502; 11.9999996; 0.0000000
7.1979680; -7.0348941; -1.5207536; 1.7823433; 0.0002380; 11.9999996; 0.0000000
7.3979116; -7.2304119; -1.5627478; 1.7823897; 0.0002259; 11.9999996; 0.0000000
7.5978551; -7.4259085; -1.6047468; 1.7824336; 0.0002140; 11.9999996; 0.0000000
7.7977987; -7.6213590; -1.6467445; 1.7824753; 0.0002026; 11.9999996; 0.0000000
7.9977423; -7.8168188; -1.6887526; 1.7825147; 0.0001913; 11.9999996; 0.0000000
8.1976858; -8.0122880; -1.7307704; 1.7825518; 0.0001799; 11.9999996; 0.0000000
8.3976294; -8.2077663; -1.7727976; 1.7825866; 0.0001686; 11.9999996; 0.0000000
8.5975729; -8.4032536; -1.8148337; 1.7826192; 0.0001572; 11.9999996; 0.0000000
8.7975165; -8.5987496; -1.8568780; 1.7826495; 0.0001459; 11.9999996; 0.0000000
8.9974600; -8.7942542; -1.8989302; 1.7826775; 0.0001346; 11.9999996; 0.0000000
9.1974036; -8.9897087; -1.9409770; 1.7827034; 0.0001242; 11.9999996; 0.0000000
9.3973471; -9.1851583; -1.9830279; 1.7827272; 0.0001141; 11.9999996; 0.0000000
9.5972907; -9.3806159; -2.0250852; 1.7827490; 0.0001040; 11.9999996; 0.0000000
9.7972343; -9.5760814; -2.0671485; 1.7827688; 0.0000939; 11.9999996; 0.0000000
9.9971778; -9.7715546; -2.1092172; 1.7827866; 0.0000838; 11.9999996; 0.0000000
10.1971214; -9.9670354; -2.1512910; 1.7828023; 0.0000737; 11.9999996; 0.0000000
10.3970649; -10.1625235; -2.1933694; 1.7828161; 0.0000637; 11.9999996; 0.0000000
10.5970085; -10.3580033; -2.2354486; 1.7828278; 0.0000538; 11.9999996; 0.0000000
10.7969520; -10.5534490; -2.2775227; 1.7828377; 0.0000448; 11.9999996; 0.0000000
10.9968956; -10.7489015; -2.3196001; 1.7828457; 0.0000357; 11.9999996; 0.0000000
11.1968392; -10.9443606; -2.3616803; 1.7828519; 0.0000266; 11.9999996; 0.0000000
11.3967827; -11.1398260; -2.4037630; 1.7828564; 0.0000176; 11.9999996; 0.0000000
11.5967263; -11.3352976; -2.4458478; 1.7828590; 0.0000085; 11.9999996; 0.0000000
11.7966698; -11.5307752; -2.4879341; 1.7828597; -0.0000006; 11.9999996; 0.0000000
11.9966134; -11.7262585; -2.5300217; 1.7828587; -0.0000096; 11.9999996; -0.0000000
12.1965569; -11.9217177; -2.5721037; 1.7828559; -0.0000183; 11.9999996; -0.0000000
12.3965005; -12.1171711; -2.6141838; 1.7828514; -0.0000269; 11.9999996; -0.0000000
12.5964440; -12.3126296; -2.6562638; 1.7828452; -0.0000355; 11.9999996; -0.0000000
12.7963876; -12.5080932; -2.6983434; 1.7828372; -0.0000440; 11.9999996; -0.0000000
12.9963312; -12.7035615; -2.7404223; 1.7828275; -0.0000526; 11.9999996; -0.0000000
13.1962747; -12.8990344; -2.7825000; 1.7828162; -0.0000612; 11.9999996; -0.0000000
13.3962183; -13.0945116; -2.8245761; 1.7828031; -0.0000697; 11.9999996; -0.0000000
13.5961618; -13.2899884; -2.8666493; 1.7827883; -0.0000783; 11.9999996; -0.0000000
13.7961054; -13.4854485; -2.9087157; 1.7827718; -0.0000868; 11.9999996; -0.0000000
13.9960489; -13.6809124; -2.9507793; 1.7827536; -0.0000953; 11.9999996; -0.0000000
14.1959925; -13.8763798; -2.9928399; 1.7827337; -0.0001038; 11.9999996; -0.0000000
