# 6f1a4454-347d-4c40-b6fa-bb433c597001
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0085325; -0.0376530; 1.7797470; -0.0007093; 12.0000000; 0.0000000
0.1999585; -0.1870160; -0.0791049; 1.7796234; -0.0005281; 12.0000000; 0.0000000
0.3999169; -0.3825883; -0.1205404; 1.7795359; -0.0003470; 12.0000000; 0.0000000
0.5998754; -0.5781831; -0.1619664; 1.7794846; -0.0001661; 12.0000000; 0.0000000
0.7998338; -0.7737986; -0.2033900; 1.7794695; 0.0000148; 12.0000000; 0.0000000
0.9997923; -0.9694335; -0.2448184; 1.7794905; 0.0001956; 12.0000000; 0.0000000
1.1997508; -1.1650861; -0.2862585; 1.7795477; 0.0003763; 12.0000000; 0.0000000
1.3997092; -1.3607549; -0.3277174; 1.7796411; 0.0005569; 12.0000000; 0.0000000
1.5996677; -1.5563697; -0.3691875; 1.7797668; 0.0006611; 12.0000000; 0.0000000
1.7996262; -1.7519243; -0.4106717; 1.7799012; 0.0006832; 12.0000000; 0.0000000
1.9995846; -1.9474920; -0.4521866; 1.7800399; 0.0007052; 12.0000000; 0.0000000
2.1995431; -2.1430725; -0.4937330; 1.7801832; 0.0007273; 12.0000000; 0.0000000
2.3995015; -2.3386651; -0.5353118; 1.7803308; 0.0007493; 12.0000000; 0.0000000
2.5994600; -2.5342696; -0.5769237; 1.7804828; 0.0007714; 12.0000000; 0.0000000
2.7994185; -2.7298853; -0.6185695; 1.7806393; 0.0007934; 12.0000000; 0.0000000
2.9993769; -2.9255119; -0.6602501; 1.7808002; 0.0008154; 12.0000000; 0.0000000
3.1993354; -3.1210247; -0.7019395; 1.7809618; 0.0007999; 12.0000000; 0.0000000
3.3992938; -3.3165425; -0.7436627; 1.7811200; 0.0007827; 12.0000000; 0.0000000
3.5992523; -3.5120704; -0.7854201; 1.7812748; 0.0007655; 12.0000000; 0.0000000
3.7992108; -3.7076083; -0.8272109; 1.7814261; 0.0007483; 12.0000000; 0.0000000
3.9991692; -3.9031563; -0.8690344; 1.7815741; 0.0007312; 12.0000000; 0.0000000
4.1991277; -4.0987141; -0.9108899; 1.7817186; 0.0007140; 12.0000000; 0.0000000
4.3990861; -4.2942817; -0.9527768; 1.7818597; 0.0006969; 12.0000000; 0.0000000
4.5990446; -4.4898092; -0.9946835; 1.7819973; 0.0006796; 12.0000000; 0.0000000
4.7990031; -4.6852804; -1.0366060; 1.7821314; 0.0006622; 12.0000000; 0.0000000
4.9989615; -4.8807610; -1.0785575; 1.7822621; 0.0006449; 12.0000000; 0.0000000
5.1989200; -5.0762510; -1.1205375; 1.7823893; 0.0006275; 12.0000000; 0.0000000
5.3988785; -5.2717503; -1.1625451; 1.7825130; 0.0006101; 12.0000000; 0.0000000
5.5988369; -5.4672586; -1.2045796; 1.7826333; 0.0005928; 12.0000000; 0.0000000
5.7987954; -5.6627761; -1.2466403; 1.7827501; 0.0005754; 12.0000000; 0.0000000
5.9987538; -5.8583024; -1.2887264; 1.7828635; 0.0005581; 12.0000000; 0.0000000
6.1987123; -6.0537464; -1.3308177; 1.7829733; 0.0005406; 12.0000000; 0.0000000
6.3986708; -6.2491888; -1.3729307; 1.7830796; 0.0005230; 12.0000000; 0.0000000
6.5986292; -6.4446397; -1.4150669; 1.7831824; 0.0005055; 12.0000000; 0.0000000
6.7985877; -6.6400990; -1.4572256; 1.7832818; 0.0004879; 12.0000000; 0.0000000
6.9985461; -6.8355668; -1.4994061; 1.7833776; 0.0004704; 12.0000000; 0.0000000
7.1985046; -7.0310427; -1.5416076; 1.7834699; 0.0004529; 12.0000000; 0.0000000
7.3984631; -7.2265269; -1.5838294; 1.7835587; 0.0004353; 12.0000000; 0.0000000
7.5984215; -7.4219876; -1.6260640; 1.7836440; 0.0004178; 12.0000000; 0.0000000
7.7983800; -7.6174008; -1.6683054; 1.7837258; 0.0004001; 12.0000000; 0.0000000
7.9983385; -7.8128217; -1.7105648; 1.7838040; 0.0003824; 12.0000000; 0.0000000
8.1982969; -8.0082503; -1.7528415; 1.7838787; 0.0003647; 12.0000000; 0.0000000
8.3982554; -8.2036865; -1.7951348; 1.7839498; 0.0003470; 12.0000000; 0.0000000
8.5982138; -8.3991302; -1.8374439; 1.7840174; 0.0003293; 12.0000000; 0.0000000
8.7981723; -8.5945812; -1.8797680; 1.7840815; 0.0003117; 12.0000000; 0.0000000
8.9981308; -8.7900394; -1.9221065; 1.7841421; 0.0002940; 12.0000000; 0.0000000
9.1980892; -8.9854456; -1.9644457; 1.7841991; 0.0002762; 12.0000000; 0.0000000
9.3980477; -9.1808459; -2.0067949; 1.7842526; 0.0002584; 12.0000000; 0.0000000
9.5980061; -9.3762531; -2.0491562; 1.7843024; 0.0002406; 12.0000000; 0.0000000
9.7979646; -9.5716670; -2.0915289; 1.7843488; 0.0002228; 12.0000000; 0.0000000
9.9979231; -9.7670876; -2.1339120; 1.7843915; 0.0002050; 12.0000000; 0.0000000
10.1978815; -9.9625148; -2.1763050; 1.7844308; 0.0001872; 12.0000000; 0.0000000
10.3978400; -10.1579483; -2.2187071; 1.7844664; 0.0001694; 12.0000000; 0.0000000
10.5977985; -10.3533724; -2.2611140; 1.7844985; 0.0001516; 12.0000000; 0.0000000
10.7977569; -10.5487615; -2.3035195; 1.7845271; 0.0001337; 12.0000000; 0.0000000
10.9977154; -10.7441567; -2.3459318; 1.7845520; 0.0001158; 12.0000000; 0.0000000
11.1976738; -10.9395578; -2.3883501; 1.7845734; 0.0000980; 12.0000000; 0.0000000
11.3976323; -11.1349648; -2.4307738; 1.7845912; 0.0000801; 12.0000000; 0.0000000
11.5975908; -11.3303775; -2.4732019; 1.7846054; 0.0000622; 12.0000000; 0.0000000
11.7975492; -11.5257959; -2.5156338; 1.7846161; 0.0000443; 12.0000000; 0.0000000
11.9975077; -11.7212197; -2.5580687; 1.7846231; 0.0000265; 12.0000000; 0.0000000
12.1974661; -11.9166183; -2.6004993; 1.7846266; 0.0000085; 12.0000000; 0.0000000
12.3974246; -12.1120110; -2.6429289; 1.7846265; -0.0000094; 12.0000000; 0.0000000
12.5973831; -12.3074089; -2.6853592; 1.7846229; -0.0000274; 12.0000000; 0.0000000
12.7973415; -12.5028118; -2.7277895; 1.7846156; -0.0000453; 12.0000000; 0.0000000
12.9973000; -12.6982196; -2.7702190; 1.7846048; -0.0000632; 12.0000000; 0.0000000
13.1972584; -12.8936323; -2.8126470; 1.7845903; -0.0000812; 12.0000000; 0.0000000
13.3972169; -13.0890496; -2.8550726; 1.7845723; -0.0000991; 12.0000000; 0.0000000
13.5971754; -13.2844665; -2.8974942; 1.7845507; -0.0001171; 12.0000000; 0.0000000
13.7971338; -13.4798664; -2.9399072; 1.7845255; -0.0001350; 12.0000000; 0.0000000
13.9970923; -13.6752705; -2.9823156; 1.7844967; -0.0001530; 12.0000000; 0.0000000
14.1970508; -13.8706789; -3.0247187; 1.7844643; -0.0001710; 12.0000000; 0.0000000
14.3970092; -14.0660914; -3.0671157; 1.7844283; -0.0001889; 12.0000000; 0.0000000
14.5969677; -14.2615079; -3.1095058; 1.7843887; -0.0002069; 12.0000000; 0.0000000
14.7969261; -14.4569283; -3.1518883; 1.7843456; -0.0002249; 12.0000000; 0.0000000
14.9968846; -14.6523524; -3.1942625; 1.7842988; -0.0002428; 12.0000000; 0.0000000
15.1968431; -14.8477730; -3.2366259; 1.7842484; -0.0002608; 12.0000000; 0.0000000
15.3968015; -15.0431931; -3.2789785; 1.7841945; -0.0002788; 12.0000000; 0.0000000
15.5967600; -15.2386165; -3.3213205; 1.7841370; -0.0002967; 12.0000000; 0.0000000
15.7967184; -15.4340433; -3.3636510; 1.7840758; -0.0003147; 12.0000000; 0.0000000
15.9966769; -15.6294732; -3.4059694; 1.7840111; -0.0003327; 12.0000000; 0.0000000
16.1966354; -15.8249062; -3.4482748; 1.7839428; -0.0003506; 12.0000000; 0.0000000
16.3965938; -16.0203422; -3.4905665; 1.7838709; -0.0003686; 12.0000000; 0.0000000
16.5965523; -16.2157814; -3.5328438; 1.7837954; -0.0003866; 12.0000000; 0.0000000
16.7965108; -16.4112268; -3.5751067; 1.7837163; -0.0004045; 12.0000000; 0.0000000
16.9964692; -16.6066748; -3.6173535; 1.7836336; -0.0004224; 12.0000000; 0.0000000
17.1964277; -16.8021254; -3.6595837; 1.7835473; -0.0004404; 12.0000000; 0.0000000
17.3963861; -16.9975783; -3.7017963; 1.7834575; -0.0004583; 12.0000000; 0.0000000
17.5963446; -17.1930335; -3.7439907; 1.7833640; -0.0004763; 12.0000000; 0.0000000
17.7963031; -17.3884908; -3.7861660; 1.7832670; -0.0004942; 12.0000000; 0.0000000
17.9962615; -17.5839502; -3.8283216; 1.7831664; -0.0005122; 12.0000000; 0.0000000
18.1962200; -17.7794218; -3.8704589; 1.7830622; -0.0005301; 12.0000000; 0.0000000
18.3961784; -17.9749038; -3.9125767; 1.7829544; -0.0005479; 12.0000000; 0.0000000
18.5961369; -18.1703876; -3.9546725; 1.7828431; -0.0005658; 12.0000000; 0.0000000
18.7960954; -18.3658729; -3.9967455; 1.7827281; -0.0005837; 12.0000000; 0.0000000
18.9960538; -18.5613597; -4.0387950; 1.7826096; -0.0006016; 12.0000000; 0.0000000
19.1960123; -18.7568479; -4.0808201; 1.7824876; -0.0006195; 12.0000000; 0.0000000
19.3959708; -18.9523373; -4.1228202; 1.7823619; -0.0006373; 12.0000000; 0.0000000
19.5959292; -19.1478278; -4.1647944; 1.7822327; -0.0006552; 12.0000000; 0.0000000
19.7958877; -19.3433530; -4.2067493; 1.7820999; -0.0006730; 12.0000000; 0.0000000
19.9958461; -19.5388792; -4.2486769; 1.7819635; -0.0006908; 12.0000000; 0.0000000
20.1958046; -19.7344062; -4.2905764; 1.7818236; -0.0007086; 12.0000000; 0.0000000
20.3957631; -19.9299340; -4.3324471; 1.7816801; -0.0007264; 12.0000000; 0.0000000
20.5957215; -20.1254623; -4.3742882; 1.7815331; -0.0007442; 12.0000000; 0.0000000
20.7956800; -20.3209910; -4.4160989; 1.7813825; -0.0007620; 12.0000000; 0.0000000
20.9956384; -20.5165202; -4.4578786; 1.7812284; -0.0007798; 12.0000000; 0.0000000
21.1955969; -20.7120712; -4.4996312; 1.7810707; -0.0007975; 12.0000000; 0.0000000
21.3955554; -20.9076490; -4.5413568; 1.7809094; -0.0008152; 12.0000000; 0.0000000
21.5955138; -21.1032268; -4.5830490; 1.7807447; -0.0008329; 12.0000000; 0.0000000
21.7954723; -21.2988046; -4.6247072; 1.7805763; -0.0008506; 12.0000000; 0.0000000
21.9954307; -21.4943821; -4.6663306; 1.7804045; -0.0008683; 12.0000000; 0.0000000
22.1953892; -21.6899594; -4.7079185; 1.7802291; -0.0008860; 12.0000000; 0.0000000
22.3953477; -21.8855363; -4.7494700; 1.7800502; -0.0009037; 12.0000000; 0.0000000
22.5953061; -22.0811127; -4.7909845; 1.7798677; -0.0009214; 12.0000000; 0.0000000
22.7952646; -22.2767449; -4.8324732; 1.7796817; -0.0009389; 12.0000000; 0.0000000
22.9952231; -22.4723823; -4.8739246; 1.7794922; -0.0009564; 12.0000000; 0.0000000
23.1951815; -22.6680190; -4.9153368; 1.7792992; -0.0009739; 12.0000000; 0.0000000
23.3951400; -22.8636547; -4.9567089; 1.7791027; -0.0009914; 12.0000000; 0.0000000
23.5950984; -23.0592893; -4.9980404; 1.7789027; -0.0010089; 12.0000000; 0.0000000
23.7950569; -23.2549229; -5.0393303; 1.7786993; -0.0010264; 12.0000000; 0.0000000
23.9950154; -23.4505552; -5.0805781; 1.7784923; -0.0010439; 12.0000000; 0.0000000
24.1949738; -23.6462138; -5.1217887; 1.7782818; -0.0010614; 12.0000000; 0.0000000
24.3949323; -23.8419194; -5.1629659; 1.7780678; -0.0010790; 12.0000000; 0.0000000
24.5948907; -24.0376235; -5.2040986; 1.7778503; -0.0010965; 12.0000000; 0.0000000
24.7948492; -24.2333259; -5.2451862; 1.7776292; -0.0011141; 12.0000000; 0.0000000
24.9948077; -24.4290266; -5.2862280; 1.7774047; -0.0011317; 12.0000000; 0.0000000
25.1947661; -24.6247254; -5.3272231; 1.7771767; -0.0011492; 12.0000000; 0.0000000
25.3947246; -24.8204224; -5.3681708; 1.7769451; -0.0011668; 12.0000000; 0.0000000
25.5946831; -25.0161173; -5.4090705; 1.7767101; -0.0011844; 12.0000000; 0.0000000
25.7946415; -25.2118836; -5.4499368; 1.7764716; -0.0012011; 12.0000000; 0.0000000
25.9946000; -25.4076635; -5.4907568; 1.7762297; -0.0012176; 12.0000000; 0.0000000
26.1945584; -25.6034409; -5.5315265; 1.7759846; -0.0012340; 12.0000000; 0.0000000
26.3945169; -25.7992160; -5.5722454; 1.7757362; -0.0012505; 12.0000000; 0.0000000
26.5944754; -25.9949885; -5.6129126; 1.7754845; -0.0012670; 12.0000000; 0.0000000
26.7944338; -26.1907583; -5.6535276; 1.7752295; -0.0012835; 12.0000000; 0.0000000
26.9943923; -26.3865254; -5.6940896; 1.7749712; -0.0013001; 12.0000000; 0.0000000
27.1943507; -26.5823191; -5.7346040; 1.7747096; -0.0013175; 12.0000000; 0.0000000
27.3943092; -26.7781821; -5.7750790; 1.7744442; -0.0013370; 12.0000000; 0.0000000
27.5942677; -26.9740422; -5.8154987; 1.7741748; -0.0013566; 12.0000000; 0.0000000
27.7942261; -27.1698993; -5.8558624; 1.7739016; -0.0013762; 12.0000000; 0.0000000
27.9941846; -27.3657532; -5.8961693; 1.7736244; -0.0013958; 12.0000000; 0.0000000
