# ed4fa43b-a7f8-497e-98f3-05ce0efd3fd0
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0022976; 0.0137844; 1.7805535; 0.0005700; 11.9999988; 0.0000070
0.1999276; -0.1977771; -0.0278424; 1.7806644; 0.0005392; 11.9999989; 0.0000070
0.3998552; -0.3932720; -0.0694944; 1.7807691; 0.0005085; 11.9999990; 0.0000070
0.5997828; -0.5887824; -0.1111706; 1.7808676; 0.0004777; 11.9999991; 0.0000070
0.7997104; -0.7843082; -0.1528696; 1.7809601; 0.0004470; 11.9999992; 0.0000070
0.9996380; -0.9798497; -0.1945902; 1.7810464; 0.0004162; 11.9999993; 0.0000070
1.1995655; -1.1754068; -0.2363311; 1.7811265; 0.0003855; 11.9999995; 0.0000070
1.3994931; -1.3709795; -0.2780912; 1.7812006; 0.0003548; 11.9999996; 0.0000036
1.5994207; -1.5665009; -0.3198548; 1.7812691; 0.0003377; 11.9999996; 0.0000000
1.7993483; -1.7619655; -0.3616200; 1.7813363; 0.0003351; 11.9999996; 0.0000000
1.9992759; -1.9574454; -0.4034023; 1.7814030; 0.0003325; 11.9999996; 0.0000000
2.1992035; -2.1529406; -0.4452014; 1.7814692; 0.0003299; 11.9999996; 0.0000000
2.3991311; -2.3484509; -0.4870172; 1.7815349; 0.0003273; 11.9999996; 0.0000000
2.5990587; -2.5439760; -0.5288496; 1.7816001; 0.0003247; 11.9999996; 0.0000000
2.7989863; -2.7395158; -0.5706984; 1.7816648; 0.0003221; 11.9999996; 0.0000000
2.9989139; -2.9350700; -0.6125635; 1.7817289; 0.0003195; 11.9999996; 0.0000000
3.1988414; -3.1305170; -0.6544186; 1.7817925; 0.0003165; 11.9999996; 0.0000000
3.3987690; -3.3259723; -0.6962885; 1.7818555; 0.0003135; 11.9999996; 0.0000000
3.5986966; -3.5214414; -0.7381741; 1.7819178; 0.0003104; 11.9999996; 0.0000000
3.7986242; -3.7169242; -0.7800754; 1.7819796; 0.0003074; 11.9999996; 0.0000000
3.9985518; -3.9124203; -0.8219920; 1.7820408; 0.0003044; 11.9999996; 0.0000000
4.1984794; -4.1079297; -0.8639240; 1.7821013; 0.0003014; 11.9999996; 0.0000000
4.3984070; -4.3034521; -0.9058711; 1.7821613; 0.0002983; 11.9999996; 0.0000000
4.5983346; -4.4989388; -0.9478227; 1.7822206; 0.0002939; 11.9999996; 0.0000000
4.7982622; -4.6943726; -0.9897750; 1.7822787; 0.0002876; 11.9999996; 0.0000000
4.9981898; -4.8898187; -1.0317417; 1.7823356; 0.0002814; 11.9999996; 0.0000000
5.1981174; -5.0852770; -1.0737225; 1.7823912; 0.0002751; 11.9999996; 0.0000000
5.3980449; -5.2807473; -1.1157171; 1.7824456; 0.0002688; 11.9999996; 0.0000000
5.5979725; -5.4762295; -1.1577252; 1.7824987; 0.0002625; 11.9999996; 0.0000000
5.7979001; -5.6717232; -1.1997466; 1.7825505; 0.0002563; 11.9999996; 0.0000000
5.9978277; -5.8672283; -1.2417809; 1.7826012; 0.0002500; 11.9999996; -0.0000000
6.1977553; -6.0626555; -1.2838087; 1.7826505; 0.0002433; 11.9999996; -0.0000000
6.3976829; -6.2580828; -1.3258465; 1.7826984; 0.0002367; 11.9999996; -0.0000000
6.5976105; -6.4535209; -1.3678962; 1.7827451; 0.0002300; 11.9999996; -0.0000000
6.7975381; -6.6489697; -1.4099576; 1.7827904; 0.0002233; 11.9999996; -0.0000000
6.9974657; -6.8444288; -1.4520304; 1.7828344; 0.0002166; 11.9999996; -0.0000000
