# 7f3599a2-c982-4b52-b658-23b7f78a8f65
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0277172; 0.3472765; -1.4430360; -0.0026808; 9.7790505; 4.3711028
0.1999366; 0.1706256; 0.3727036; -1.4435420; -0.0023798; 9.8680147; 4.4106886
0.3998732; 0.3689819; 0.3980365; -1.4439878; -0.0020791; 9.9569790; 4.4502743
0.5998097; 0.5673445; 0.4232864; -1.4443735; -0.0017785; 10.0459433; 4.4898601
0.7997463; 0.7657064; 0.4484645; -1.4446991; -0.0014781; 10.1349075; 4.5294459
0.9996829; 0.9640604; 0.4735820; -1.4449646; -0.0011777; 10.2238718; 4.5690316
1.1996195; 1.1623994; 0.4986502; -1.4451700; -0.0008773; 10.3128361; 4.6086174
1.3995561; 1.3607163; 0.5236803; -1.4453154; -0.0005769; 10.4018003; 4.4871584
1.5994927; 1.5590875; 0.5486937; -1.4454105; -0.0004956; 10.4876949; 4.3239043
1.7994292; 1.7575303; 0.5736955; -1.4455285; -0.0006848; 10.5698040; 4.3576245
1.9993658; 1.9559453; 0.5986663; -1.4456844; -0.0008742; 10.6519132; 4.3913448
2.1993024; 2.1543363; 0.6235988; -1.4458781; -0.0010636; 10.7340223; 4.4250650
2.3992390; 2.3527069; 0.6484859; -1.4461097; -0.0012531; 10.8161315; 4.4587853
2.5991756; 2.5510609; 0.6733205; -1.4463791; -0.0014427; 10.8982406; 4.4925055
2.7991122; 2.7494021; 0.6980954; -1.4466864; -0.0016322; 10.9803498; 4.5262258
2.9990487; 2.9477342; 0.7228034; -1.4470316; -0.0018218; 11.0624589; 4.1688539
3.1989853; 3.1461741; 0.7474497; -1.4474438; -0.0023318; 11.1375496; 4.1546226
3.3989219; 3.3446244; 0.7720033; -1.4479645; -0.0028764; 11.2118835; 4.1822590
3.5988585; 3.5430760; 0.7964412; -1.4485941; -0.0034212; 11.2862175; 4.2098955
3.7987951; 3.7415325; 0.8207420; -1.4493326; -0.0039661; 11.3605515; 4.2375320
3.9987317; 3.9399972; 0.8448839; -1.4501800; -0.0045111; 11.4348854; 4.2651684
4.1986682; 4.1384734; 0.8688457; -1.4511363; -0.0050561; 11.5092194; 4.2928049
4.3986048; 4.3369646; 0.8926058; -1.4522016; -0.0056012; 11.5835534; 3.7844706
4.5985414; 4.5354921; 0.9161447; -1.4533754; -0.0061324; 11.6486917; 2.8582205
4.7984780; 4.7340734; 0.9394433; -1.4546521; -0.0066391; 11.6976469; 2.8702074
4.9984146; 4.9326800; 0.9624776; -1.4560302; -0.0071456; 11.7466021; 2.8821942
5.1983512; 5.1313157; 0.9852277; -1.4575095; -0.0076520; 11.7955574; 2.8941811
5.3982877; 5.3299839; 1.0076736; -1.4590899; -0.0081581; 11.8445126; 2.9061680
5.5982243; 5.5286883; 1.0297955; -1.4607716; -0.0086639; 11.8934679; 2.9181549
5.7981609; 5.7274325; 1.0515734; -1.4625543; -0.0091694; 11.9424231; 2.9301418
5.9980975; 5.9262201; 1.0729872; -1.4644381; -0.0096745; 11.9913784; 0.5172550
6.1980341; 6.1250181; 1.0940146; -1.4663992; -0.0098949; 11.9999996; -0.0000001
6.3979707; 6.3238571; 1.1146487; -1.4683931; -0.0100541; 11.9999996; -0.0000001
6.5979072; 6.5227465; 1.1348841; -1.4704190; -0.0102130; 11.9999996; -0.0000001
6.7978438; 6.7216877; 1.1547144; -1.4724767; -0.0103715; 11.9999996; -0.0000001
6.9977804; 6.9206822; 1.1741334; -1.4745662; -0.0105297; 11.9999996; -0.0000001
7.1977170; 7.1197316; 1.1931347; -1.4766875; -0.0106875; 11.9999996; -0.0000001
7.3976536; 7.3188372; 1.2117122; -1.4788404; -0.0108449; 11.9999996; -0.0000001
7.5975902; 7.5179613; 1.2298559; -1.4810209; -0.0108729; 11.9999996; 0.0000000
