# 09cd5948-b6ca-4741-a841-fde17bfb1ef6
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0228741; -0.0149921; -1.4624625; -0.0011325; 9.6217419; 4.3328540
0.1999706; 0.2217750; 0.0066201; -1.4626500; -0.0007417; 9.7113750; 4.3730304
0.3999413; 0.4206482; 0.0281994; -1.4627593; -0.0003506; 9.8010081; 4.4132067
0.5999119; 0.6194922; 0.0497615; -1.4627903; 0.0000407; 9.8906412; 4.4533831
0.7998826; 0.8183053; 0.0713219; -1.4627430; 0.0004324; 9.9802743; 4.4935595
0.9998532; 1.0170861; 0.0928961; -1.4626173; 0.0008244; 10.0699074; 4.5337358
1.1998239; 1.2158330; 0.1144998; -1.4624133; 0.0012167; 10.1595405; 4.5739122
1.3997945; 1.4145444; 0.1361485; -1.4621309; 0.0016092; 10.2491736; 4.4426909
1.5997651; 1.6133170; 0.1578686; -1.4617731; 0.0019290; 10.3354911; 4.2678710
1.7997358; 1.8121722; 0.1796751; -1.4613642; 0.0021590; 10.4177384; 4.3016990
1.9997064; 2.0109893; 0.2015643; -1.4609094; 0.0023893; 10.4999857; 4.3355271
2.1996771; 2.2097682; 0.2235455; -1.4604085; 0.0026196; 10.5822331; 4.3693552
2.3996477; 2.4085088; 0.2456278; -1.4598617; 0.0028500; 10.6644804; 4.4031833
2.5996184; 2.6072110; 0.2678205; -1.4592688; 0.0030805; 10.7467278; 4.4370114
2.7995890; 2.8058747; 0.2901328; -1.4586299; 0.0033111; 10.8289751; 4.4708395
2.9995597; 3.0044999; 0.3125739; -1.4579450; 0.0035418; 10.9112224; 4.1648327
3.1995303; 3.2032409; 0.3351706; -1.4572135; 0.0037720; 10.9872864; 4.1583407
3.3995009; 3.4019590; 0.3579166; -1.4564361; 0.0040021; 11.0627101; 4.1867885
3.5994716; 3.6006381; 0.3808193; -1.4556126; 0.0042323; 11.1381338; 4.2152364
3.7994422; 3.7992781; 0.4038878; -1.4547432; 0.0044626; 11.2135575; 4.2436842
3.9994129; 3.9978788; 0.4271315; -1.4538279; 0.0046928; 11.2889812; 4.2721320
4.1993835; 4.1964402; 0.4505594; -1.4528666; 0.0049230; 11.3644049; 4.3005799
4.3993542; 4.3949620; 0.4741807; -1.4518594; 0.0051533; 11.4398286; 4.1722086
4.5993248; 4.5934836; 0.4980095; -1.4508086; 0.0053116; 11.5125287; 3.9298620
4.7992954; 4.7920332; 0.5220552; -1.4497428; 0.0053473; 11.5805885; 3.9530261
4.9992661; 4.9905442; 0.5463117; -1.4486698; 0.0053829; 11.6486484; 3.9761902
5.1992367; 5.1890179; 0.5707805; -1.4475898; 0.0054183; 11.7167082; 3.9993543
5.3992074; 5.3874551; 0.5954631; -1.4465028; 0.0054536; 11.7847681; 4.0225185
5.5991780; 5.5858569; 0.6203611; -1.4454088; 0.0054887; 11.8528279; 4.0456826
5.7991487; 5.7842242; 0.6454759; -1.4443078; 0.0055237; 11.9208878; 4.0688467
5.9991193; 5.9825581; 0.6708090; -1.4431999; 0.0055586; 11.9889476; 0.6629134
6.1990900; 6.1808845; 0.6963642; -1.4421033; 0.0053730; 11.9999996; -0.0000001
6.3990606; 6.3791855; 0.7221328; -1.4410517; 0.0051446; 11.9999996; -0.0000001
6.5990312; 6.5774586; 0.7481052; -1.4400458; 0.0049160; 11.9999996; -0.0000001
6.7990019; 6.7757061; 0.7742725; -1.4390856; 0.0046873; 11.9999996; -0.0000001
6.9989725; 6.9739305; 0.8006258; -1.4381712; 0.0044585; 11.9999996; -0.0000001
7.1989432; 7.1721340; 0.8271561; -1.4373025; 0.0042296; 11.9999996; -0.0000001
7.3989138; 7.3703192; 0.8538547; -1.4364796; 0.0040006; 11.9999996; -0.0000001
7.5988845; 7.5684744; 0.8807106; -1.4357041; 0.0037221; 11.9999996; 0.0000000
7.7988551; 7.7665849; 0.9077103; -1.4349989; 0.0033318; 11.9999996; 0.0000000
7.9988257; 7.9646850; 0.9348430; -1.4343717; 0.0029415; 11.9999996; 0.0000000
8.1987964; 8.1627781; 0.9620934; -1.4338225; 0.0025512; 11.9999996; 0.0000000
8.3987670; 8.3608671; 0.9894462; -1.4333514; 0.0021610; 11.9999996; 0.0000000
8.5987377; 8.5589552; 1.0168862; -1.4329583; 0.0017708; 11.9999996; 0.0000000
8.7987083; 8.7570457; 1.0443980; -1.4326431; 0.0013808; 11.9999996; 0.0000000
8.9986790; 8.9551415; 1.0719662; -1.4324059; 0.0009908; 11.9999996; 0.0000000
9.1986496; 9.1531638; 1.0995645; -1.4322432; 0.0006481; 11.9999996; -0.0000000
9.3986203; 9.3511733; 1.1271871; -1.4321465; 0.0003193; 11.9999996; -0.0000000
9.5985909; 9.5491969; 1.1548246; -1.4321155; -0.0000093; 11.9999996; -0.0000000
