# adabf372-2eb1-4046-b1b0-ce1d82493f31
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0228604; -0.0148941; -1.4624025; -0.0011276; 9.6793584; 4.3960692
0.1999382; 0.2217277; 0.0067266; -1.4625893; -0.0007399; 9.7697423; 4.4369280
0.3998763; 0.4205672; 0.0283145; -1.4626985; -0.0003520; 9.8601261; 4.4777868
0.5998145; 0.6193776; 0.0498851; -1.4627301; 0.0000362; 9.9505099; 4.5186456
0.7997527; 0.8181572; 0.0714538; -1.4626840; 0.0004247; 10.0408937; 4.5595044
0.9996909; 1.0169045; 0.0930361; -1.4625602; 0.0008135; 10.1312776; 4.6003632
1.1996290; 1.2156179; 0.1146474; -1.4623587; 0.0012026; 10.2216614; 4.6412220
1.3995672; 1.4142960; 0.1363032; -1.4620795; 0.0015921; 10.3120452; 4.5097324
1.5995054; 1.6130350; 0.1580295; -1.4617255; 0.0019078; 10.3991159; 4.3333409
1.7994436; 1.8118568; 0.1798415; -1.4613215; 0.0021323; 10.4820996; 4.3677830
1.9993817; 2.0106407; 0.2017351; -1.4608726; 0.0023571; 10.5650833; 4.4022251
2.1993199; 2.2093866; 0.2237193; -1.4603788; 0.0025819; 10.6480670; 4.4366673
2.3992581; 2.4080944; 0.2458032; -1.4598401; 0.0028068; 10.7310507; 4.4711094
2.5991963; 2.6067641; 0.2679956; -1.4592565; 0.0030318; 10.8140344; 4.5055515
2.7991344; 2.8053956; 0.2903057; -1.4586280; 0.0032569; 10.8970181; 4.5399936
2.9990726; 3.0039888; 0.3127425; -1.4579546; 0.0034821; 10.9800018; 4.2326749
3.1990108; 3.2026974; 0.3353324; -1.4572353; 0.0037119; 11.0568072; 4.2255296
3.3989489; 3.4013838; 0.3580691; -1.4564699; 0.0039423; 11.1329545; 4.2545306
3.5988871; 3.6000316; 0.3809602; -1.4556586; 0.0041727; 11.2091017; 4.2835315
3.7988253; 3.7986406; 0.4040147; -1.4548013; 0.0044031; 11.2852490; 4.3125325
3.9987635; 3.9972107; 0.4272418; -1.4538979; 0.0046336; 11.3613962; 4.3415335
4.1987016; 4.1957417; 0.4506508; -1.4529486; 0.0048640; 11.4375435; 4.3705345
4.3986398; 4.3942335; 0.4742509; -1.4519533; 0.0050945; 11.5136907; 4.0175419
4.5985780; 4.5927250; 0.4980559; -1.4509141; 0.0052619; 11.5832463; 3.3771287
4.7985162; 4.7912451; 0.5220760; -1.4498561; 0.0053204; 11.6413929; 3.3940390
4.9984543; 4.9897269; 0.5463057; -1.4487864; 0.0053786; 11.6995395; 3.4109494
5.1983925; 5.1881712; 0.5707474; -1.4477052; 0.0054368; 11.7576861; 3.4278597
5.3983307; 5.3865790; 0.5954037; -1.4466123; 0.0054948; 11.8158327; 3.4447701
5.5982689; 5.5849512; 0.6202768; -1.4455080; 0.0055527; 11.8739793; 3.4616805
5.7982070; 5.7832886; 0.6453692; -1.4443921; 0.0056105; 11.9321259; 3.4785908
5.9981452; 5.9815921; 0.6706834; -1.4432648; 0.0056681; 11.9902725; 0.5835723
6.1980834; 6.1798876; 0.6962237; -1.4421466; 0.0054756; 11.9999996; -0.0000001
6.3980215; 6.3781572; 0.7219815; -1.4410761; 0.0052328; 11.9999996; -0.0000001
6.5979597; 6.5763985; 0.7479464; -1.4400541; 0.0049899; 11.9999996; -0.0000001
6.7978979; 6.7746138; 0.7741092; -1.4390808; 0.0047468; 11.9999996; -0.0000001
6.9978361; 6.9728057; 0.8004602; -1.4381560; 0.0045036; 11.9999996; -0.0000001
