# 4ded9afe-5b79-4a2a-9ba5-d8d1f88dcd48
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0329616; -0.0872254; -1.4658752; 0.0089086; 11.9999988; 0.0000067
0.1999477; 0.2319410; -0.0660906; -1.4640723; 0.0091108; 11.9999989; 0.0000067
0.3998954; 0.4308306; -0.0445987; -1.4622295; 0.0093128; 11.9999990; 0.0000067
0.5998431; 0.6296314; -0.0227416; -1.4603468; 0.0095146; 11.9999991; 0.0000067
0.7997908; 0.8283449; -0.0005114; -1.4584242; 0.0097161; 11.9999992; 0.0000067
0.9997385; 1.0269722; 0.0221000; -1.4564617; 0.0099173; 11.9999993; 0.0000067
1.1996862; 1.2255146; 0.0451004; -1.4544595; 0.0101181; 11.9999994; 0.0000067
1.3996339; 1.4239733; 0.0684980; -1.4524175; 0.0103186; 11.9999996; 0.0000037
1.5995816; 1.6224631; 0.0923139; -1.4503472; 0.0102394; 11.9999996; 0.0000000
1.7995293; 1.8210116; 0.1165487; -1.4483413; 0.0098174; 11.9999996; 0.0000000
1.9994770; 2.0194828; 0.1411697; -1.4464201; 0.0093948; 11.9999996; 0.0000000
2.1994247; 2.2178800; 0.1661601; -1.4445838; 0.0089716; 11.9999996; 0.0000000
2.3993724; 2.4162066; 0.1915031; -1.4428324; 0.0085477; 11.9999996; 0.0000000
2.5993201; 2.6144656; 0.2171819; -1.4411660; 0.0081234; 11.9999996; 0.0000000
2.7992678; 2.8126604; 0.2431796; -1.4395846; 0.0076986; 11.9999996; 0.0000000
2.9992155; 3.0107942; 0.2694796; -1.4380884; 0.0072734; 11.9999996; 0.0000000
3.1991632; 3.2090013; 0.2960827; -1.4366754; 0.0068579; 11.9999996; 0.0000000
3.3991109; 3.4071673; 0.3229570; -1.4353455; 0.0064430; 11.9999996; 0.0000000
3.5990586; 3.6052825; 0.3500844; -1.4340986; 0.0060278; 11.9999996; 0.0000000
3.7990063; 3.8033503; 0.3774486; -1.4329349; 0.0056122; 11.9999996; 0.0000000
3.9989540; 4.0013743; 0.4050332; -1.4318544; 0.0051964; 11.9999996; 0.0000000
4.1989017; 4.1993579; 0.4328218; -1.4308571; 0.0047803; 11.9999996; 0.0000000
4.3988494; 4.3973047; 0.4607983; -1.4299431; 0.0043639; 11.9999996; 0.0000000
4.5987971; 4.5952417; 0.4889495; -1.4291103; 0.0040008; 11.9999996; -0.0000000
4.7987448; 4.7931882; 0.5172639; -1.4283376; 0.0037276; 11.9999996; -0.0000000
4.9986925; 4.9911070; 0.5457249; -1.4276196; 0.0034542; 11.9999996; -0.0000000
5.1986402; 5.1890006; 0.5743218; -1.4269562; 0.0031807; 11.9999996; -0.0000000
5.3985879; 5.3868717; 0.6030440; -1.4263476; 0.0029071; 11.9999996; -0.0000000
5.5985356; 5.5847227; 0.6318806; -1.4257937; 0.0026334; 11.9999996; -0.0000000
5.7984833; 5.7825563; 0.6608211; -1.4252946; 0.0023597; 11.9999996; -0.0000000
5.9984310; 5.9803750; 0.6898548; -1.4248501; 0.0020859; 11.9999996; -0.0000000
6.1983787; 6.1781819; 0.7189713; -1.4244544; 0.0018843; 11.9999996; -0.0000000
6.3983264; 6.3759786; 0.7481625; -1.4240964; 0.0016965; 11.9999996; -0.0000000
6.5982741; 6.5737673; 0.7774210; -1.4237760; 0.0015086; 11.9999996; -0.0000000
6.7982218; 6.7715499; 0.8067396; -1.4234932; 0.0013208; 11.9999996; -0.0000000
6.9981695; 6.9693286; 0.8361110; -1.4232478; 0.0011329; 11.9999996; -0.0000000
7.1981172; 7.1671054; 0.8655280; -1.4230401; 0.0009451; 11.9999996; -0.0000000
7.3980649; 7.3648823; 0.8949831; -1.4228699; 0.0007572; 11.9999996; -0.0000000
7.5980126; 7.5626445; 0.9244667; -1.4227367; 0.0005871; 11.9999996; -0.0000000
7.7979603; 7.7603723; 0.9539690; -1.4226324; 0.0004570; 11.9999996; -0.0000000
7.9979080; 7.9581061; 0.9834906; -1.4225540; 0.0003270; 11.9999996; -0.0000000
8.1978557; 8.1558476; 1.0130267; -1.4225016; 0.0001970; 11.9999996; -0.0000000
8.3978034; 8.3535985; 1.0425720; -1.4224752; 0.0000671; 11.9999996; -0.0000000
8.5977511; 8.5513605; 1.0721218; -1.4224748; -0.0000628; 11.9999996; -0.0000000
8.7976988; 8.7491355; 1.1016710; -1.4225003; -0.0001927; 11.9999996; -0.0000000
8.9976465; 8.9469251; 1.1312145; -1.4225519; -0.0003225; 11.9999996; -0.0000000
9.1975942; 9.1446459; 1.1607349; -1.4226283; -0.0004396; 11.9999996; -0.0000000
9.3975419; 9.3423594; 1.1902363; -1.4227275; -0.0005528; 11.9999996; -0.0000000
9.5974896; 9.5400925; 1.2197183; -1.4228493; -0.0006659; 11.9999996; -0.0000000
9.7974373; 9.7378468; 1.2491766; -1.4229938; -0.0007790; 11.9999996; -0.0000000
9.9973850; 9.9356240; 1.2786068; -1.4231609; -0.0008920; 11.9999996; -0.0000000
10.1973327; 10.1334255; 1.3080046; -1.4233505; -0.0010050; 11.9999996; -0.0000000
10.3972804; 10.3312532; 1.3373656; -1.4235628; -0.0011179; 11.9999996; -0.0000000
10.5972281; 10.5290704; 1.3666799; -1.4237978; -0.0012353; 11.9999996; -0.0000000
10.7971758; 10.7267908; 1.3959298; -1.4240579; -0.0013682; 11.9999996; -0.0000000
10.9971235; 10.9245420; 1.4251290; -1.4243447; -0.0015010; 11.9999996; -0.0000000
11.1970712; 11.1223258; 1.4542725; -1.4246580; -0.0016336; 11.9999996; -0.0000000
11.3970189; 11.3201439; 1.4833549; -1.4249979; -0.0017662; 11.9999996; -0.0000000
11.5969666; 11.5179980; 1.5123713; -1.4253644; -0.0018986; 11.9999996; -0.0000000
11.7969143; 11.7158896; 1.5413165; -1.4257573; -0.0020309; 11.9999996; -0.0000000
11.9968620; 11.9138206; 1.5701852; -1.4261768; -0.0021631; 11.9999996; 0.0000000
12.1968097; 12.1116440; 1.5989508; -1.4266249; -0.0023315; 11.9999996; 0.0000000
12.3967574; 12.3094421; 1.6276186; -1.4271093; -0.0025164; 11.9999996; 0.0000000
12.5967051; 12.5072848; 1.6561912; -1.4276308; -0.0027011; 11.9999996; 0.0000000
12.7966528; 12.7051739; 1.6846615; -1.4281893; -0.0028856; 11.9999996; 0.0000000
12.9966005; 12.9031113; 1.7130222; -1.4287847; -0.0030700; 11.9999996; 0.0000000
13.1965482; 13.1010990; 1.7412660; -1.4294171; -0.0032541; 11.9999996; 0.0000000
13.3964959; 13.2991387; 1.7693858; -1.4300864; -0.0034380; 11.9999996; 0.0000000
13.5964436; 13.4971972; 1.7973693; -1.4307926; -0.0036305; 11.9999996; 0.0000000
13.7963913; 13.6950794; 1.8251811; -1.4315431; -0.0038812; 11.9999996; 0.0000000
13.9963390; 13.8930194; 1.8528445; -1.4323439; -0.0041316; 11.9999996; 0.0000000
14.1962867; 14.0910194; 1.8803495; -1.4331948; -0.0043816; 11.9999996; 0.0000000
14.3962345; 14.2890814; 1.9076864; -1.4340958; -0.0046314; 11.9999996; 0.0000000
14.5961822; 14.4872077; 1.9348452; -1.4350469; -0.0048808; 11.9999996; 0.0000000
14.7961299; 14.6854002; 1.9618160; -1.4360481; -0.0051298; 11.9999996; 0.0000000
14.9960776; 14.8836612; 1.9885889; -1.4370992; -0.0053786; 11.9999996; 0.0000000
15.1960253; 15.0818116; 2.0151298; -1.4382021; -0.0056750; 11.9999996; 0.0000000
15.3959730; 15.2798965; 2.0414332; -1.4393693; -0.0060078; 11.9999996; 0.0000000
15.5959207; 15.4780563; 2.0675045; -1.4406033; -0.0063400; 11.9999996; 0.0000000
15.7958684; 15.6762934; 2.0933304; -1.4419039; -0.0066718; 11.9999996; 0.0000000
15.9958161; 15.8746103; 2.1188977; -1.4432711; -0.0070031; 11.9999996; 0.0000000
16.1957638; 16.0730093; 2.1441932; -1.4447049; -0.0073338; 11.9999996; 0.0000000
16.3957115; 16.2714927; 2.1692036; -1.4462050; -0.0076640; 11.9999996; 0.0000000
16.5956592; 16.4700630; 2.1939157; -1.4477716; -0.0079936; 11.9999996; 0.0000000
16.7956069; 16.6683457; 2.2182698; -1.4494075; -0.0083840; 11.9999996; 0.0000000
16.9955546; 16.8667165; 2.2422976; -1.4511218; -0.0087742; 11.9999996; 0.0000000
17.1955023; 17.0651814; 2.2659837; -1.4529144; -0.0091637; 11.9999996; 0.0000000
17.3954500; 17.2637430; 2.2893125; -1.4547854; -0.0095524; 11.9999996; 0.0000000
17.5953977; 17.4624040; 2.3122684; -1.4567345; -0.0099403; 11.9999996; 0.0000000
17.7953454; 17.6611670; 2.3348357; -1.4587617; -0.0103274; 11.9999996; 0.0000000
17.9952931; 17.8600345; 2.3569988; -1.4608668; -0.0107136; 11.9999996; 0.0000000
18.1952408; 18.0588258; 2.3787222; -1.4630453; -0.0110360; 11.9999996; 0.0000001
18.3951885; 18.2574504; 2.3999845; -1.4652726; -0.0112635; 11.9999996; 0.0000001
18.5951362; 18.4561847; 2.4208062; -1.4675459; -0.0114905; 11.9999996; 0.0000001
18.7950839; 18.6550299; 2.4411780; -1.4698654; -0.0117168; 11.9999996; 0.0000001
18.9950316; 18.8539870; 2.4610905; -1.4722307; -0.0119426; 11.9999996; 0.0000001
19.1949793; 19.0530570; 2.4805341; -1.4746420; -0.0121678; 11.9999996; 0.0000001
19.3949270; 19.2522409; 2.4994996; -1.4770991; -0.0123924; 11.9999996; 0.0000001
19.5948747; 19.4515400; 2.5179774; -1.4796019; -0.0126162; 11.9999996; 0.0000004
19.7948224; 19.6505105; 2.5359196; -1.4821250; -0.0125911; 11.9999996; 0.0000005
19.9947701; 19.8494815; 2.5533575; -1.4846308; -0.0124998; 11.9999997; 0.0000005
20.1947178; 20.0485729; 2.5703050; -1.4871192; -0.0124076; 11.9999997; 0.0000005
20.3946655; 20.2477874; 2.5867656; -1.4895901; -0.0123147; 11.9999997; 0.0000005
20.5946132; 20.4471275; 2.6027425; -1.4920434; -0.0122210; 11.9999997; 0.0000005
20.7945609; 20.6465959; 2.6182391; -1.4944790; -0.0121266; 11.9999997; 0.0000005
20.9945086; 20.8461952; 2.6332586; -1.4968968; -0.0120315; 11.9999997; -2.0682284
21.1944563; 21.0458250; 2.6477970; -1.4992932; -0.0117950; 11.9654886; -12.6870024
21.3944040; 21.2450504; 2.6618372; -1.5015524; -0.0108293; 11.7515720; -12.4581409
21.5943517; 21.4443956; 2.6754525; -1.5036200; -0.0098678; 11.5376553; -12.2292794
21.7942994; 21.6438477; 2.6886799; -1.5054967; -0.0089102; 11.3237387; -12.0004179
21.9942471; 21.8433937; 2.7015566; -1.5071830; -0.0079561; 11.1098220; -11.7715565
22.1941948; 22.0430204; 2.7141196; -1.5086792; -0.0070051; 10.8959054; -11.5426950
22.3941425; 22.2427151; 2.7264059; -1.5099858; -0.0060567; 10.6819888; -11.3138335
