# 36addfcb-f8ed-4390-97bd-b5d7e8cbd77c
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0027395; 0.1291856; -1.4734718; 0.0023257; 11.9999988; 0.0000069
0.1999513; 0.2018374; 0.1486735; -1.4729681; 0.0027102; 11.9999989; 0.0000069
0.3999026; 0.4008986; 0.1682667; -1.4723875; 0.0030950; 11.9999990; 0.0000069
0.5998539; 0.5999194; 0.1879803; -1.4717300; 0.0034801; 11.9999991; 0.0000069
0.7998052; 0.7988964; 0.2078295; -1.4709956; 0.0038658; 11.9999992; 0.0000069
0.9997565; 0.9978260; 0.2278292; -1.4701841; 0.0042518; 11.9999993; 0.0000069
1.1997078; 1.1967045; 0.2479946; -1.4692955; 0.0046384; 11.9999994; 0.0000069
1.3996591; 1.3955283; 0.2683407; -1.4683298; 0.0050255; 11.9999996; 0.0000038
1.5996104; 1.5944077; 0.2888941; -1.4672940; 0.0052402; 11.9999996; -0.0000000
1.7995617; 1.7933695; 0.3096664; -1.4662458; 0.0052392; 11.9999996; -0.0000000
1.9995130; 1.9922735; 0.3306434; -1.4651980; 0.0052381; 11.9999996; -0.0000000
2.1994643; 2.1911217; 0.3518251; -1.4641507; 0.0052367; 11.9999996; -0.0000000
2.3994156; 2.3899158; 0.3732117; -1.4631038; 0.0052351; 11.9999996; -0.0000000
2.5993669; 2.5886576; 0.3948030; -1.4620574; 0.0052333; 11.9999996; -0.0000000
2.7993182; 2.7873491; 0.4165992; -1.4610116; 0.0052313; 11.9999996; -0.0000000
2.9992694; 2.9859920; 0.4386003; -1.4599663; 0.0052291; 11.9999996; 0.0000000
3.1992207; 3.1847539; 0.4608243; -1.4589315; 0.0051063; 11.9999996; 0.0000000
3.3991720; 3.3834892; 0.4832508; -1.4579239; 0.0049700; 11.9999996; 0.0000000
3.5991233; 3.5821810; 0.5058725; -1.4569437; 0.0048335; 11.9999996; 0.0000000
3.7990746; 3.7808310; 0.5286839; -1.4559909; 0.0046968; 11.9999996; 0.0000000
3.9990259; 3.9794409; 0.5516797; -1.4550655; 0.0045599; 11.9999996; 0.0000000
4.1989772; 4.1780124; 0.5748545; -1.4541676; 0.0044229; 11.9999996; 0.0000000
4.3989285; 4.3765472; 0.5982030; -1.4532971; 0.0042856; 11.9999996; 0.0000000
4.5988798; 4.5750850; 0.6217243; -1.4524546; 0.0041346; 11.9999996; -0.0000000
4.7988311; 4.7736571; 0.6454160; -1.4516452; 0.0039592; 11.9999996; -0.0000000
4.9987824; 4.9721979; 0.6692635; -1.4508711; 0.0037837; 11.9999996; -0.0000000
5.1987337; 5.1707098; 0.6932599; -1.4501321; 0.0036080; 11.9999996; -0.0000000
5.3986850; 5.3691946; 0.7173983; -1.4494282; 0.0034322; 11.9999996; -0.0000000
5.5986363; 5.5676547; 0.7416719; -1.4487596; 0.0032563; 11.9999996; -0.0000000
5.7985876; 5.7660920; 0.7660739; -1.4481261; 0.0030802; 11.9999996; -0.0000000
5.9985389; 5.9645087; 0.7905974; -1.4475279; 0.0029040; 11.9999996; -0.0000000
6.1984902; 6.1629331; 0.8152388; -1.4469654; 0.0027214; 11.9999996; -0.0000000
6.3984415; 6.3613465; 0.8399884; -1.4464397; 0.0025373; 11.9999996; -0.0000000
6.5983928; 6.5597455; 0.8648385; -1.4459508; 0.0023532; 11.9999996; -0.0000000
6.7983441; 6.7581321; 0.8897819; -1.4454987; 0.0021690; 11.9999996; -0.0000000
6.9982954; 6.9565083; 0.9148113; -1.4450834; 0.0019847; 11.9999996; -0.0000000
7.1982467; 7.1548762; 0.9399197; -1.4447050; 0.0018005; 11.9999996; -0.0000000
7.3981980; 7.3532379; 0.9650998; -1.4443634; 0.0016162; 11.9999996; -0.0000000
7.5981493; 7.5515850; 0.9903432; -1.4440588; 0.0014282; 11.9999996; -0.0000000
7.7981006; 7.7499051; 1.0156407; -1.4437929; 0.0012314; 11.9999996; -0.0000000
7.9980519; 7.9482251; 1.0409878; -1.4435664; 0.0010347; 11.9999996; -0.0000000
8.1980032; 8.1465471; 1.0663769; -1.4433792; 0.0008379; 11.9999996; -0.0000000
8.3979545; 8.3448733; 1.0918003; -1.4432313; 0.0006412; 11.9999996; -0.0000000
8.5979058; 8.5432056; 1.1172503; -1.4431228; 0.0004445; 11.9999996; -0.0000000
8.7978571; 8.7415461; 1.1427192; -1.4430535; 0.0002479; 11.9999996; -0.0000000
8.9978083; 8.9398970; 1.1681995; -1.4430236; 0.0000513; 11.9999996; 0.0000000
9.1977596; 9.1381867; 1.1936740; -1.4430339; -0.0001563; 11.9999996; 0.0000000
9.3977109; 9.3364677; 1.2191411; -1.4430862; -0.0003673; 11.9999996; 0.0000000
9.5976622; 9.5347652; 1.2445954; -1.4431807; -0.0005783; 11.9999996; 0.0000000
9.7976135; 9.7330814; 1.2700289; -1.4433174; -0.0007891; 11.9999996; 0.0000000
9.9975648; 9.9314183; 1.2954332; -1.4434963; -0.0009998; 11.9999996; 0.0000000
10.1975161; 10.1297781; 1.3208001; -1.4437173; -0.0012104; 11.9999996; 0.0000000
10.3974674; 10.3281629; 1.3461214; -1.4439804; -0.0014209; 11.9999996; 0.0000000
10.5974187; 10.5265402; 1.3713845; -1.4442857; -0.0016346; 11.9999996; 0.0000000
10.7973700; 10.7248258; 1.3965700; -1.4446349; -0.0018598; 11.9999996; 0.0000000
10.9973213; 10.9231425; 1.4216846; -1.4450292; -0.0020849; 11.9999996; 0.0000000
11.1972726; 11.1214925; 1.4467194; -1.4454685; -0.0023098; 11.9999996; 0.0000000
11.3972239; 11.3198779; 1.4716655; -1.4459528; -0.0025345; 11.9999996; 0.0000000
11.5971752; 11.5183008; 1.4965143; -1.4464821; -0.0027590; 11.9999996; 0.0000000
11.7971265; 11.7167632; 1.5212567; -1.4470563; -0.0029833; 11.9999996; 0.0000000
11.9970778; 11.9152672; 1.5458841; -1.4476755; -0.0032074; 11.9999996; 0.0000000
12.1970291; 12.1136704; 1.5703697; -1.4483400; -0.0034451; 11.9999996; 0.0000000
12.3969804; 12.3120505; 1.5947138; -1.4490529; -0.0036891; 11.9999996; 0.0000000
12.5969317; 12.5104786; 1.6189153; -1.4498148; -0.0039329; 11.9999996; 0.0000000
12.7968830; 12.7089565; 1.6429645; -1.4506254; -0.0041764; 11.9999996; 0.0000000
12.9968343; 12.9074865; 1.6668518; -1.4514848; -0.0044196; 11.9999996; 0.0000000
13.1967856; 13.1060706; 1.6905676; -1.4523930; -0.0046625; 11.9999996; 0.0000000
13.3967369; 13.3047109; 1.7141022; -1.4533499; -0.0049051; 11.9999996; 0.0000000
13.5966882; 13.5033750; 1.7374421; -1.4543553; -0.0051470; 11.9999996; 0.0000000
13.7966395; 13.7018592; 1.7605537; -1.4554077; -0.0053863; 11.9999996; 0.0000000
13.9965908; 13.9004057; 1.7834560; -1.4565081; -0.0056252; 11.9999996; 0.0000000
14.1965421; 14.0990165; 1.8061395; -1.4576565; -0.0058637; 11.9999996; 0.0000000
14.3964934; 14.2976936; 1.8285947; -1.4588527; -0.0061019; 11.9999996; 0.0000000
14.5964447; 14.4964390; 1.8508120; -1.4600968; -0.0063397; 11.9999996; 0.0000000
14.7963960; 14.6952548; 1.8727819; -1.4613886; -0.0065771; 11.9999996; 0.0000000
14.9963472; 14.8941429; 1.8944951; -1.4627282; -0.0068140; 11.9999996; 0.0000000
15.1962985; 15.0929126; 1.9159213; -1.4641117; -0.0070080; 11.9999996; 0.0000000
15.3962498; 15.2916083; 1.9370581; -1.4655281; -0.0071686; 11.9999996; 0.0000000
15.5962011; 15.4903813; 1.9579151; -1.4669769; -0.0073289; 11.9999996; 0.0000000
15.7961524; 15.6892329; 1.9784860; -1.4684580; -0.0074889; 11.9999996; 0.0000000
15.9961037; 15.8881643; 1.9987641; -1.4699715; -0.0076485; 11.9999996; 0.0000000
16.1960550; 16.0871771; 2.0187429; -1.4715172; -0.0078077; 11.9999996; 0.0000000
16.3960063; 16.2862726; 2.0384161; -1.4730952; -0.0079666; 11.9999996; 0.0000000
16.5959576; 16.4854522; 2.0577769; -1.4747053; -0.0081250; 11.9999996; -0.0000000
16.7959089; 16.6843062; 2.0767811; -1.4763302; -0.0081419; 11.9999996; -0.0000000
16.9958602; 16.8832415; 2.0954665; -1.4779585; -0.0081567; 11.9999996; -0.0000000
17.1958115; 17.0822645; 2.1138329; -1.4795903; -0.0081712; 11.9999996; -0.0000000
17.3957628; 17.2813766; 2.1318795; -1.4812253; -0.0081854; 11.9999996; -0.0000000
17.5957141; 17.4805791; 2.1496057; -1.4828637; -0.0081993; 11.9999996; -0.0000000
17.7956654; 17.6798735; 2.1670107; -1.4845054; -0.0082130; 11.9999996; -0.0000000
17.9956167; 17.8792610; 2.1840937; -1.4861503; -0.0082263; 11.9999996; -0.0000000
18.1955680; 18.0785504; 2.2008381; -1.4877921; -0.0081215; 11.9999996; -0.0000000
18.3955193; 18.2776402; 2.2172407; -1.4893861; -0.0078374; 11.9999996; -0.0000000
18.5954706; 18.4768214; 2.2333369; -1.4909239; -0.0075540; 11.9999996; -0.0000000
18.7954219; 18.6760916; 2.2491375; -1.4924057; -0.0072712; 11.9999996; -0.0000000
18.9953732; 18.8754485; 2.2646534; -1.4938314; -0.0069890; 11.9999996; -0.0000000
19.1953245; 19.0748897; 2.2798954; -1.4952012; -0.0067075; 11.9999996; -0.0000000
19.3952758; 19.2744127; 2.2948744; -1.4965152; -0.0064266; 11.9999996; -0.0000000
19.5952271; 19.4740151; 2.3096013; -1.4977733; -0.0061462; 11.9999996; 0.0000002
19.7951784; 19.6732889; 2.3240588; -1.4989501; -0.0055694; 11.9999996; 0.0000003
19.9951297; 19.8725315; 2.3382913; -1.4999969; -0.0049122; 11.9999996; 0.0000003
20.1950810; 20.0718572; 2.3523332; -1.5009128; -0.0042555; 11.9999996; 0.0000003
20.3950323; 20.2712700; 2.3662107; -1.5016979; -0.0035995; 11.9999996; 0.0000003
20.5949836; 20.4707738; 2.3799503; -1.5023522; -0.0029444; 11.9999997; 0.0000003
20.7949349; 20.6703725; 2.3935784; -1.5028758; -0.0022905; 11.9999997; 0.0000003
20.9948861; 20.8700702; 2.4071212; -1.5032689; -0.0016377; 11.9999997; -1.5166432
21.1948374; 21.0697851; 2.4205995; -1.5035287; -0.0008019; 11.9747018; -9.6252024
21.3947887; 21.2691380; 2.4340259; -1.5035062; 0.0010262; 11.8128887; -9.4942531
21.5947400; 21.4685688; 2.4474986; -1.5031186; 0.0028510; 11.6510756; -9.3633039
21.7946913; 21.6680536; 2.4610893; -1.5023663; 0.0046741; 11.4892625; -9.2323546
21.9946426; 21.8675686; 2.4748693; -1.5012493; 0.0064969; 11.3274494; -9.1014054
22.1945939; 22.0670899; 2.4889103; -1.4997674; 0.0083211; 11.1656363; -8.9704561
22.3945452; 22.2665936; 2.5032838; -1.4979203; 0.0101480; 11.0038233; -8.8395068
22.5944965; 22.4660558; 2.5180614; -1.4957076; 0.0119792; 10.8420102; -10.2908860
22.7944478; 22.6652940; 2.5333024; -1.4931223; 0.0139796; 10.6505320; -11.6222450
22.9943991; 22.8643176; 2.5490864; -1.4901161; 0.0161328; 10.4300559; -11.3791372
23.1943504; 23.0633165; 2.5655135; -1.4866811; 0.0182705; 10.2095798; -11.1360295
23.3943017; 23.2623254; 2.5826728; -1.4828197; 0.0203883; 9.9891037; -10.8929217
23.5942530; 23.4613789; 2.6006530; -1.4785351; 0.0224816; 9.7686276; -10.6498139
23.7942043; 23.6605118; 2.6195431; -1.4738312; 0.0245458; 9.5481515; -10.4067062
23.9941556; 23.8597587; 2.6394320; -1.4687123; 0.0265762; 9.3276754; -10.1635984
24.1941069; 24.0591544; 2.6604085; -1.4631834; 0.0285681; 9.1071993; -8.0767233
24.3940582; 24.2575139; 2.6824520; -1.4567663; 0.0367123; 8.9281116; -7.5785875
24.5940095; 24.4557369; 2.7059521; -1.4485110; 0.0459986; 8.7567391; -7.4317091
24.7939608; 24.6539311; 2.7312973; -1.4383917; 0.0552925; 8.5853666; -7.2848307
24.9939121; 24.8519800; 2.7588519; -1.4264047; 0.0646056; 8.4139941; -7.1379523
25.1938634; 25.0497669; 2.7889803; -1.4125455; 0.0739409; 8.2426216; -6.9910739
25.3938147; 25.2471753; 2.8220469; -1.3968097; 0.0832911; 8.0712492; -6.8441954
25.5937660; 25.4440885; 2.8584161; -1.3791949; 0.0926373; 7.8998767; -6.3845530
25.7937173; 25.6408708; 2.8985552; -1.3596523; 0.1019149; 7.7365918; -4.0955903
25.9936686; 25.8401390; 2.9435075; -1.3378632; 0.1116230; 7.6300075; -4.0387755
26.1936199; 26.0378553; 2.9928718; -1.3140131; 0.1226941; 7.5234233; -3.9819606
26.3935712; 26.2332999; 3.0468861; -1.2878799; 0.1353592; 7.4168391; -3.9251458
26.5935225; 26.4257530; 3.1057884; -1.2592102; 0.1498793; 7.3102548; -3.8683310
26.7934738; 26.6144946; 3.1698169; -1.2277173; 0.1665454; 7.2036706; -3.8115162
26.9934250; 26.7988051; 3.2392096; -1.1930797; 0.1856722; 7.0970864; -3.7547013
