# 2f857ab6-26b4-4e23-b6ed-23e5d0fca565
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0365727; -0.1130830; -1.4616388; 0.0142497; 11.9999987; 0.0000071
0.1999469; 0.2354562; -0.0910018; -1.4588179; 0.0139440; 11.9999989; 0.0000071
0.3998937; 0.4342204; -0.0683723; -1.4560591; 0.0136366; 11.9999990; 0.0000071
0.5998406; 0.6328701; -0.0452068; -1.4533627; 0.0133276; 11.9999991; 0.0000071
0.7997874; 0.8314102; -0.0215176; -1.4507289; 0.0130170; 11.9999992; 0.0000071
0.9997343; 1.0298452; 0.0026831; -1.4481579; 0.0127050; 11.9999993; 0.0000071
1.1996812; 1.2281800; 0.0273828; -1.4456499; 0.0123916; 11.9999994; 0.0000071
1.3996280; 1.4264194; 0.0525693; -1.4432051; 0.0120769; 11.9999996; 0.0000039
1.5995749; 1.6246711; 0.0782436; -1.4408298; 0.0115967; 11.9999996; 0.0000001
1.7995217; 1.8229624; 0.1043903; -1.4385785; 0.0109149; 11.9999996; 0.0000001
1.9994686; 2.0211719; 0.1309665; -1.4364639; 0.0102325; 11.9999996; 0.0000001
2.1994154; 2.2193043; 0.1579452; -1.4344861; 0.0095493; 11.9999996; 0.0000001
2.3993623; 2.4173639; 0.1852993; -1.4326452; 0.0088655; 11.9999996; 0.0000001
2.5993092; 2.6153555; 0.2130016; -1.4309412; 0.0081811; 11.9999996; 0.0000001
2.7992560; 2.8132834; 0.2410252; -1.4293742; 0.0074963; 11.9999996; 0.0000001
2.9992029; 3.0111522; 0.2693430; -1.4279443; 0.0068110; 11.9999996; 0.0000000
3.1991497; 3.2090735; 0.2979441; -1.4266387; 0.0062585; 11.9999996; 0.0000000
3.3990966; 3.4069550; 0.3267923; -1.4254411; 0.0057187; 11.9999996; 0.0000000
3.5990435; 3.6047902; 0.3558648; -1.4243516; 0.0051787; 11.9999996; 0.0000000
3.7989903; 3.8025834; 0.3851404; -1.4233702; 0.0046384; 11.9999996; 0.0000000
3.9989372; 4.0003388; 0.4145979; -1.4224968; 0.0040978; 11.9999996; 0.0000000
4.1988840; 4.1980605; 0.4442160; -1.4217316; 0.0035570; 11.9999996; 0.0000000
4.3988309; 4.3957527; 0.4739734; -1.4210746; 0.0030160; 11.9999996; 0.0000000
4.5987777; 4.5934393; 0.5038519; -1.4205228; 0.0025520; 11.9999996; -0.0000000
4.7987246; 4.7911370; 0.5338356; -1.4200460; 0.0022172; 11.9999996; -0.0000000
4.9986715; 4.9888160; 0.5639062; -1.4196361; 0.0018823; 11.9999996; -0.0000000
5.1986183; 5.1864791; 0.5940504; -1.4192933; 0.0015474; 11.9999996; -0.0000000
5.3985652; 5.3841290; 0.6242553; -1.4190173; 0.0012124; 11.9999996; -0.0000000
5.5985120; 5.5817686; 0.6545076; -1.4188084; 0.0008774; 11.9999996; -0.0000000
5.7984589; 5.7794008; 0.6847942; -1.4186665; 0.0005423; 11.9999996; -0.0000000
5.9984058; 5.9770283; 0.7151021; -1.4185916; 0.0002072; 11.9999996; -0.0000000
6.1983526; 6.1746560; 0.7454189; -1.4185738; -0.0000102; 11.9999996; -0.0000000
6.3982995; 6.3722845; 0.7757354; -1.4185953; -0.0002052; 11.9999996; -0.0000000
6.5982463; 6.5699154; 0.8060440; -1.4186558; -0.0004001; 11.9999996; -0.0000000
6.7981932; 6.7675508; 0.8363371; -1.4187553; -0.0005951; 11.9999996; -0.0000000
6.9981400; 6.9651928; 0.8666072; -1.4188938; -0.0007900; 11.9999996; -0.0000000
7.1980869; 7.1628435; 0.8968466; -1.4190712; -0.0009848; 11.9999996; -0.0000000
7.3980338; 7.3605049; 0.9270478; -1.4192876; -0.0011797; 11.9999996; -0.0000000
7.5979806; 7.5581645; 0.9572011; -1.4195422; -0.0013490; 11.9999996; -0.0000000
7.7979275; 7.7558057; 0.9872972; -1.4198230; -0.0014602; 11.9999996; -0.0000000
7.9978743; 7.9534631; 1.0173367; -1.4201261; -0.0015714; 11.9999996; -0.0000000
8.1978212; 8.1511383; 1.0473154; -1.4204514; -0.0016826; 11.9999996; -0.0000000
8.3977681; 8.3488330; 1.0772290; -1.4207989; -0.0017937; 11.9999996; -0.0000000
8.5977149; 8.5465487; 1.1070733; -1.4211687; -0.0019047; 11.9999996; -0.0000000
8.7976618; 8.7442870; 1.1368440; -1.4215606; -0.0020157; 11.9999996; -0.0000000
8.9976086; 8.9420494; 1.1665367; -1.4219748; -0.0021266; 11.9999996; -0.0000000
9.1975555; 9.1397601; 1.1961359; -1.4224094; -0.0022163; 11.9999996; 0.0000000
9.3975023; 9.3374748; 1.2256460; -1.4228608; -0.0022996; 11.9999996; 0.0000000
9.5974492; 9.5352180; 1.2550675; -1.4233288; -0.0023829; 11.9999996; 0.0000000
9.7973961; 9.7329911; 1.2843972; -1.4238136; -0.0024660; 11.9999996; 0.0000000
9.9973429; 9.9307957; 1.3136319; -1.4243150; -0.0025491; 11.9999996; 0.0000000
10.1972898; 10.1286330; 1.3427683; -1.4248330; -0.0026321; 11.9999996; 0.0000000
10.3972366; 10.3265046; 1.3718034; -1.4253677; -0.0027150; 11.9999996; 0.0000000
10.5971835; 10.5243761; 1.4007288; -1.4259190; -0.0028020; 11.9999996; 0.0000000
10.7971304; 10.7221650; 1.4295289; -1.4264892; -0.0029028; 11.9999996; 0.0000000
10.9970772; 10.9199923; 1.4582173; -1.4270795; -0.0030036; 11.9999996; 0.0000000
11.1970241; 11.1178595; 1.4867902; -1.4276900; -0.0031042; 11.9999996; 0.0000000
11.3969709; 11.3157681; 1.5152438; -1.4283207; -0.0032047; 11.9999996; 0.0000000
11.5969178; 11.5137195; 1.5435740; -1.4289716; -0.0033051; 11.9999996; 0.0000000
11.7968646; 11.7117153; 1.5717771; -1.4296427; -0.0034054; 11.9999996; 0.0000000
11.9968115; 11.9097567; 1.5998490; -1.4303338; -0.0035055; 11.9999996; 0.0000000
12.1967584; 12.1077018; 1.6277656; -1.4310468; -0.0036381; 11.9999996; 0.0000000
12.3967052; 12.3056291; 1.6555330; -1.4317887; -0.0037857; 11.9999996; 0.0000000
12.5966521; 12.5036068; 1.6831547; -1.4325602; -0.0039331; 11.9999996; 0.0000000
12.7965989; 12.7016365; 1.7106249; -1.4333612; -0.0040803; 11.9999996; 0.0000000
12.9965458; 12.8997199; 1.7379379; -1.4341918; -0.0042273; 11.9999996; 0.0000000
13.1964927; 13.0978586; 1.7650878; -1.4350519; -0.0043742; 11.9999996; 0.0000000
13.3964395; 13.2960543; 1.7920690; -1.4359415; -0.0045208; 11.9999996; 0.0000000
13.5963864; 13.4942740; 1.8188708; -1.4368605; -0.0046742; 11.9999996; 0.0000000
13.7963332; 13.6923231; 1.8454609; -1.4378146; -0.0048744; 11.9999996; 0.0000000
13.9962801; 13.8904341; 1.8718629; -1.4388088; -0.0050744; 11.9999996; 0.0000000
14.1962269; 14.0886090; 1.8980689; -1.4398431; -0.0052740; 11.9999996; 0.0000000
14.3961738; 14.2868495; 1.9240709; -1.4409175; -0.0054734; 11.9999996; 0.0000000
14.5961207; 14.4851576; 1.9498610; -1.4420320; -0.0056725; 11.9999996; 0.0000000
14.7960675; 14.6835349; 1.9754313; -1.4431865; -0.0058712; 11.9999996; 0.0000000
14.9960144; 14.8819834; 2.0007738; -1.4443809; -0.0060696; 11.9999996; 0.0000000
15.1959612; 15.0803215; 2.0258576; -1.4456159; -0.0062997; 11.9999996; 0.0000000
15.3959081; 15.2785939; 2.0506794; -1.4469002; -0.0065538; 11.9999996; 0.0000000
15.5958550; 15.4769429; 2.0752470; -1.4482354; -0.0068076; 11.9999996; 0.0000000
15.7958018; 15.6753706; 2.0995502; -1.4496216; -0.0070609; 11.9999996; 0.0000000
15.9957487; 15.8738789; 2.1235789; -1.4510588; -0.0073138; 11.9999996; 0.0000000
16.1956955; 16.0724698; 2.1473229; -1.4525469; -0.0075662; 11.9999996; 0.0000000
16.3956424; 16.2711453; 2.1707722; -1.4540857; -0.0078181; 11.9999996; 0.0000000
16.5955892; 16.4699073; 2.1939164; -1.4556753; -0.0080696; 11.9999996; 0.0000000
16.7955361; 16.6683702; 2.2167013; -1.4573130; -0.0083261; 11.9999996; 0.0000000
16.9954830; 16.8669194; 2.2391616; -1.4590022; -0.0085821; 11.9999996; 0.0000000
17.1954298; 17.0655609; 2.2612873; -1.4607431; -0.0088375; 11.9999996; 0.0000000
