# 21b42478-5013-4521-9c55-358b53e63f40
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0367585; -0.1144138; -1.4587770; 0.0122839; 11.9999987; 0.0000070
0.1999891; 0.2356162; -0.0917983; -1.4563417; 0.0120515; 11.9999989; 0.0000070
0.3999782; 0.4343653; -0.0687094; -1.4539538; 0.0118179; 11.9999990; 0.0000070
0.5999673; 0.6330100; -0.0451566; -1.4516132; 0.0115830; 11.9999991; 0.0000070
0.7999564; 0.8315547; -0.0211490; -1.4493203; 0.0113469; 11.9999992; 0.0000070
0.9999455; 1.0300038; 0.0033040; -1.4470752; 0.0111097; 11.9999993; 0.0000070
1.1999346; 1.2283614; 0.0281931; -1.4448780; 0.0108714; 11.9999994; 0.0000070
1.3999237; 1.4266319; 0.0535091; -1.4427290; 0.0106321; 11.9999996; 0.0000039
1.5999127; 1.6249205; 0.0792556; -1.4406349; 0.0102192; 11.9999996; 0.0000000
1.7999018; 1.8232524; 0.1054196; -1.4386528; 0.0095967; 11.9999996; 0.0000000
1.9998909; 2.0215097; 0.1319611; -1.4367955; 0.0089736; 11.9999996; 0.0000000
2.1998800; 2.2196967; 0.1588553; -1.4350631; 0.0083498; 11.9999996; 0.0000000
2.3998691; 2.4178175; 0.1860776; -1.4334557; 0.0077256; 11.9999996; 0.0000000
2.5998582; 2.6158763; 0.2136031; -1.4319733; 0.0071008; 11.9999996; 0.0000000
2.7998473; 2.8138772; 0.2414073; -1.4306161; 0.0064756; 11.9999996; 0.0000000
2.9998364; 3.0118244; 0.2694652; -1.4293840; 0.0058500; 11.9999996; 0.0000000
3.1998255; 3.2098338; 0.2977692; -1.4282631; 0.0053695; 11.9999996; 0.0000000
3.3998146; 3.4078080; 0.3262851; -1.4272358; 0.0049025; 11.9999996; 0.0000000
3.5998037; 3.6057402; 0.3549931; -1.4263020; 0.0044352; 11.9999996; 0.0000000
3.7997928; 3.8036343; 0.3838748; -1.4254618; 0.0039677; 11.9999996; 0.0000000
3.9997819; 4.0014939; 0.4129119; -1.4247151; 0.0034999; 11.9999996; 0.0000000
4.1997710; 4.1993228; 0.4420859; -1.4240620; 0.0030319; 11.9999996; 0.0000000
4.3997601; 4.3971249; 0.4713784; -1.4235026; 0.0025637; 11.9999996; 0.0000000
4.5997491; 4.5949257; 0.5007745; -1.4230340; 0.0021680; 11.9999996; -0.0000000
4.7997382; 4.7927426; 0.5302610; -1.4226281; 0.0018911; 11.9999996; -0.0000000
4.9997273; 4.9905422; 0.5598214; -1.4222775; 0.0016142; 11.9999996; -0.0000000
5.1997164; 5.1883270; 0.5894448; -1.4219824; 0.0013372; 11.9999996; -0.0000000
5.3997055; 5.3860995; 0.6191205; -1.4217427; 0.0010601; 11.9999996; -0.0000000
5.5996946; 5.5838623; 0.6488376; -1.4215584; 0.0007830; 11.9999996; -0.0000000
5.7996837; 5.7816179; 0.6785852; -1.4214296; 0.0005058; 11.9999996; -0.0000000
5.9996728; 5.9793688; 0.7083526; -1.4213561; 0.0002287; 11.9999996; -0.0000000
6.1996619; 6.1771213; 0.7381301; -1.4213287; 0.0000628; 11.9999996; -0.0000000
6.3996510; 6.3748742; 0.7679101; -1.4213307; -0.0000829; 11.9999996; -0.0000000
6.5996401; 6.5726286; 0.7976871; -1.4213618; -0.0002286; 11.9999996; -0.0000000
6.7996292; 6.7703864; 0.8274552; -1.4214221; -0.0003743; 11.9999996; -0.0000000
6.9996183; 6.9681494; 0.8572091; -1.4215115; -0.0005199; 11.9999996; -0.0000000
7.1996074; 7.1659194; 0.8869429; -1.4216301; -0.0006656; 11.9999996; -0.0000000
7.3995965; 7.3636981; 0.9166512; -1.4217777; -0.0008112; 11.9999996; -0.0000000
7.5995855; 7.5614722; 0.9463259; -1.4219538; -0.0009335; 11.9999996; -0.0000000
7.7995746; 7.7592250; 0.9759599; -1.4221476; -0.0010052; 11.9999996; -0.0000000
7.9995637; 7.9569916; 1.0055553; -1.4223558; -0.0010769; 11.9999996; -0.0000000
8.1995528; 8.1547732; 1.0351094; -1.4225783; -0.0011485; 11.9999996; -0.0000000
8.3995419; 8.3525712; 1.0646195; -1.4228152; -0.0012201; 11.9999996; -0.0000000
8.5995310; 8.5503871; 1.0940830; -1.4230664; -0.0012917; 11.9999996; -0.0000000
8.7995201; 8.7482222; 1.1234970; -1.4233319; -0.0013632; 11.9999996; -0.0000000
8.9995092; 8.9460780; 1.1528590; -1.4236117; -0.0014347; 11.9999996; 0.0000000
9.1994983; 9.1438745; 1.1821543; -1.4239046; -0.0014918; 11.9999996; 0.0000000
9.3994874; 9.3416714; 1.2113893; -1.4242082; -0.0015450; 11.9999996; 0.0000000
9.5994765; 9.5394930; 1.2405655; -1.4245224; -0.0015981; 11.9999996; 0.0000000
9.7994656; 9.7373403; 1.2696809; -1.4248473; -0.0016511; 11.9999996; 0.0000000
9.9994547; 9.9352149; 1.2987336; -1.4251828; -0.0017041; 11.9999996; 0.0000000
10.1994438; 10.1331178; 1.3277215; -1.4255290; -0.0017571; 11.9999996; 0.0000000
10.3994328; 10.3310504; 1.3566428; -1.4258857; -0.0018099; 11.9999996; 0.0000000
10.5994219; 10.5289752; 1.3854897; -1.4262532; -0.0018698; 11.9999996; -0.0000000
10.7994110; 10.7268110; 1.4142480; -1.4266352; -0.0019518; 11.9999996; -0.0000000
10.9994001; 10.9246805; 1.4429324; -1.4270337; -0.0020338; 11.9999996; -0.0000000
11.1993892; 11.1225851; 1.4715397; -1.4274485; -0.0021156; 11.9999996; -0.0000000
11.3993783; 11.3205261; 1.5000668; -1.4278798; -0.0021974; 11.9999996; -0.0000000
11.5993674; 11.5185049; 1.5285105; -1.4283275; -0.0022790; 11.9999996; -0.0000000
11.7993565; 11.7165230; 1.5568677; -1.4287915; -0.0023606; 11.9999996; -0.0000000
11.9993456; 11.9145817; 1.5851353; -1.4292719; -0.0024421; 11.9999996; -0.0000000
12.1993347; 12.1125324; 1.6132887; -1.4297717; -0.0025708; 11.9999996; -0.0000000
12.3993238; 12.3104620; 1.6413353; -1.4303005; -0.0027199; 11.9999996; -0.0000000
12.5993129; 12.5084368; 1.6692785; -1.4308592; -0.0028688; 11.9999996; -0.0000000
12.7993020; 12.7064586; 1.6971125; -1.4314477; -0.0030176; 11.9999996; -0.0000000
12.9992911; 12.9045291; 1.7248314; -1.4320661; -0.0031661; 11.9999996; -0.0000000
13.1992802; 13.1026499; 1.7524295; -1.4327143; -0.0033145; 11.9999996; -0.0000000
13.3992692; 13.3008228; 1.7799009; -1.4333923; -0.0034627; 11.9999996; 0.0000000
13.5992583; 13.4990101; 1.8072344; -1.4341000; -0.0036232; 11.9999996; 0.0000000
13.7992474; 13.6970240; 1.8343974; -1.4348475; -0.0038561; 11.9999996; 0.0000000
13.9992365; 13.8950953; 1.8614128; -1.4356416; -0.0040888; 11.9999996; 0.0000000
14.1992256; 14.0932261; 1.8882713; -1.4364823; -0.0043212; 11.9999996; 0.0000000
14.3992147; 14.2914183; 1.9149637; -1.4373697; -0.0045533; 11.9999996; 0.0000000
14.5992038; 14.4896739; 1.9414810; -1.4383037; -0.0047851; 11.9999996; 0.0000000
14.7991929; 14.6879952; 1.9678137; -1.4392841; -0.0050165; 11.9999996; 0.0000000
14.9991820; 14.8863839; 1.9939529; -1.4403111; -0.0052476; 11.9999996; 0.0000000
15.1991711; 15.0846541; 2.0198646; -1.4413872; -0.0055433; 11.9999996; 0.0000000
15.3991602; 15.2828620; 2.0455447; -1.4425293; -0.0058846; 11.9999996; 0.0000000
15.5991493; 15.4811439; 2.0709973; -1.4437397; -0.0062255; 11.9999996; 0.0000000
15.7991384; 15.6795022; 2.0962087; -1.4450186; -0.0065659; 11.9999996; 0.0000000
15.9991275; 15.8779395; 2.1211655; -1.4463658; -0.0069058; 11.9999996; 0.0000000
16.1991166; 16.0764581; 2.1458540; -1.4477812; -0.0072452; 11.9999996; 0.0000000
16.3991056; 16.2750603; 2.1702607; -1.4492649; -0.0075839; 11.9999996; 0.0000000
16.5990947; 16.4737451; 2.1943714; -1.4508166; -0.0079226; 11.9999996; 0.0000000
16.7990838; 16.6721372; 2.2181274; -1.4524387; -0.0083135; 11.9999996; 0.0000000
16.9990729; 16.8706201; 2.2415599; -1.4541392; -0.0087036; 11.9999996; 0.0000000
17.1990620; 17.0691965; 2.2646532; -1.4559181; -0.0090930; 11.9999996; 0.0000000
17.3990511; 17.2678690; 2.2873916; -1.4577753; -0.0094816; 11.9999996; 0.0000000
17.5990402; 17.4666403; 2.3097596; -1.4597107; -0.0098694; 11.9999996; 0.0000000
17.7990293; 17.6655129; 2.3317414; -1.4617241; -0.0102564; 11.9999996; 0.0000000
17.9990184; 17.8644895; 2.3533215; -1.4638155; -0.0106424; 11.9999996; 0.0000000
18.1990075; 18.0633774; 2.3744636; -1.4659787; -0.0109341; 11.9999996; -0.0000000
18.3989966; 18.2621036; 2.3951498; -1.4681795; -0.0110961; 11.9999996; -0.0000000
18.5989857; 18.4609386; 2.4154016; -1.4704134; -0.0112577; 11.9999996; -0.0000000
18.7989748; 18.6598830; 2.4352124; -1.4726802; -0.0114189; 11.9999996; -0.0000000
18.9989639; 18.8589375; 2.4545752; -1.4749800; -0.0115796; 11.9999996; -0.0000000
19.1989530; 19.0581030; 2.4734832; -1.4773127; -0.0117398; 11.9999996; -0.0000000
19.3989420; 19.2573802; 2.4919297; -1.4796782; -0.0118995; 11.9999996; -0.0000000
19.5989311; 19.4567698; 2.5099076; -1.4820764; -0.0120587; 11.9999996; 0.0000000
19.7989202; 19.6558163; 2.5273724; -1.4844712; -0.0118412; 11.9999996; 0.0000001
19.9989093; 19.8548719; 2.5443636; -1.4868064; -0.0115366; 11.9999996; 0.0000001
20.1988984; 20.0540434; 2.5609022; -1.4890816; -0.0112319; 11.9999996; 0.0000001
20.3988875; 20.2533325; 2.5770002; -1.4912968; -0.0109270; 11.9999996; 0.0000001
20.5988766; 20.4527410; 2.5926694; -1.4934519; -0.0106219; 11.9999996; 0.0000001
20.7988657; 20.6522706; 2.6079214; -1.4955470; -0.0103168; 11.9999996; 0.0000001
20.9988548; 20.8519232; 2.6227683; -1.4975819; -0.0100118; 11.9999996; -0.3363522
21.1988439; 21.0515870; 2.6372137; -1.4995526; -0.0095417; 11.9943928; -1.8233447
21.3988330; 21.2508705; 2.6512525; -1.5013390; -0.0083431; 11.9639525; -1.8187114
21.5988221; 21.4502630; 2.6649651; -1.5028870; -0.0071488; 11.9335123; -1.8140781
21.7988112; 21.6497508; 2.6783978; -1.5041973; -0.0059583; 11.9030720; -1.8094448
21.9988003; 21.8493203; 2.6915971; -1.5052702; -0.0047709; 11.8726317; -1.8048115
22.1987894; 22.0489577; 2.7046095; -1.5061061; -0.0035862; 11.8421915; -1.8001782
22.3987784; 22.2486493; 2.7174817; -1.5067054; -0.0024035; 11.8117512; -1.7955449
22.5987675; 22.4483813; 2.7302599; -1.5070682; -0.0012224; 11.7813110; -8.9173917
22.7987566; 22.6478652; 2.7429741; -1.5071709; 0.0004043; 11.6289521; -14.9274207
