# f7886794-4fe6-4d85-b891-5849f3d7a7fe
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0000207; 0.1489505; -1.4785065; 0.0029194; 11.9999988; 0.0000069
0.1999865; 0.1992107; 0.1674511; -1.4778842; 0.0033010; 11.9999989; 0.0000069
0.3999731; 0.3984030; 0.1860808; -1.4771856; 0.0036829; 11.9999990; 0.0000069
0.5999596; 0.5975524; 0.2048546; -1.4764107; 0.0040654; 11.9999991; 0.0000069
0.7999461; 0.7966551; 0.2237873; -1.4755593; 0.0044482; 11.9999992; 0.0000069
0.9999327; 0.9957073; 0.2428938; -1.4746315; 0.0048317; 11.9999993; 0.0000069
1.1999192; 1.1947052; 0.2621892; -1.4736271; 0.0052156; 11.9999994; 0.0000069
1.3999057; 1.3936450; 0.2816884; -1.4725461; 0.0056002; 11.9999996; 0.0000038
1.5998923; 1.5926431; 0.3014180; -1.4713956; 0.0058071; 11.9999996; -0.0000000
1.7998788; 1.7917279; 0.3213893; -1.4702353; 0.0057914; 11.9999996; -0.0000000
1.9998653; 1.9907514; 0.3415874; -1.4690783; 0.0057754; 11.9999996; -0.0000000
2.1998519; 2.1897155; 0.3620118; -1.4679248; 0.0057592; 11.9999996; -0.0000000
2.3998384; 2.3886223; 0.3826617; -1.4667748; 0.0057427; 11.9999996; -0.0000000
2.5998249; 2.5874736; 0.4035368; -1.4656282; 0.0057260; 11.9999996; -0.0000000
2.7998115; 2.7862715; 0.4246364; -1.4644852; 0.0057090; 11.9999996; -0.0000000
2.9997980; 2.9850179; 0.4459599; -1.4633458; 0.0056917; 11.9999996; -0.0000000
3.1997845; 3.1838909; 0.4675252; -1.4622204; 0.0055471; 11.9999996; -0.0000000
3.3997711; 3.3827356; 0.4893108; -1.4611267; 0.0053881; 11.9999996; -0.0000000
3.5997576; 3.5815345; 0.5113082; -1.4600649; 0.0052289; 11.9999996; -0.0000000
3.7997441; 3.7802892; 0.5335111; -1.4590351; 0.0050695; 11.9999996; -0.0000000
3.9997307; 3.9790015; 0.5559133; -1.4580373; 0.0049098; 11.9999996; -0.0000000
4.1997172; 4.1776733; 0.5785085; -1.4570715; 0.0047500; 11.9999996; -0.0000000
4.3997037; 4.3763063; 0.6012903; -1.4561378; 0.0045900; 11.9999996; -0.0000000
4.5996903; 4.5749432; 0.6242574; -1.4552366; 0.0044157; 11.9999996; -0.0000000
4.7996768; 4.7736170; 0.6474064; -1.4543733; 0.0042164; 11.9999996; -0.0000000
4.9996633; 4.9722580; 0.6707214; -1.4535499; 0.0040169; 11.9999996; -0.0000000
5.1996499; 5.1708684; 0.6941946; -1.4527665; 0.0038173; 11.9999996; -0.0000000
5.3996364; 5.3694505; 0.7178182; -1.4520231; 0.0036175; 11.9999996; -0.0000000
5.5996229; 5.5680065; 0.7415844; -1.4513197; 0.0034175; 11.9999996; -0.0000000
5.7996095; 5.7665387; 0.7654853; -1.4506563; 0.0032174; 11.9999996; -0.0000000
5.9995960; 5.9650493; 0.7895132; -1.4500330; 0.0030172; 11.9999996; -0.0000000
6.1995825; 6.1635705; 0.8136639; -1.4494502; 0.0028096; 11.9999996; -0.0000000
6.3995691; 6.3620807; 0.8379265; -1.4489092; 0.0026004; 11.9999996; -0.0000000
6.5995556; 6.5605759; 0.8622920; -1.4484101; 0.0023910; 11.9999996; -0.0000000
6.7995421; 6.7590583; 0.8867523; -1.4479529; 0.0021817; 11.9999996; -0.0000000
6.9995286; 6.9575300; 0.9112992; -1.4475375; 0.0019722; 11.9999996; -0.0000000
7.1995152; 7.1559932; 0.9359245; -1.4471641; 0.0017627; 11.9999996; -0.0000000
7.3995017; 7.3544501; 0.9606201; -1.4468325; 0.0015532; 11.9999996; -0.0000000
7.5994882; 7.5528933; 0.9853765; -1.4465429; 0.0013402; 11.9999996; -0.0000000
7.7994748; 7.7513118; 1.0101839; -1.4462971; 0.0011187; 11.9999996; -0.0000000
7.9994613; 7.9497306; 1.0350364; -1.4460955; 0.0008972; 11.9999996; -0.0000000
8.1994478; 8.1481519; 1.0599253; -1.4459382; 0.0006758; 11.9999996; -0.0000000
8.3994344; 8.3465778; 1.0848421; -1.4458252; 0.0004544; 11.9999996; -0.0000000
8.5994209; 8.5450106; 1.1097780; -1.4457565; 0.0002330; 11.9999996; -0.0000000
8.7994074; 8.7434524; 1.1347245; -1.4457320; 0.0000117; 11.9999996; -0.0000000
8.9993940; 8.9419055; 1.1596729; -1.4457518; -0.0002095; 11.9999996; 0.0000000
9.1993805; 9.1402995; 1.1846053; -1.4458165; -0.0004402; 11.9999996; 0.0000000
9.3993670; 9.3386868; 1.2095192; -1.4459279; -0.0006738; 11.9999996; 0.0000000
9.5993536; 9.5370920; 1.2344082; -1.4460860; -0.0009072; 11.9999996; 0.0000000
9.7993401; 9.7355172; 1.2592631; -1.4462907; -0.0011405; 11.9999996; 0.0000000
9.9993266; 9.9339646; 1.2840748; -1.4465421; -0.0013737; 11.9999996; 0.0000000
10.1993132; 10.1324364; 1.3088342; -1.4468402; -0.0016068; 11.9999996; 0.0000000
10.3992997; 10.3309349; 1.3335322; -1.4471849; -0.0018397; 11.9999996; 0.0000000
10.5992862; 10.5294269; 1.3581551; -1.4475762; -0.0020749; 11.9999996; 0.0000000
10.7992728; 10.7278306; 1.3826835; -1.4480153; -0.0023182; 11.9999996; 0.0000000
10.9992593; 10.9262673; 1.4071227; -1.4485031; -0.0025613; 11.9999996; 0.0000000
11.1992458; 11.1247393; 1.4314629; -1.4490396; -0.0028042; 11.9999996; 0.0000000
11.3992324; 11.3232488; 1.4556948; -1.4496246; -0.0030468; 11.9999996; 0.0000000
11.5992189; 11.5217979; 1.4798088; -1.4502583; -0.0032893; 11.9999996; 0.0000000
11.7992054; 11.7203887; 1.5037952; -1.4509405; -0.0035315; 11.9999996; 0.0000000
11.9991920; 11.9190235; 1.5276446; -1.4516712; -0.0037735; 11.9999996; 0.0000000
12.1991785; 12.1175573; 1.5513299; -1.4524504; -0.0040228; 11.9999996; 0.0000000
12.3991650; 12.3160715; 1.5748509; -1.4532798; -0.0042753; 11.9999996; 0.0000000
12.5991516; 12.5146360; 1.5982058; -1.4541598; -0.0045275; 11.9999996; 0.0000000
12.7991381; 12.7132529; 1.6213846; -1.4550903; -0.0047794; 11.9999996; 0.0000000
12.9991246; 12.9119242; 1.6443772; -1.4560714; -0.0050310; 11.9999996; 0.0000000
13.1991112; 13.1106521; 1.6671738; -1.4571029; -0.0052823; 11.9999996; 0.0000000
13.3990977; 13.3094387; 1.6897644; -1.4581848; -0.0055332; 11.9999996; 0.0000000
13.5990842; 13.5082485; 1.7121347; -1.4593168; -0.0057802; 11.9999996; 0.0000000
13.7990708; 13.7068789; 1.7342524; -1.4604943; -0.0060036; 11.9999996; 0.0000000
13.9990573; 13.9055740; 1.7561360; -1.4617168; -0.0062267; 11.9999996; 0.0000000
14.1990438; 14.1043357; 1.7777766; -1.4629840; -0.0064494; 11.9999996; 0.0000000
14.3990304; 14.3031659; 1.7991652; -1.4642960; -0.0066718; 11.9999996; 0.0000000
14.5990169; 14.5020666; 1.8202929; -1.4656526; -0.0068937; 11.9999996; 0.0000000
14.7990034; 14.7010397; 1.8411509; -1.4670540; -0.0071152; 11.9999996; 0.0000000
14.9989900; 14.9000871; 1.8617302; -1.4684999; -0.0073363; 11.9999996; 0.0000000
15.1989765; 15.0990093; 1.8820017; -1.4699855; -0.0074986; 11.9999996; 0.0000000
15.3989630; 15.2978589; 1.9019648; -1.4714960; -0.0076171; 11.9999996; 0.0000000
15.5989496; 15.4967871; 1.9216299; -1.4730304; -0.0077353; 11.9999996; 0.0000000
15.7989361; 15.6957950; 1.9409922; -1.4745889; -0.0078532; 11.9999996; 0.0000000
15.9989226; 15.8948837; 1.9600467; -1.4761713; -0.0079709; 11.9999996; 0.0000000
16.1989092; 16.0940544; 1.9787887; -1.4777776; -0.0080882; 11.9999996; 0.0000000
16.3988957; 16.2933081; 1.9972133; -1.4794078; -0.0082051; 11.9999996; 0.0000000
16.5988822; 16.4926460; 2.0153155; -1.4810618; -0.0083218; 11.9999996; -0.0000000
16.7988688; 16.6916443; 2.0330544; -1.4827159; -0.0082364; 11.9999996; -0.0000000
16.9988553; 16.8907279; 2.0504708; -1.4843533; -0.0081505; 11.9999996; -0.0000000
17.1988418; 17.0898984; 2.0675678; -1.4859740; -0.0080645; 11.9999996; -0.0000000
17.3988284; 17.2891569; 2.0843488; -1.4875780; -0.0079784; 11.9999996; -0.0000000
