# 8c443be4-8376-4bd7-893a-d6d6fbd8ad7e
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0335675; -0.0915641; -1.4382207; 0.0100385; 10.3031080; 3.1712426
0.1999676; 0.2318670; -0.0649240; -1.4363223; 0.0089374; 10.3644742; 3.1458090
0.3999352; 0.4300788; -0.0379348; -1.4346447; 0.0078347; 10.4249914; 3.1205793
0.5999028; 0.6282116; -0.0106400; -1.4331881; 0.0067305; 10.4846781; 3.0955520
0.7998704; 0.8262739; 0.0169167; -1.4319527; 0.0056250; 10.5435523; 3.0707254
0.9998379; 1.0242741; 0.0446919; -1.4309387; 0.0045183; 10.6016313; 3.0460979
1.1998055; 1.2222208; 0.0726419; -1.4301461; 0.0034106; 10.6589318; 3.0216679
1.3997731; 1.4201225; 0.1007232; -1.4295752; 0.0023021; 10.7154701; 2.9974338
1.5997407; 1.6180715; 0.1289047; -1.4292083; 0.0015788; 10.7712617; 2.9733942
1.7997083; 1.8160910; 0.1571609; -1.4289182; 0.0013224; 10.8263218; 2.9495473
1.9996759; 2.0140816; 0.1854664; -1.4286794; 0.0010657; 10.8806650; 2.9258916
2.1996435; 2.2120454; 0.2138112; -1.4284919; 0.0008090; 10.9343056; 2.9024257
2.3996111; 2.4099845; 0.2421851; -1.4283558; 0.0005520; 10.9872572; 2.8791480
2.5995787; 2.6079011; 0.2705781; -1.4282711; 0.0002950; 11.0395332; 2.8560570
2.7995462; 2.8057971; 0.2989800; -1.4282379; 0.0000378; 11.0911465; 2.8331511
2.9995138; 3.0036746; 0.3273808; -1.4282560; -0.0002195; 11.1421096; 2.8104290
3.1994814; 3.2016523; 0.3557882; -1.4283079; -0.0002821; 11.1924348; 2.7878891
3.3994490; 3.3996263; 0.3841837; -1.4283687; -0.0003261; 11.2421338; 2.7655300
3.5994166; 3.5975867; 0.4125641; -1.4284383; -0.0003700; 11.2912180; 2.7433502
3.7993842; 3.7955349; 0.4409277; -1.4285167; -0.0004140; 11.3396987; 2.7213483
3.9993518; 3.9934721; 0.4692731; -1.4286039; -0.0004580; 11.3875866; 2.6995228
4.1993194; 4.1913997; 0.4975986; -1.4286999; -0.0005019; 11.4348924; 2.6778724
4.3992869; 4.3893192; 0.5259026; -1.4288046; -0.0005459; 11.4816261; 2.6563956
4.5992545; 4.5872585; 0.5541875; -1.4289182; -0.0005900; 11.5277979; 2.6350911
4.7992221; 4.7852365; 0.5824540; -1.4290406; -0.0006344; 11.5734174; 2.6139574
4.9991897; 4.9832101; 0.6106943; -1.4291719; -0.0006788; 11.6184940; 2.5929932
5.1991573; 5.1811806; 0.6389067; -1.4293121; -0.0007231; 11.6630370; 2.5721972
5.3991249; 5.3791493; 0.6670896; -1.4294611; -0.0007675; 11.7070554; 2.5515679
5.5990925; 5.5771173; 0.6952415; -1.4296190; -0.0008118; 11.7505577; 2.5311041
5.7990601; 5.7750859; 0.7233607; -1.4297858; -0.0008561; 11.7935527; 2.5108045
5.9990277; 5.9730563; 0.7514455; -1.4299614; -0.0009005; 11.8360485; 2.4906676
6.1989952; 6.1710414; 0.7794961; -1.4301459; -0.0009450; 11.8780533; 2.4706922
6.3989628; 6.3690329; 0.8075094; -1.4303393; -0.0009896; 11.9195749; 2.4508770
6.5989304; 6.5670299; 0.8354835; -1.4305417; -0.0010342; 11.9606211; 2.3592375
6.7988980; 6.7650338; 0.8634168; -1.4307529; -0.0010787; 12.0000000; 0.0000000
6.9988656; 6.9630456; 0.8913077; -1.4309731; -0.0011232; 12.0000000; 0.0000000
7.1988332; 7.1610668; 0.9191546; -1.4312021; -0.0011677; 12.0000000; 0.0000000
7.3988008; 7.3590985; 0.9469557; -1.4314401; -0.0012122; 12.0000000; 0.0000000
7.5987684; 7.5571286; 0.9747077; -1.4316869; -0.0012568; 12.0000000; 0.0000000
7.7987360; 7.7551419; 1.0024066; -1.4319427; -0.0013018; 12.0000000; 0.0000000
7.9987035; 7.9531694; 1.0300550; -1.4322075; -0.0013467; 12.0000000; 0.0000000
8.1986711; 8.1512125; 1.0576511; -1.4324813; -0.0013916; 12.0000000; 0.0000000
8.3986387; 8.3492723; 1.0851934; -1.4327641; -0.0014365; 12.0000000; 0.0000000
8.5986063; 8.5473501; 1.1126802; -1.4330558; -0.0014813; 12.0000000; 0.0000000
8.7985739; 8.7454471; 1.1401099; -1.4333565; -0.0015261; 12.0000000; 0.0000000
8.9985415; 8.9435646; 1.1674807; -1.4336662; -0.0015709; 12.0000000; 0.0000000
9.1985091; 9.1416257; 1.1947804; -1.4339848; -0.0016161; 12.0000000; 0.0000000
9.3984767; 9.3396874; 1.2220150; -1.4343125; -0.0016615; 12.0000000; 0.0000000
9.5984443; 9.5377733; 1.2491858; -1.4346492; -0.0017069; 12.0000000; 0.0000000
9.7984118; 9.7358845; 1.2762912; -1.4349951; -0.0017522; 12.0000000; 0.0000000
9.9983794; 9.9340223; 1.3033296; -1.4353500; -0.0017974; 12.0000000; 0.0000000
10.1983470; 10.1321879; 1.3302991; -1.4357140; -0.0018426; 12.0000000; 0.0000000
10.3983146; 10.3303825; 1.3571983; -1.4360870; -0.0018877; 12.0000000; 0.0000000
10.5982822; 10.5285697; 1.3840202; -1.4364690; -0.0019330; 12.0000000; 0.0000000
10.7982498; 10.7266687; 1.4107522; -1.4368600; -0.0019789; 12.0000000; 0.0000000
10.9982174; 10.9248004; 1.4374089; -1.4372602; -0.0020247; 12.0000000; 0.0000000
11.1981850; 11.1229659; 1.4639884; -1.4376696; -0.0020705; 12.0000000; 0.0000000
11.3981525; 11.3211665; 1.4904891; -1.4380882; -0.0021162; 12.0000000; 0.0000000
11.5981201; 11.5194034; 1.5169093; -1.4385160; -0.0021618; 12.0000000; 0.0000000
11.7980877; 11.7176779; 1.5432472; -1.4389530; -0.0022074; 12.0000000; 0.0000000
11.9980553; 11.9159910; 1.5695012; -1.4393991; -0.0022529; 12.0000000; 0.0000000
12.1980229; 12.1141950; 1.5956498; -1.4398541; -0.0022991; 12.0000000; 0.0000000
