# 584511d4-d963-458c-abd0-63808687d9f8
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0374068; -0.1190560; -1.4557994; 0.0120111; 11.9999987; 0.0000071
0.1999583; 0.2361616; -0.0958590; -1.4534348; 0.0116232; 11.9999989; 0.0000071
0.3999166; 0.4348099; -0.0722062; -1.4511485; 0.0112338; 11.9999990; 0.0000071
0.5998748; 0.6333567; -0.0481128; -1.4489407; 0.0108429; 11.9999991; 0.0000071
0.7998331; 0.8318075; -0.0235942; -1.4468117; 0.0104508; 11.9999992; 0.0000071
0.9997914; 1.0301674; 0.0013340; -1.4447617; 0.0100575; 11.9999993; 0.0000071
1.1997497; 1.2284418; 0.0266564; -1.4427908; 0.0096630; 11.9999994; 0.0000071
1.3997080; 1.4266359; 0.0523578; -1.4408991; 0.0092675; 11.9999996; 0.0000039
1.5996662; 1.6248519; 0.0784353; -1.4390900; 0.0087815; 11.9999996; 0.0000000
1.7996245; 1.8231150; 0.1048730; -1.4373930; 0.0081862; 11.9999996; 0.0000000
1.9995828; 2.0213116; 0.1316323; -1.4358154; 0.0075903; 11.9999996; 0.0000000
2.1995411; 2.2194456; 0.1586893; -1.4343572; 0.0069940; 11.9999996; 0.0000000
2.3994994; 2.4175209; 0.1860206; -1.4330184; 0.0063971; 11.9999996; 0.0000000
2.5994577; 2.6155416; 0.2136025; -1.4317991; 0.0057999; 11.9999996; 0.0000000
2.7994159; 2.8135114; 0.2414114; -1.4306993; 0.0052023; 11.9999996; 0.0000000
2.9993742; 3.0114345; 0.2694236; -1.4297192; 0.0046043; 11.9999996; -0.0000000
3.1993325; 3.2094279; 0.2976329; -1.4288399; 0.0042059; 11.9999996; -0.0000000
3.3992908; 3.4073927; 0.3260079; -1.4280367; 0.0038266; 11.9999996; -0.0000000
3.5992491; 3.6053213; 0.3545324; -1.4273095; 0.0034470; 11.9999996; -0.0000000
3.7992073; 3.8032168; 0.3831914; -1.4266582; 0.0030673; 11.9999996; -0.0000000
3.9991656; 4.0010827; 0.4119700; -1.4260829; 0.0026873; 11.9999996; -0.0000000
4.1991239; 4.1989222; 0.4408533; -1.4255836; 0.0023072; 11.9999996; -0.0000000
4.3990822; 4.3967386; 0.4698264; -1.4251603; 0.0019270; 11.9999996; -0.0000000
4.5990405; 4.5945584; 0.4988779; -1.4248108; 0.0016070; 11.9999996; -0.0000000
4.7989987; 4.7923999; 0.5279979; -1.4245114; 0.0013873; 11.9999996; -0.0000000
4.9989570; 4.9902266; 0.5571717; -1.4242559; 0.0011676; 11.9999996; -0.0000000
