# x_m, y_m, w_tr_right_m, w_tr_left_m
1.864593358337455348e-02, -5.977584270058395460e-02, 7.379582402203741509e-01, 8.846030619629225988e-01
1.701578708643380622e-01, -5.866905947600055404e-02, 7.357952004589297657e-01, 8.879158156755182496e-01
3.212623908777813009e-01, -5.787750087931842202e-02, 7.357642865001636778e-01, 8.901218583328251999e-01
4.721444956666079884e-01, -5.780577300470003677e-02, 7.370763717114794389e-01, 8.916672544528407851e-01
6.229151172234229650e-01, -5.871959388594679558e-02, 7.391604912435923991e-01, 8.929367910347453252e-01
7.736363834794569572e-01, -6.076378920248517307e-02, 7.416076329072981421e-01, 8.942270165118622050e-01
9.243396430682291331e-01, -6.398435251059494955e-02, 7.441472021543428239e-01, 8.957408663573533936e-01
1.075039564076140097e+00, -6.834277116613093894e-02, 7.465222445776740212e-01, 8.977022237543308414e-01
1.225744619474903319e+00, -7.372745240213662843e-02, 7.485421340505906684e-01, 9.002047937071435690e-01
1.376464697232862466e+00, -7.996369824496815659e-02, 7.500895591133398543e-01, 9.032734108355660041e-01
1.527216256266870520e+00, -8.682272165097171257e-02, 7.510835534916087131e-01, 9.068729876892501762e-01
1.678025492540202279e+00, -9.402921322509644186e-02, 7.514739087971042952e-01, 9.109184314538913974e-01
1.828929922937580166e+00, -1.012663920618454422e-01, 7.512393907899980183e-01, 9.152830190101012287e-01
1.979978659532885210e+00, -1.081771596381352341e-01, 7.503896422366431729e-01, 9.198023676176583230e-01
2.131231373911816718e+00, -1.143601849150511912e-01, 7.489709914769022703e-01, 9.242721450811621775e-01
2.282755541490464779e+00, -1.193620368548023586e-01, 7.470544909035148340e-01, 9.284414830718723532e-01
2.434621421937197550e+00, -1.226757985322292771e-01, 7.446148274164292591e-01, 9.320143345490726761e-01
2.586894797842337113e+00, -1.237317712487607663e-01, 7.419245802622269625e-01, 9.346369310169211353e-01
2.739625716480427631e+00, -1.218497923880415557e-01, 7.392588094102745533e-01, 9.358484095950696524e-01
2.892828647925300256e+00, -1.162145171166105995e-01, 7.370281026489238219e-01, 9.352399676640383852e-01
3.046463947185790389e+00, -1.058799855542807838e-01, 7.357998499172460072e-01, 9.323004211029801702e-01
3.200393693430646280e+00, -8.978293330343735390e-02, 7.363175119666317547e-01, 9.262806221950983243e-01
3.354417316579293207e+00, -6.674373520196390241e-02, 7.389549120231716506e-01, 9.166562797127693063e-01
3.507888747798872942e+00, -3.551457623282849169e-02, 7.447335114354443064e-01, 9.033044223165207498e-01
3.659396699568559619e+00, 4.829681207887220190e-03, 7.550236299215798974e-01, 8.865904691158766893e-01
3.807350748391255202e+00, 5.466409711372414298e-02, 7.693553995058562966e-01, 8.656283235596591297e-01
3.950169249799543980e+00, 1.139696427671085949e-01, 7.868256299355220751e-01, 8.436064154142238758e-01
4.086351130059000525e+00, 1.823332960030124295e-01, 8.080274978772598038e-01, 8.199601314097888505e-01
4.214586216193547230e+00, 2.590345317183890828e-01, 8.291760634125013851e-01, 7.941860680314780652e-01
4.333879328548731813e+00, 3.431698297567322142e-01, 8.511297384827108958e-01, 7.747375029358770648e-01
4.443667724850219436e+00, 4.338430903003825945e-01, 8.709395661417391743e-01, 7.556829570067770119e-01
4.543913010300075328e+00, 5.304155705636585116e-01, 8.871728192822827541e-01, 7.426650625324593413e-01
4.635016490725551108e+00, 6.327766522829006979e-01, 9.002429805106144656e-01, 7.380866646021998490e-01
4.718023580815124518e+00, 7.417012072621201879e-01, 9.055283496706022506e-01, 7.335640954639023326e-01
4.793936132624679658e+00, 8.582802240137644700e-01, 9.070444102252006591e-01, 7.437627729379914232e-01
4.862102716921770096e+00, 9.830088700779728850e-01, 9.044551574001385985e-01, 7.509563286321142561e-01
4.920815057133284931e+00, 1.115710676321554518e+00, 8.990428240590129239e-01, 7.618834072914505429e-01
