# centerline-based reference (no raceline optimization)
# generated by scripts/build_track_package.py
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 20.5522970; -5.2083015; -1.0900535; 2.4578786; 3.4163847; 0.0000000
0.0855080; 20.6281128; -5.1687594; -0.9047601; 2.0231070; 3.3920770; 0.0000000
0.1753220; 20.6987315; -5.1132656; -0.7714777; 1.4443400; 3.4030591; 0.0000000
0.2705892; 20.7651513; -5.0449703; -0.6814478; 0.9213466; 3.4209570; 0.0000000
0.3709504; 20.8283707; -4.9670237; -0.6256945; 0.5453029; 3.3911239; 0.0000000
0.4751356; 20.8893878; -4.8825757; -0.5980313; 0.2629474; 3.3116865; 0.0000000
0.5813727; 20.9492011; -4.7947765; -0.5953675; 0.0252519; 3.2093754; 0.0000000
0.6876607; 21.0088088; -4.7067761; -0.6174340; 0.1845094; 3.0833604; 0.0000000
0.7919838; 21.0692061; -4.6217145; -0.6554758; 0.3165168; 2.9474091; 0.0000000
0.8933224; 21.1309757; -4.5413775; -0.6880455; 0.3182544; 2.8166036; 0.0000000
0.9923788; 21.1938793; -4.4648576; -0.7112303; 0.2358161; 2.7542593; 0.0000000
1.0899674; 21.2575819; -4.3909284; -0.7240528; 0.1318848; 2.7347604; 0.0000000
1.1868328; 21.3217480; -4.3183639; -0.7259930; 0.0200324; 2.7579468; 0.0000000
1.2836797; 21.3860426; -4.2459379; -0.7170027; 0.0924774; 2.8683944; 0.0000000
1.3812066; 21.4501303; -4.1724242; -0.6975132; 0.1873243; 2.9545633; 0.0000000
1.4801397; 21.5136764; -4.0965977; -0.6725500; 0.2232018; 3.0082234; 0.0000000
1.5810305; 21.5765296; -4.0176773; -0.6529314; 0.1886785; 3.0661982; 0.0000000
1.6838605; 21.6390006; -3.9359988; -0.6398690; 0.1253810; 3.1458060; 0.0000000
1.7884858; 21.7014714; -3.8520711; -0.6331885; 0.0186426; 3.2606058; 0.0000000
1.8947124; 21.7643276; -3.7664371; -0.6513428; 0.2498818; 3.3636875; 0.0000000
2.0001561; 21.8282533; -3.6825809; -0.7336524; 0.8149804; 3.4493154; 0.0000000
2.0990280; 21.8944566; -3.6091454; -0.9132848; 1.9245552; 3.5016464; 0.0000000
2.1871399; 21.9641986; -3.5552958; -1.2443003; 3.8179392; 3.4801695; 0.0000000
2.2658131; 22.0387156; -3.5300633; -1.6458199; 4.8620494; 3.5113861; 0.0000000
2.3453831; 22.1180619; -3.5360273; -1.9254364; 3.3591438; 3.5733647; 0.0000000
2.4334094; 22.2006104; -3.5665947; -2.0888666; 1.7784014; 3.5700098; 0.0000000
2.5300923; 22.2846062; -3.6144725; -2.1766926; 0.9102582; 3.5342888; 0.0000000
2.6320205; 22.3683904; -3.6725205; -2.2193920; 0.4279199; 3.4675286; 0.0000000
2.7363395; 22.4515256; -3.7355363; -2.2291555; 0.0936632; 3.4675286; 0.0000000
2.8411288; 22.5344137; -3.7996484; -2.2071004; 0.1860410; 3.4254113; 0.0000000
2.9443979; 22.6174727; -3.8610137; -2.1621949; 0.3636154; 3.3764560; 0.0000000
3.0450467; 22.7010275; -3.9171277; -2.1252375; 0.3562237; 3.3276429; 0.0000000
3.1439826; 22.7851423; -3.9692143; -2.1034578; 0.2208573; 3.2627631; 0.0000000
3.2422976; 22.8698366; -4.0191414; -2.0978271; 0.0707942; 3.1633364; 0.0000000
3.3409818; 22.9551298; -4.0687765; -2.1030525; 0.0097898; 3.0551079; 0.0000000
3.4406894; 23.0410443; -4.1193760; -2.1020704; 0.0181945; 2.9915132; 0.0000000
3.5410973; 23.1276122; -4.1702459; -2.0916504; 0.1027948; 2.9737024; 0.0000000
3.6416920; 23.2148674; -4.2203039; -2.0720497; 0.1596982; 2.9751402; 0.0000000
3.7419975; 23.3028335; -4.2685033; -2.0573565; 0.0997996; 2.9888906; 0.0000000
3.8418683; 23.3911139; -4.3152017; -2.0665317; 0.0951885; 3.0097004; 0.0000000
3.9415110; 23.4787615; -4.3625995; -2.1009371; 0.3409624; 3.0313487; 0.0000000
4.0412288; 23.5647917; -4.4130223; -2.1583947; 0.4959753; 3.0490416; 0.0000000
4.1415623; 23.6482966; -4.4686436; -2.2067369; 0.4115746; 3.0590338; 0.0000000
4.2428664; 23.7297972; -4.5288116; -2.2190590; 0.1189468; 3.0530599; 0.0000000
4.3448311; 23.8110767; -4.5903781; -2.1952432; 0.2198071; 2.9844886; 0.0000000
4.4469963; 23.8939620; -4.6501089; -2.1407053; 0.4861015; 2.9608167; 0.0000000
4.5489457; 23.9797983; -4.7051162; -2.0740180; 0.6472187; 2.9813706; 0.0000000
4.6498372; 24.0681826; -4.7537712; -1.9973295; 0.7681627; 3.0034990; 0.0000000
4.7488400; 24.1583153; -4.7947303; -1.9078763; 0.9164282; 3.0023366; 0.0000000
4.8453526; 24.2493966; -4.8266502; -1.8026270; 1.1087481; 2.9610671; 0.0000000
4.9390906; 24.3406269; -4.8481874; -1.6786905; 1.3449886; 2.9224212; 0.0000000
